horaire	NOM	horaire
d'	PRP	de
ouverture	NOM	ouverture
du	PRP:det	du
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
:	PUN	:
à	PRP	à
compter	VER:infi	compter
du	PRP:det	du
1	NUM	@card@
e	NOM	e
r	VER:subi	r
janvier	NOM	janvier
2003	NUM	@card@
les	DET:ART	le
heures	NOM	heure
d'	PRP	de
ouverture	NOM	ouverture
du	PRP:det	du
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
seront	VER:futu	être
les	DET:ART	le
suivantes	NOM	suivant|suivante
:	PUN	:
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
30	NUM	@card@
du	PRP:det	du
lundi	NOM	lundi
au	PRP:det	au
vendredi	NOM	vendredi
;	PUN	;
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
le	DET:ART	le
lundi	NOM	lundi
et	KON	et
le	DET:ART	le
mercredi	NOM	mercredi
;	PUN	;
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
le	DET:ART	le
vendredi	NOM	vendredi
;	PUN	;
fermeture	NOM	fermeture
au	PRP:det	au
public	NOM	public
les	DET:ART	le
mardi	NOM	mardi
et	KON	et
jeudi	NOM	jeudi
après-midi	NOM	après-midi
;	PUN	;
fermeture	NOM	fermeture
des	PRP:det	du
bureaux	NOM	bureau
le	DET:ART	le
samedi	NOM	samedi
.	SENT	.
approbation	NOM	approbation
du	PRP:det	du
pos	NOM	pos
:	PUN	:
après	PRP	après
enquête	NOM	enquête
publique	ADJ	publique
et	KON	et
après	PRP	après
l'	DET:ART	le
avis	NOM	avis
favorable	ADJ	favorable
de	PRP	de
mme	VER:infi	mme
le	DET:ART	le
commissaire	NOM	commissaire
enquêteur	ADJ	enquêteur
