deux	NUM	deux
classes	NOM	classe
de	PRP	de
la	DET:ART	le
communale	ADJ	communal
thisienne	NOM	thisienne
ont	VER:pres	avoir
profité	VER:pper	profiter
de	PRP	de
la	DET:ART	le
période	NOM	période
précédant	VER:ppre	précéder
noël	NOM	noël
pour	PRP	pour
rendre	VER:infi	rendre
visite	NOM	visite
aux	PRP:det	au
pensionnaires	NOM	pensionnaire
des	PRP:det	du
ophéliades	NOM	ophéliades
.	SENT	.
tels	PRO:DEM	tel
des	PRP:det	du
rois	NOM	roi
mages	ADJ	mage
avant	PRP	avant
l'	DET:ART	le
heure	NOM	heure
,	PUN	,
les	DET:ART	le
élèves	NOM	élève
des	PRP:det	du
classes	NOM	classe
de	PRP	de
mmes	NOM	mmes
mousty	ADJ	mousty
et	KON	et
regazzoni	ADJ	regazzoni
ont	VER:pres	avoir
apporté	VER:pper	apporter
de	PRP	de
jolis	ADJ	joli
présents	NOM	présent
en	PRP	en
forme	NOM	forme
de	PRP	de
parchemins	NOM	parchemin
,	PUN	,
de	PRP	de
pâtes	NOM	pâte
à	PRP	à
sel	NOM	sel
et	KON	et
autres	ADJ	autre
dessins	NOM	dessin
dont	PRO:REL	dont
le	DET:ART	le
caractère	NOM	caractère
enfantin	ADJ	enfantin
a	VER:pres	avoir
ravi	VER:pper	ravir
les	DET:ART	le
anciens	NOM	ancien
.	SENT	.
le	DET:ART	le
goûter	NOM	goûter
pris	VER:pper	prendre
en	PRP	en
commun	NOM	commun
a	VER:pres	avoir
permis	VER:pper	permettre
à	PRP	à
chacun	PRO:IND	chacun
d'	PRP	de
apprécier	VER:infi	apprécier
les	DET:ART	le
beignets	NOM	beignet
de	PRP	de
noël	NOM	noël
.	SENT	.
la	DET:ART	le
directrice	ADJ	directeur
michèle	NOM	michèle
roy	NOM	roy
,	PUN	,
qui	PRO:REL	qui
encourage	VER:pres	encourager
ce	PRO:DEM	ce
type	NOM	type
de	PRP	de
rencontre	NOM	rencontre
dans	PRP	dans
son	DET:POS	son
établissement	NOM	établissement
,	PUN	,
est	VER:pres	être
très	ADV	très
reconnaissante	ADJ	reconnaissant
comme	KON	comme
tous	PRO:IND	tout
les	DET:ART	le
résidants	ADJ	résidant
envers	PRP	envers
ces	PRO:DEM	ce
jeunes	ADJ	jeune
enfants	NOM	enfant
et	KON	et
leurs	DET:POS	leur
enseignants	NOM	enseignant
qui	PRO:REL	qui
créent	VER:pres	créer
un	DET:ART	un
trait	NOM	trait
d'	PRP	de
union	NOM	union
entre	PRP	entre
plusieurs	PRO:IND	plusieurs
générations	NOM	génération
.	SENT	.
