autour	ADV	autour
de	PRP	de
la	DET:ART	le
bible	NOM	bible
:	PUN	:
des	PRP:det	du
rencontres	NOM	rencontre
ont	VER:pres	avoir
lieu	NOM	lieu
chaque	PRO:IND	chaque
premier	NUM	premier
lundi	NOM	lundi
du	PRP:det	du
mois	NOM	moi|mois
à	PRP	à
la	DET:ART	le
salle	NOM	salle
du	PRP:det	du
presbytère	NOM	presbytère
thisien	ADJ	thisien
de	PRP	de
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
21	NUM	@card@
h	ABR	heure
45	NUM	@card@
premier	NUM	premier
rendez-vous	NOM	rendez-vous
le	DET:ART	le
6	NUM	@card@
janvier	NOM	janvier
prochain	ADJ	prochain
.	SENT	.
tarot	NOM	tarot
du	PRP:det	du
foot	NOM	foot
:	PUN	:
celui	PRO:DEM	celui
du	PRP:det	du
tcfc	NOM	tcfc
est	VER:pres	être
fixé	VER:pper	fixer
au	PRP:det	au
vendredi	NOM	vendredi
24	NUM	@card@
janvier	NOM	janvier
à	PRP	à
la	DET:ART	le
maison	NOM	maison
commune	ADJ	commun
où	PRO:REL	où
chacun	PRO:IND	chacun
dévoilera	VER:futu	dévoiler
ses	DET:POS	son
atouts	NOM	atout
...	PUN	...
don	NOM	don
du	PRP:det	du
sang	NOM	sang
:	PUN	:
reportée	VER:pper	reporter
à	PRP	à
plusieurs	PRO:IND	plusieurs
reprises	NOM	reprise
,	PUN	,
la	DET:ART	le
collecte	NOM	collecte
organisée	VER:pper	organiser
par	PRP	par
l'	DET:ART	le
amicale	ADJ	amical
des	PRP:det	du
pompiers	NOM	pompier
et	KON	et
l'	DET:ART	le
établissement	NOM	établissement
français	ADJ	français
du	PRP:det	du
sang	NOM	sang
est	VER:pres	être
fixée	VER:pper	fixer
au	PRP:det	au
vendredi	NOM	vendredi
17	NUM	@card@
janvier	NOM	janvier
à	PRP	à
la	DET:ART	le
maison	NOM	maison
commune	ADJ	commun
.	SENT	.
