médecin	NOM	médecin
de	PRP	de
garde	NOM	garde
:	PUN	:
appeler	VER:infi	appeler
le	DET:ART	le
15	NUM	@card@
pharmacie	NOM	pharmacie
de	PRP	de
garde	NOM	garde
:	PUN	:
mme	VER:simp	mme
pasquier	NOM	pasquier
,	PUN	,
28	NUM	@card@
rue	NOM	rue
du	PRP:det	du
maréchal	NOM	maréchal
leclerc	NOM	leclerc
à	PRP	à
blainville	NOM	blainville
.	SENT	.
siad	NOM	siad
des	PRP:det	du
trois-rivières	NOM	trois-rivières
:	PUN	:
permanence	NOM	permanence
1	NUM	@card@
rue	NOM	rue
du	PRP:det	du
presbytère	NOM	presbytère
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
75.94	NUM	@card@
.	SENT	.
50	NUM	@card@
adil	NOM	adil
:	PUN	:
permanence	NOM	permanence
en	PRP	en
mairie	NOM	mairie
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
ccas	NOM	ccas
:	PUN	:
permanence	NOM	permanence
en	PRP	en
mairie	NOM	mairie
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
de	PRP	de
15	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
ines	VER:futu	ines
:	PUN	:
permanence	NOM	permanence
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
21	NUM	@card@
rue	NOM	rue
st	VER:subi	st
dom	NOM	dom
.	SENT	.
mission	NOM	mission
locale	ADJ	local
pour	PRP	pour
l'	DET:ART	le
emploi	NOM	emploi
:	PUN	:
permanence	NOM	permanence
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
21	NUM	@card@
rue	NOM	rue
st	VER:subi	st
dom	NOM	dom
.	SENT	.
kiosque	NOM	kiosque
ij	NOM	ij
:	PUN	:
ouvert	VER:pper	ouvrir
de	PRP	de
16	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
21	NUM	@card@
rue	NOM	rue
st	VER:subi	st
dom	NOM	dom
.	SENT	.
emploi	NOM	emploi
jeunes	ADJ	jeune
:	PUN	:
ouvert	VER:pper	ouvrir
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
21	NUM	@card@
rue	NOM	rue
st	VER:subi	st
dom	NOM	dom
.	SENT	.
fgrcf	NOM	fgrcf
:	PUN	:
permanence	NOM	permanence
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
bât	NOM	bât
.	SENT	.
c	NOM	c
,	PUN	,
entrée	NOM	entrée
a	VER:pres	avoir
du	PRP:det	du
grand	ADJ	grand
pré	NOM	pré
à	PRP	à
damelevières	NOM	damelevières
.	SENT	.
mutuelle	ADJ	mutuel
générale	NOM	général|générale
des	PRP:det	du
cheminots	NOM	cheminot
:	PUN	:
permanence	NOM	permanence
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
2	NUM	@card@
rue	NOM	rue
du	PRP:det	du
grand	ADJ	grand
pré	NOM	pré
.	SENT	.
centre	NOM	centre
médico-social	ADJ	médico-social
:	PUN	:
ouvert	VER:pper	ouvrir
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
au	PRP:det	au
rampeux	NOM	rampeux
.	SENT	.
foyer	NOM	foyer
entrée	NOM	entrée
libre	ADJ	libre
:	PUN	:
ouvert	VER:pper	ouvrir
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
à	PRP	à
la	DET:ART	le
mfc	NOM	mfc
.	SENT	.
