plus	ADV	plus
de	PRP	de
300	NUM	@card@
personnes	NOM	personne
ont	VER:pres	avoir
réveillonné	VER:pper	réveillonner
le	DET:ART	le
31	NUM	@card@
décembre	NOM	décembre
,	PUN	,
à	PRP	à
l'	DET:ART	le
espace	NOM	espace
socioculturel	ADJ	socioculturel
.	SENT	.
une	DET:ART	un
grande	ADJ	grand
soirée	NOM	soirée
organisée	VER:pper	organiser
par	PRP	par
la	DET:ART	le
confrérie	NOM	confrérie
sicampoise	ADJ	sicampoise
du	PRP:det	du
beugnat	NOM	beugnat
o'	ADJ	o'
fréméche	NOM	fréméche
.	SENT	.
au	PRP:det	au
programme	NOM	programme
:	PUN	:
gastronomie	NOM	gastronomie
et	KON	et
convivialité	NOM	convivialité
.	SENT	.
la	DET:ART	le
confrérie	NOM	confrérie
ayant	VER:ppre	avoir
plusieurs	PRO:IND	plusieurs
années	NOM	année
d'	PRP	de
expérience	NOM	expérience
dans	PRP	dans
l'	DET:ART	le
organisation	NOM	organisation
du	PRP:det	du
réveillon	NOM	réveillon
avait	VER:impf	avoir
mis	VER:pper	mettre
les	DET:ART	le
petits	ADJ	petit
plats	NOM	plat
dans	PRP	dans
les	DET:ART	le
grands	ADJ	grand
pour	PRP	pour
un	DET:ART	un
menu	NOM	menu
d'	PRP	de
exception	NOM	exception
.	SENT	.
cette	PRO:DEM	ce
belle	ADJ	beau
fête	NOM	fête
était	VER:impf	être
animée	VER:pper	animer
par	PRP	par
l'	DET:ART	le
orchestre	NOM	orchestre
de	PRP	de
jean-claude	NOM	jean-claude
thibaut	NOM	thibaut
et	KON	et
ses	DET:POS	son
choristes	NOM	choriste
.	SENT	.
a	VER:pres	avoir
minuit	NOM	minuit
,	PUN	,
après	PRP	après
le	DET:ART	le
décompte	NOM	décompte
des	PRP:det	du
dernières	ADJ	dernier
secondes	NOM	second|seconde
,	PUN	,
les	DET:ART	le
invités	NOM	invité
se	PRO:PER	se
sont	VER:pres	être
souhaités	VER:pper	souhaiter
une	DET:ART	un
bonne	ADJ	bon
et	KON	et
heureuse	ADJ	heureux
année	NOM	année
;	PUN	;
on	PRO:PER	on
a	VER:pres	avoir
dansé	VER:pper	danser
et	KON	et
on	PRO:PER	on
a	VER:pres	avoir
chanté	VER:pper	chanter
jusqu'à	NOM	jusqu'à
l'	DET:ART	le
aube	NOM	aube
.	SENT	.
une	DET:ART	un
soirée	NOM	soirée
inoubliable	ADJ	inoubliable
.	SENT	.
