espoirs-elite	NOM	espoirs-elite
international	ADJ	international
(	PUN	(
17,65	NUM	@card@
km	ABR	kilomètre
),	ABR	),
28	NUM	@card@
partants	NOM	partant
:	PUN	:
1	NUM	@card@
gil	NOM	gil
(	PUN	(
pologne	NOM	pologne
)	PUN	)
57	NUM	@card@
'	PUN	'
47	NUM	@card@
''	NOM	''
;	PUN	;
2	NUM	@card@
arnould	NOM	arnould
(	PUN	(
cc	NOM	cc
sarrebourgeois	NOM	sarrebourgeois
)	PUN	)
à	PRP	à
7	NUM	@card@
''	NOM	''
;	PUN	;
3	NUM	@card@
lukes	NOM	lukes
(	PUN	(
tatra	VER:simp	tatra
mleko	NOM	mleko
)	PUN	)
à	PRP	à
47	NUM	@card@
''	NOM	''
;	PUN	;
4	NUM	@card@
clochez	VER:pres	clocher
(	PUN	(
france	NOM	france
)	PUN	)
à	PRP	à
58	NUM	@card@
''	NOM	''
;	PUN	;
5	NUM	@card@
mudroch	NOM	mudroch
(	PUN	(
tatra	VER:simp	tatra
mleko	NOM	mleko
)	PUN	)
à	PRP	à
1	NUM	@card@
'	PUN	'
24	NUM	@card@
''	NOM	''
;	PUN	;
6	NUM	@card@
korzeniewski	NOM	korzeniewski
(	PUN	(
pologne	NOM	pologne
)	PUN	)
à	PRP	à
2	NUM	@card@
'	PUN	'
25	NUM	@card@
''	NOM	''
;	PUN	;
7	NUM	@card@
pagnier	NOM	pagnier
(	PUN	(
france	NOM	france
)	PUN	)
à	PRP	à
2	NUM	@card@
'	PUN	'
39	NUM	@card@
''	NOM	''
;	PUN	;
8	NUM	@card@
tichy	NOM	tichy
(	PUN	(
tatra	VER:simp	tatra
mleko	NOM	mleko
)	PUN	)
à	PRP	à
2	NUM	@card@
'	PUN	'
46	NUM	@card@
''	NOM	''
;	PUN	;
9	NUM	@card@
triebel	NOM	triebel
(	PUN	(
cci	VER:pper	cci
differdange	NOM	differdange
)	PUN	)
à	PRP	à
3	NUM	@card@
'	PUN	'
10	NUM	@card@
''	NOM	''
;	PUN	;
10	NUM	@card@
cichosz	NOM	cichosz
(	PUN	(
pologne	NOM	pologne
)	PUN	)
à	PRP	à
3	NUM	@card@
'	PUN	'
23	NUM	@card@
''	NOM	''
;	PUN	;
11	NUM	@card@
czarla	NOM	czarla
(	PUN	(
pologne	NOM	pologne
)	PUN	)
à	PRP	à
3	NUM	@card@
'	PUN	'
33	NUM	@card@
''	NOM	''
;	PUN	;
12	NUM	@card@
soukup	NOM	soukup
(	PUN	(
répub	NOM	répub
.	SENT	.
tchèque	ADJ	tchèque
)	PUN	)
à	PRP	à
3	NUM	@card@
'	PUN	'
36	NUM	@card@
''	NOM	''
;	PUN	;
13	NUM	@card@
bausch	NOM	bausch
(	PUN	(
vs	NOM	vs
dommeldange	NOM	dommeldange
)	PUN	)
à	PRP	à
3	NUM	@card@
'	PUN	'
39	NUM	@card@
''	NOM	''
;	PUN	;
14	NUM	@card@
mengin	NOM	mengin
(	PUN	(
france	NOM	france
)	PUN	)
à	PRP	à
3	NUM	@card@
'	PUN	'
48	NUM	@card@
''	NOM	''
;	PUN	;
15	NUM	@card@
van	NOM	van
der	NOM	der
veken	ADJ	veken
(	PUN	(
belgique	ADJ	belgique
)	PUN	)
à	PRP	à
4	NUM	@card@
'	PUN	'
35	NUM	@card@
''	NOM	''
;	PUN	;
16	NUM	@card@
serafini	NOM	serafini
(	PUN	(
cci	VER:pper	cci
differdange	NOM	differdange
)	PUN	)
à	PRP	à
5	NUM	@card@
'	PUN	'
23	NUM	@card@
''	NOM	''
;	PUN	;
17	NUM	@card@
kyzivat	NOM	kyzivat
(	PUN	(
répub	NOM	répub
.	SENT	.
tchèque	ADJ	tchèque
)	PUN	)
à	PRP	à
5	NUM	@card@
'	PUN	'
53	NUM	@card@
''	NOM	''
;	PUN	;
18	NUM	@card@
cierpkowski	NOM	cierpkowski
(	PUN	(
pologne	NOM	pologne
)	PUN	)
à	PRP	à
6	NUM	@card@
'	PUN	'
22	NUM	@card@
''	NOM	''
;	PUN	;
19	NUM	@card@
junker	NOM	junker
(	PUN	(
lc	NOM	lc
tétange	NOM	tétange
)	PUN	)
à	PRP	à
6	NUM	@card@
'	PUN	'
47	NUM	@card@
''	NOM	''
;	PUN	;
20	NUM	@card@
poelyoode	NOM	poelyoode
(	PUN	(
mtb	NOM	mtb
waregem	ADJ	waregem
)	PUN	)
à	PRP	à
7	NUM	@card@
'	PUN	'
38	NUM	@card@
''.	ABR	''.
