retraites	VER:pper	retraire
complémentaires	ADJ	complémentaire
:	PUN	:
un	DET:ART	un
délégué	NOM	délégué
du	PRP:det	du
cicas	NOM	cicas
tient	VER:pres	tenir
une	DET:ART	un
permanence	NOM	permanence
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
au	PRP:det	au
premier	NUM	premier
étage	NOM	étage
de	PRP	de
l'	DET:ART	le
hôtel	NOM	hôtel
des	PRP:det	du
sociétés	NOM	société
.	SENT	.
musique	NOM	musique
:	PUN	:
sur	PRP	sur
la	DET:ART	le
péniche	NOM	péniche
,	PUN	,
à	PRP	à
21	NUM	@card@
h	ABR	heure
30	NUM	@card@
le	DET:ART	le
groupe	NOM	groupe
«	PUN:cit	«
disfunction	NOM	disfunction
»	PUN:cit	»
assurera	VER:futu	assurer
le	DET:ART	le
spectacle	NOM	spectacle
avec	PRP	avec
un	DET:ART	un
groove	NOM	groove
et	KON	et
un	DET:ART	un
funk	NOM	funk
.	SENT	.
