ouf	INT	ouf
!	SENT	!
les	DET:ART	le
déchets	NOM	déchet
ménagers	ADJ	ménager
des	PRP:det	du
lendemains	NOM	lendemain
de	PRP	de
fête	NOM	fête
,	PUN	,
déposés	VER:pper	déposer
ce	PRO:DEM	ce
mardi	NOM	mardi
matin	NOM	matin
sur	PRP	sur
le	DET:ART	le
trottoir	NOM	trottoir
devant	PRP	devant
le	DET:ART	le
domicile	NOM	domicile
de	PRP	de
quelque	PRO:IND	quelque
55.000	NUM	@card@
haut-saônois	NOM	haut-saônois
des	PRP:det	du
secteurs	NOM	secteur
vauvillers	ADJ	vauvillers
,	PUN	,
jussey	NOM	jussey
,	PUN	,
port-sur-saône	NOM	port-sur-saône
,	PUN	,
relevant	VER:ppre	relever
du	PRP:det	du
syndicat	NOM	syndicat
de	PRP	de
collecte	NOM	collecte
sictom	NOM	sictom
dit	VER:pper	dire
de	PRP	de
vesoul-port	NOM	vesoul-port
,	PUN	,
ont	VER:pres	avoir
trouvé	VER:pper	trouver
une	DET:ART	un
issue	NOM	issue
:	PUN	:
le	DET:ART	le
centre	NOM	centre
d'	PRP	de
enfouissement	NOM	enfouissement
technique	ADJ	technique
(	PUN	(
cet	PRO:DEM	ce
)	PUN	)
de	PRP	de
vaivre-pusey	NOM	vaivre-pusey
.	SENT	.
nos	DET:POS	notre
lecteurs	NOM	lecteur
de	PRP	de
mardi	NOM	mardi
dernier	ADJ	dernier
savent	VER:pres	savoir
que	KON	que
la	DET:ART	le
société	NOM	société
sita	NOM	sita
(	PUN	(
ex-ecospace	NOM	ex-ecospace
)	PUN	)
qui	PRO:REL	qui
gère	VER:pres	gérer
ce	PRO:DEM	ce
cet	PRO:DEM	ce
a	VER:pres	avoir
subitement	ADV	subitement
fait	VER:pres	faire
savoir	VER:infi	savoir
qu'	KON	que
elle	PRO:PER	elle
ne	ADV	ne
recevrait	VER:cond	recevoir
plus	ADV	plus
,	PUN	,
sous	PRP	sous
prétexte	NOM	prétexte
de	PRP	de
«	PUN:cit	«
saturation	NOM	saturation
»,	ADJ	»,
les	DET:ART	le
ordures	NOM	ordure
dudit	VER:simp	dudit
sictom	NOM	sictom
.	SENT	.
syndicat	NOM	syndicat
,	PUN	,
soit	VER:subp	être
dit	VER:pper	dire
en	PRP	en
passant	NOM	passant
,	PUN	,
dont	PRO:REL	dont
elle	PRO:PER	elle
assurait	VER:impf	assurer
la	DET:ART	le
collecte	NOM	collecte
jusqu'au	NOM	jusqu'au
31	NUM	@card@
décembre	NOM	décembre
...	PUN	...
en	PRO:PER	en
fait	VER:pres	faire
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
le	DET:ART	le
syndicat	NOM	syndicat
départemental	ADJ	départemental
sytévom	NOM	sytévom
(	PUN	(
qui	PRO:REL	qui
a	VER:pres	avoir
en	PRP	en
charge	NOM	charge
le	DET:ART	le
traitement	NOM	traitement
des	PRP:det	du
déchets	NOM	déchet
)	PUN	)
qui	PRO:REL	qui
a	VER:pres	avoir
fait	VER:pper	faire
savoir	VER:infi	savoir
mardi	NOM	mardi
31	NUM	@card@
décembre	NOM	décembre
au	PRP:det	au
plus	ADV	plus
gros	ADJ	gros
sictom	NOM	sictom
de	PRP	de
haute-saône	NOM	haute-saône
qu'	KON	que
un	DET:ART	un
délai	NOM	délai
de	PRP	de
«	PUN:cit	«
quinze	NUM	quinze
jours	NOM	jour
»	PUN:cit	»
avait	VER:impf	avoir
été	VER:pper	être
obtenu	VER:pper	obtenir
auprès	ADV	auprès
de	PRP	de
la	DET:ART	le
société	NOM	société
sita	NOM	sita
.	SENT	.
autrement	ADV	autrement
dit	VER:pper	dire
:	PUN	:
rien	NOM	rien
d'	PRP	de
assuré	VER:pper	assurer
à	PRP	à
ce	PRO:DEM	ce
jour	NOM	jour
pour	PRP	pour
les	DET:ART	le
ordures	NOM	ordure
après	PRP	après
le	DET:ART	le
15	NUM	@card@
janvier	NOM	janvier
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
la	DET:ART	le
jeune	ADJ	jeune
société	NOM	société
danoise	ADJ	danois
iss-abilis	ADJ	iss-abilis
qui	PRO:REL	qui
a	VER:pres	avoir
décroché	VER:pper	décrocher
le	DET:ART	le
marché	NOM	marché
de	PRP	de
la	DET:ART	le
collecte	NOM	collecte
sur	PRP	sur
toute	PRO:IND	tout
cette	PRO:DEM	ce
zone	NOM	zone
à	PRP	à
partir	VER:infi	partir
de	PRP	de
ce	PRO:DEM	ce
2	NUM	@card@
janvier	NOM	janvier
.	SENT	.
elle	PRO:PER	elle
a	VER:pres	avoir
repris	VER:pper	reprendre
tout	PRO:IND	tout
le	DET:ART	le
personnel	NOM	personnel
de	PRP	de
collecte	NOM	collecte
d'	PRP	de
ecospace	NOM	ecospace
et	KON	et
elle	PRO:PER	elle
envisage	VER:pres	envisager
de	PRP	de
mettre	VER:infi	mettre
en	PRP	en
service	NOM	service
des	PRP:det	du
camions	NOM	camion
ultra-modernes	ADJ	ultra-modernes
à	PRP	à
partir	VER:infi	partir
de	PRP	de
mars	NOM	mars
.	SENT	.
d'	PRP	de
ici	ADV	ici
là	ADV	là
,	PUN	,
en	PRP	en
tout	PRO:IND	tout
cas	NOM	cas
,	PUN	,
l'	DET:ART	le
usine	NOM	usine
de	PRP	de
traitement	NOM	traitement
et	KON	et
de	PRP	de
valorisation	NOM	valorisation
de	PRP	de
noidans-le-ferroux	NOM	noidans-le-ferroux
,	PUN	,
qui	PRO:REL	qui
est	VER:pres	être
prévue	VER:pper	prévoir
par	PRP	par
le	DET:ART	le
sytévom	NOM	sytévom
,	PUN	,
n'	ADV	ne
aura	VER:futu	avoir
pas	ADV	pas
eu	VER:pper	avoir
le	DET:ART	le
temps	NOM	temps
de	PRP	de
voir	VER:infi	voir
le	DET:ART	le
jour	NOM	jour
...	PUN	...
