etant	VER:ppre	etant
donné	VER:pper	donner
la	DET:ART	le
faible	ADJ	faible
fréquentation	NOM	fréquentation
du	PRP:det	du
dépôt-tri	NOM	dépôt-tri
,	PUN	,
il	PRO:PER	il
sera	VER:futu	être
fermé	VER:pper	fermer
chaque	PRO:IND	chaque
mardi	NOM	mardi
à	PRP	à
compter	VER:infi	compter
du	PRP:det	du
7	NUM	@card@
janvier	NOM	janvier
,	PUN	,
jusque	PRP	jusque
fin	ADJ	fin
avril	NOM	avril
;	PUN	;
durant	PRP	durant
cette	PRO:DEM	ce
période	NOM	période
,	PUN	,
il	PRO:PER	il
sera	VER:futu	être
ouvert	VER:pper	ouvrir
le	DET:ART	le
samedi	NOM	samedi
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
