clerval	NOM	clerval
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
domprel	NOM	domprel
:	PUN	:
samedi	NOM	samedi
à	PRP	à
19	NUM	@card@
h.	ABR	h.
epenoy	NOM	epenoy
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
15	NUM	@card@
etalans	NOM	etalans
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
15	NUM	@card@
pierrefotnaine-les-varans	NOM	pierrefotnaine-les-varans
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
sancey-le-grand	NOM	sancey-le-grand
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h.	ABR	h.
