depuis	PRP	depuis
le	DET:ART	le
1	NUM	@card@
e	NOM	e
r	VER:subi	r
janvier	NOM	janvier
,	PUN	,
les	DET:ART	le
horaires	NOM	horaire
d'	PRP	de
ouverture	NOM	ouverture
des	PRP:det	du
parcs	NOM	parc
et	KON	et
jardins	NOM	jardin
de	PRP	de
la	DET:ART	le
ville	NOM	ville
sont	VER:pres	être
modifiés	VER:pper	modifier
.	SENT	.
le	DET:ART	le
but	NOM	but
:	PUN	:
simplifier	VER:infi	simplifier
le	DET:ART	le
nombre	NOM	nombre
de	PRP	de
tranches	NOM	tranche
horaires	ADJ	horaire
par	PRP	par
saison	NOM	saison
et	KON	et
ouvrir	VER:infi	ouvrir
aux	PRP:det	au
heures	NOM	heure
réelles	ADJ	réel
de	PRP	de
fréquentation	NOM	fréquentation
.	SENT	.
ainsi	ADV	ainsi
les	DET:ART	le
deux	NUM	deux
grands	ADJ	grand
parcs	NOM	parc
de	PRP	de
la	DET:ART	le
ville	NOM	ville
,	PUN	,
pépinière	NOM	pépinière
et	KON	et
sainte-marie	NOM	sainte-marie
,	PUN	,
fermeront	VER:futu	fermer
leurs	DET:POS	leur
portes	NOM	porte
à	PRP	à
22	NUM	@card@
h	ABR	heure
30	NUM	@card@
durant	PRP	durant
la	DET:ART	le
période	NOM	période
d'	PRP	de
été	NOM	été
.	SENT	.
jusqu'à	NOM	jusqu'à
présent	ADJ	présent
,	PUN	,
ces	PRO:DEM	ce
parcs	NOM	parc
fermaient	VER:impf	fermer
à	PRP	à
23	NUM	@card@
h	ABR	heure
30	NUM	@card@
sans	PRP	sans
véritable	ADJ	véritable
fréquentation	NOM	fréquentation
.	SENT	.
les	DET:ART	le
horaires	NOM	horaire
des	PRP:det	du
petits	ADJ	petit
parcs	NOM	parc
ne	ADV	ne
changent	VER:pres	changer
pas	ADV	pas
.	SENT	.
les	DET:ART	le
tranches	NOM	tranche
horaires	ADJ	horaire
ont	VER:pres	avoir
simplement	ADV	simplement
été	VER:pper	être
limitées	VER:pper	limiter
à	PRP	à
trois	NUM	trois
