metz	ABR	metz
.	SENT	.
-	PUN	-
quatre	NUM	quatre
personnes	NOM	personne
,	PUN	,
dont	PRO:REL	dont
un	DET:ART	un
nourrisson	NOM	nourrisson
de	PRP	de
7	NUM	@card@
mois	NOM	moi|mois
,	PUN	,
ont	VER:pres	avoir
été	VER:pper	être
tuées	VER:pper	tuer
dans	PRP	dans
deux	NUM	deux
accidents	NOM	accident
de	PRP	de
voiture	NOM	voiture
en	PRP	en
moselle	ADJ	moselle
.	SENT	.
le	DET:ART	le
premier	NUM	premier
accident	NOM	accident
s'	PRO:PER	se
est	VER:pres	être
déroulé	VER:pper	dérouler
sur	PRP	sur
l'	DET:ART	le
autoroute	NOM	autoroute
a	VER:pres	avoir
3	NUM	@card@
1	NUM	@card@
le	DET:ART	le
conducteur	NOM	conducteur
,	PUN	,
un	DET:ART	un
homme	NOM	homme
de	PRP	de
53	NUM	@card@
ans	NOM	an
seul	ADJ	seul
à	PRP	à
bord	NOM	bord
d'	PRP	de
une	DET:ART	un
bmw	NOM	bmw
a	VER:pres	avoir
quitté	VER:pper	quitter
la	DET:ART	le
chaussée	NOM	chaussée
avant	PRP	avant
de	PRP	de
heurter	VER:infi	heurter
un	DET:ART	un
muret	NOM	muret
de	PRP	de
béton	NOM	béton
.	SENT	.
il	PRO:PER	il
est	VER:pres	être
décédé	VER:pper	décéder
sur	PRP	sur
le	DET:ART	le
coup	NOM	coup
.	SENT	.
selon	PRP	selon
le	DET:ART	le
peloton	NOM	peloton
autoroutier	ADJ	autoroutier
de	PRP	de
crs	NOM	crs
,	PUN	,
l'	DET:ART	le
accident	NOM	accident
serait	VER:cond	être
dû	VER:pper	devoir
à	PRP	à
une	DET:ART	un
vitesse	NOM	vitesse
excessive	ADJ	excessif
sur	PRP	sur
chaussée	NOM	chaussée
mouillée	ADJ	mouillé
.	SENT	.
un	DET:ART	un
second	NUM	second
accident	NOM	accident
,	PUN	,
une	DET:ART	un
collision	NOM	collision
frontale	ADJ	frontal
entre	PRP	entre
deux	NUM	deux
véhicules	NOM	véhicule
,	PUN	,
s'	PRO:PER	se
est	VER:pres	être
produit	VER:pper	produire
sur	PRP	sur
une	DET:ART	un
route	NOM	route
départementale	ADJ	départemental
au	PRP:det	au
niveau	NOM	niveau
de	PRP	de
la	DET:ART	le
commune	NOM	commune
de	PRP	de
lemud	NOM	lemud
,	PUN	,
près	ADV	près
de	PRP	de
metz	NAM	Metz
.	SENT	.
a	VER:pres	avoir
bord	NOM	bord
de	PRP	de
l'	DET:ART	le
un	NOM	un
des	PRP:det	du
deux	NUM	deux
véhicules	NOM	véhicule
,	PUN	,
le	DET:ART	le
conducteur	NOM	conducteur
,	PUN	,
un	DET:ART	un
jeune	ADJ	jeune
homme	NOM	homme
de	PRP	de
23	NUM	@card@
ans	NOM	an
,	PUN	,
est	VER:pres	être
mort	VER:pper	mourir
sur	PRP	sur
le	DET:ART	le
coup	NOM	coup
.	SENT	.
dans	PRP	dans
le	DET:ART	le
second	NOM	second
véhicule	VER:pres	véhiculer
occupé	VER:pper	occuper
par	PRP	par
quatre	NUM	quatre
personnes	NOM	personne
,	PUN	,
le	DET:ART	le
passager	ADJ	passager
arrière	NOM	arrière
gauche	ADJ	gauche
est	VER:pres	être
également	ADV	également
décédé	VER:pper	décéder
.	SENT	.
un	DET:ART	un
bébé	NOM	bébé
de	PRP	de
7	NUM	@card@
mois	NOM	moi|mois
qui	PRO:REL	qui
se	PRO:PER	se
trouvait	VER:impf	trouver
également	ADV	également
à	PRP	à
l'	DET:ART	le
arrière	NOM	arrière
est	VER:pres	être
décédé	VER:pper	décéder
au	PRP:det	au
cours	NOM	cour|cours
de	PRP	de
la	DET:ART	le
nuit	NOM	nuit
après	PRP	après
avoir	VER:infi	avoir
été	VER:pper	être
transporté	VER:pper	transporter
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
.	SENT	.
la	DET:ART	le
conductrice	NOM	conducteur
et	KON	et
un	DET:ART	un
autre	ADJ	autre
passager	ADJ	passager
ont	VER:pres	avoir
été	VER:pper	être
blessés	VER:pper	blesser
.	SENT	.
