une	DET:ART	un
voie	NOM	voie
de	PRP	de
circulation	NOM	circulation
est	VER:pres	être
neutralisée	VER:pper	neutraliser
avenue	ADJ	avenu
chabaud	NOM	chabaud
latour	ADJ	latour
(	PUN	(
voie	NOM	voie
de	PRP	de
droite	NOM	droit|droite
dans	PRP	dans
le	DET:ART	le
sens	NOM	sen|sens
avenue	ADJ	avenu
d'	PRP	de
helvétie/avenue	ADJ	helvétie/avenue
joffre	NOM	joffre
)	PUN	)
jusqu'au	NOM	jusqu'au
dimanche	NOM	dimanche
12	NUM	@card@
janvier	NOM	janvier
et	KON	et
du	PRP:det	du
samedi	NOM	samedi
18	NUM	@card@
janvier	NOM	janvier
au	PRP:det	au
vendredi	NOM	vendredi
24	NUM	@card@
janvier	NOM	janvier
.	SENT	.
en	PRP	en
conséquence	NOM	conséquence
:	PUN	:
la	DET:ART	le
circulation	NOM	circulation
des	PRP:det	du
véhicules	NOM	véhicule
s'	PRO:PER	se
effectuera	VER:futu	effectuer
sur	PRP	sur
la	DET:ART	le
voie	NOM	voie
restante	ADJ	restant
et	KON	et
sera	VER:futu	être
limitée	VER:pper	limiter
à	PRP	à
30	NUM	@card@
km/h	ABR	kilomètres-heure
sur	PRP	sur
la	DET:ART	le
zone	NOM	zone
de	PRP	de
chantier	NOM	chantier
.	SENT	.
les	DET:ART	le
voies	NOM	voie
de	PRP	de
circulation	NOM	circulation
seront	VER:futu	être
neutralisées	VER:pper	neutraliser
avenue	NOM	avenue
chabaud	ADJ	chabaud
latour	NOM	latour
,	PUN	,
les	DET:ART	le
2	NUM	@card@
voies	NOM	voie
de	PRP	de
circulation	NOM	circulation
dans	PRP	dans
le	DET:ART	le
sens	NOM	sen|sens
avenue	ADJ	avenu
d'	PRP	de
helvétie/avenue	ADJ	helvétie/avenue
joffre	NOM	joffre
,	PUN	,
du	PRP:det	du
lundi	NOM	lundi
13	NUM	@card@
janvier	NOM	janvier
au	PRP:det	au
vendredi	NOM	vendredi
17	NUM	@card@
janvier	NOM	janvier
.	SENT	.
en	PRP	en
conséquence	NOM	conséquence
:	PUN	:
les	DET:ART	le
véhicules	NOM	véhicule
légers	ADJ	léger
et	KON	et
les	DET:ART	le
bus	NOM	bus
de	PRP	de
la	DET:ART	le
ctpm	NOM	ctpm
en	PRP	en
provenance	NOM	provenance
de	PRP	de
l'	DET:ART	le
avenue	NOM	avenue
d'	PRP	de
helvétie	NOM	helvétie
seront	VER:futu	être
déviés	VER:pper	dévier
par	PRP	par
la	DET:ART	le
rue	NOM	rue
j.	ABR	j.
bauhin	NOM	bauhin
en	PRP	en
direction	NOM	direction
de	PRP	de
l'	DET:ART	le
avenue	ADJ	avenu
joffre	NOM	joffre
.	SENT	.
les	DET:ART	le
véhicules	NOM	véhicule
poids-lourds	ADJ	poids-lourds
en	PRP	en
provenance	NOM	provenance
de	PRP	de
l'	DET:ART	le
avenue	NOM	avenue
d'	PRP	de
helvétie	NOM	helvétie
seront	VER:futu	être
déviés	VER:pper	dévier
par	PRP	par
l'	DET:ART	le
avenue	NOM	avenue
de	PRP	de
ludwigsburg	NOM	ludwigsburg
en	PRP	en
direction	NOM	direction
de	PRP	de
l'	PRO:PER	la|le
a	VER:pres	avoir
3	NUM	@card@
6	NUM	@card@
la	DET:ART	le
desserte	NOM	desserte
des	PRP:det	du
riverains	NOM	riverain
sera	VER:futu	être
autorisée	VER:pper	autoriser
de	PRP	de
part	NOM	part
et	KON	et
d'	PRP	de
autre	ADJ	autre
de	PRP	de
la	DET:ART	le
zone	NOM	zone
de	PRP	de
chantier	NOM	chantier
.	SENT	.
le	DET:ART	le
stationnement	NOM	stationnement
de	PRP	de
tout	PRO:IND	tout
véhicule	NOM	véhicule
sera	VER:futu	être
interdit	VER:pper	interdire
rue	NOM	rue
j.	VER:subi	j.
bauhin	NOM	bauhin
,	PUN	,
dans	PRP	dans
sa	DET:POS	son
totalité	NOM	totalité
,	PUN	,
des	PRP:det	du
2	NUM	@card@
côtés	NOM	côté
de	PRP	de
la	DET:ART	le
chaussée	NOM	chaussée
,	PUN	,
du	PRP:det	du
lundi	NOM	lundi
13	NUM	@card@
janvier	NOM	janvier
au	PRP:det	au
vendredi	NOM	vendredi
17	NUM	@card@
janvier	NOM	janvier
.	SENT	.
les	DET:ART	le
véhicules	NOM	véhicule
gênants	ADJ	gênant
en	PRP	en
infraction	NOM	infraction
seront	VER:futu	être
mis	VER:pper	mettre
à	PRP	à
la	DET:ART	le
fourrière	NOM	fourrière
aux	PRP:det	au
frais	ADJ	frais
des	PRP:det	du
propriétaires	NOM	propriétaire
.	SENT	.
la	DET:ART	le
circulation	NOM	circulation
de	PRP	de
tout	PRO:IND	tout
véhicule	NOM	véhicule
sera	VER:futu	être
neutralisée	VER:pper	neutraliser
,	PUN	,
rue	NOM	rue
de	PRP	de
l'	DET:ART	le
etang	NOM	etang
prolongée	ADJ	prolongé
,	PUN	,
à	PRP	à
son	DET:POS	son
débouché	NOM	débouché
sur	PRP	sur
l'	DET:ART	le
avenue	NOM	avenue
chabaud	ADJ	chabaud
latour	NOM	latour
,	PUN	,
jusqu'au	NOM	jusqu'au
vendredi	NOM	vendredi
10	NUM	@card@
janvier	NOM	janvier
.	SENT	.
en	PRP	en
conséquence	NOM	conséquence
:	PUN	:
les	DET:ART	le
véhicules	NOM	véhicule
seront	VER:futu	être
déviés	VER:pper	dévier
par	PRP	par
la	DET:ART	le
rue	NOM	rue
a.	VER:impf	a.
roux	ADJ	roux
.	SENT	.
