mairie	NOM	mairie
:	PUN	:
permanence	NOM	permanence
état	NOM	état
civil	ADJ	civil
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h.	ABR	h.
ecole	NOM	ecole
de	PRP	de
musique	NOM	musique
de	PRP	de
l'	DET:ART	le
association	NOM	association
pour	PRP	pour
la	DET:ART	le
promotion	NOM	promotion
de	PRP	de
la	DET:ART	le
musique	NOM	musique
(	PUN	(
apm	NOM	apm
)	PUN	)
:	PUN	:
de	PRP	de
11	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
à	PRP	à
l'	DET:ART	le
école	NOM	école
albert-camus	NOM	albert-camus
2	NUM	@card@
bis	ADJ	bis
rue	NOM	rue
des	PRP:det	du
cisterciens	NOM	cistercien
à	PRP	à
clairlieu	NOM	clairlieu
,	PUN	,
permanence	NOM	permanence
téléphonique	ADJ	téléphonique
au	PRP:det	au
03.83	NUM	@card@
.	SENT	.
27.68	NUM	@card@
.	SENT	.
04	NUM	@card@
permanence	NOM	permanence
de	PRP	de
l'	DET:ART	le
amcf	NOM	amcf
(	PUN	(
école	NOM	école
de	PRP	de
musique	NOM	musique
,	PUN	,
de	PRP	de
danse	NOM	danse
et	KON	et
de	PRP	de
langues	NOM	langue
étrangères	ADJ	étranger
)	PUN	)
au	PRP:det	au
centre	NOM	centre
socioculturel	ADJ	socioculturel
«	PUN:cit	«
le	DET:ART	le
placieux	ADJ	placieux
»	PUN:cit	»
16	NUM	@card@
boulevard	NOM	boulevard
cattenoz	NOM	cattenoz
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h.	ABR	h.
ludothèque	NOM	ludothèque
:	PUN	:
centre	NOM	centre
socioculturel	ADJ	socioculturel
«	PUN:cit	«
le	DET:ART	le
placieux	ADJ	placieux
»	PUN:cit	»
16	NUM	@card@
boulevard	NOM	boulevard
cattenoz	NOM	cattenoz
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h.	ABR	h.
bibliothèque	NOM	bibliothèque
pour	PRP	pour
tous	PRO:IND	tout
:	PUN	:
centre	NOM	centre
socio-culturel	ADJ	socio-culturel
«	PUN:cit	«
le	DET:ART	le
placieux	ADJ	placieux
»	PUN:cit	»
16	NUM	@card@
boulevard	NOM	boulevard
cattenoz	NOM	cattenoz
de	PRP	de
16	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h.	ABR	h.
bibliothèque-discothèque	NOM	bibliothèque-discothèque
:	PUN	:
117	NUM	@card@
avenue	NOM	avenue
du	PRP:det	du
général	ADJ	général
leclerc	NOM	leclerc
de	PRP	de
16	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h.	ABR	h.
bibliothèque	NOM	bibliothèque
pour	PRP	pour
tous	PRO:IND	tout
:	PUN	:
centre	NOM	centre
socioculturel	ADJ	socioculturel
«	PUN:cit	«
jean-savine	NOM	jean-savine
»	PUN:cit	»
à	PRP	à
villers-clairlieu	NOM	villers-clairlieu
,	PUN	,
boulevard	NOM	boulevard
des	PRP:det	du
essarts	NOM	essart
de	PRP	de
16	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h.	ABR	h.
correspondants	ADJ	correspondant
de	PRP	de
l'	DET:ART	le
est	NOM	est
républicain	ADJ	républicain
:	PUN	:
tél	ABR	téléphone
au	PRP:det	au
03.83	NUM	@card@
.	SENT	.
90.35	NUM	@card@
.	SENT	.
18	NUM	@card@
(	PUN	(
répondeur	ADJ	répondeur
et	KON	et
possibilité	NOM	possibilité
de	PRP	de
fax	NOM	fax
)	PUN	)
ou	KON	ou
au	PRP:det	au
06.08	NUM	@card@
.	SENT	.
31.19	NUM	@card@
.	SENT	.
44	NUM	@card@
