villey-st-etienne	ADJ	villey-st-etienne
-	PUN	-
deux	NUM	deux
voitures	NOM	voiture
accidentées	VER:pper	accidenter
hier	ADV	hier
soir	NOM	soir
,	PUN	,
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
les	DET:ART	le
pompiers	NOM	pompier
du	PRP:det	du
centre	NOM	centre
de	PRP	de
secours	NOM	secours
de	PRP	de
toul	NOM	toul
sont	VER:pres	être
intervenus	VER:pper	intervenir
sur	PRP	sur
la	DET:ART	le
rd	NOM	rd
10	NUM	@card@
a	VER:pres	avoir
,	PUN	,
à	PRP	à
hauteur	NOM	hauteur
de	PRP	de
villey-saint-etienne	NOM	villey-saint-etienne
,	PUN	,
après	PRP	après
un	DET:ART	un
accident	NOM	accident
de	PRP	de
la	DET:ART	le
circulation	NOM	circulation
impliquant	VER:ppre	impliquer
deux	NUM	deux
véhicules	NOM	véhicule
légers	ADJ	léger
.	SENT	.
un	NOM	un
des	PRP:det	du
conducteurs	NOM	conducteur
,	PUN	,
légèrement	ADV	légèrement
blessé	VER:pper	blesser
,	PUN	,
a	VER:pres	avoir
été	VER:pper	être
transporté	VER:pper	transporter
au	PRP:det	au
centre	NOM	centre
hospitalier	ADJ	hospitalier
saint-charles	NOM	saint-charles
.	SENT	.
toul	NOM	toul
-	PUN	-
deux	NUM	deux
militaires	NOM	militaire
interpellés	VER:pper	interpeller
dans	PRP	dans
la	DET:ART	le
nuit	NOM	nuit
de	PRP	de
jeudi	NOM	jeudi
à	PRP	à
vendredi	NOM	vendredi
,	PUN	,
des	PRP:det	du
policiers	NOM	policier
en	PRP	en
patrouille	NOM	patrouille
ont	VER:pres	avoir
surpris	VER:pper	surprendre
deux	NUM	deux
militaires	NOM	militaire
de	PRP	de
commercy	NOM	commercy
en	PRP	en
train	NOM	train
de	PRP	de
dérober	VER:infi	dérober
des	PRP:det	du
enjoliveurs	NOM	enjoliveur
de	PRP	de
roue	NOM	roue
sur	PRP	sur
un	DET:ART	un
véhicule	NOM	véhicule
stationné	VER:pper	stationner
dans	PRP	dans
l'	DET:ART	le
enceinte	NOM	enceinte
du	PRP:det	du
parking	NOM	parking
de	PRP	de
la	DET:ART	le
gare	NOM	gare
sncf	ADJ	sncf
.	SENT	.
ils	PRO:PER	il
ont	VER:pres	avoir
été	VER:pper	être
entendus	VER:pper	entendre
dans	PRP	dans
les	DET:ART	le
locaux	NOM	local
du	PRP:det	du
commissariat	NOM	commissariat
avant	PRP	avant
d'	PRP	de
être	VER:infi	être
remis	VER:pper	remettre
en	PRP	en
liberté	NOM	liberté
.	SENT	.
norroy-les-pam	NOM	norroy-les-pam
-	PUN	-
embardée	VER:pper	embarder
vendredi	NOM	vendredi
,	PUN	,
peu	ADV	peu
après	PRP	après
15	NUM	@card@
h	ABR	heure
,	PUN	,
une	DET:ART	un
voiture	NOM	voiture
,	PUN	,
avec	PRP	avec
deux	NUM	deux
personnes	NOM	personne
à	PRP	à
bord	NOM	bord
,	PUN	,
a	VER:pres	avoir
subitement	ADV	subitement
quitté	VER:pper	quitter
la	DET:ART	le
chaussée	NOM	chaussée
à	PRP	à
hauteur	NOM	hauteur
du	PRP:det	du
18	NUM	@card@
route	NOM	route
de	PRP	de
pont-à-mousson	NOM	pont-à-mousson
.	SENT	.
dans	PRP	dans
son	DET:POS	son
embardée	NOM	embardée
,	PUN	,
la	DET:ART	le
voiture	NOM	voiture
est	VER:pres	être
venue	VER:pper	venir
s'	PRO:PER	se
échouer	VER:infi	échouer
contre	PRP	contre
la	DET:ART	le
clôture	NOM	clôture
