ligue	NOM	ligue
libre	ADJ	libre
n	VER:simp	n
1	NUM	@card@
2	NUM	@card@
e	ADJ	e
tour	NOM	tour
.	SENT	.
le	DET:ART	le
deuxième	NUM	deuxième
tour	NOM	tour
de	PRP	de
ranking	NOM	ranking
du	PRP:det	du
championnat	NOM	championnat
de	PRP	de
lorraine	NOM	lorrain
à	PRP	à
la	DET:ART	le
partie	NOM	partie
libre	ADJ	libre
de	PRP	de
n	NOM	n
1,	NUM	@card@
sur	PRP	sur
la	DET:ART	le
distance	NOM	distance
de	PRP	de
300	NUM	@card@
points	NOM	point
,	PUN	,
se	PRO:PER	se
disputera	VER:futu	disputer
,	PUN	,
aujourd'hui	ADV	aujourd'hui
,	PUN	,
sur	PRP	sur
deux	NUM	deux
plateaux	NOM	plateau
,	PUN	,
à	PRP	à
florange	NOM	florange
et	KON	et
saint-dizier	NOM	saint-dizier
.	SENT	.
a	VER:pres	avoir
l'	DET:ART	le
issue	NOM	issue
du	PRP:det	du
premier	NUM	premier
tour	NOM	tour
,	PUN	,
zahner	NOM	zahner
,	PUN	,
hatier	NOM	hatier
,	PUN	,
mickaël	ADJ	mickaël
carreau	NOM	carreau
et	KON	et
millot	NOM	millot
ont	VER:pres	avoir
réalisé	VER:pper	réaliser
un	DET:ART	un
sans-faute	NOM	sans-faute
en	PRP	en
marquant	VER:ppre	marquer
le	DET:ART	le
maximum	NOM	maximum
de	PRP	de
points	NOM	point
.	SENT	.
qu'	KON	que
en	PRP	en
sera-t-il	NOM	sera-t-il
lors	ADV	lors
de	PRP	de
ce	PRO:DEM	ce
deuxième	NUM	deuxième
tour	NOM	tour
?	SENT	?
a	VER:pres	avoir
florange	NOM	florange
:	PUN	:
poule	NOM	poule
1	NUM	@card@
:	PUN	:
zahner	NOM	zahner
(	PUN	(
florange	NOM	florange
)	PUN	)
14	NUM	@card@
points	NOM	point
,	PUN	,
mg	NOM	mg
85,714 	NUM	@card@
;	PUN	;
cantamaglia	NOM	cantamaglia
(	PUN	(
laxou	NOM	laxou
)	PUN	)
8	NUM	@card@
pts	NOM	pts
,	PUN	,
14,926 	NUM	@card@
;	PUN	;
mangin	NAM	Mangin
(	PUN	(
laxou	NOM	laxou
)	PUN	)
8	NUM	@card@
pts	NOM	pts
,	PUN	,
11,552	NUM	@card@
.	SENT	.
poule	NOM	poule
2	NUM	@card@
:	PUN	:
hatier	NOM	hatier
(	PUN	(
laxou	NOM	laxou
)	PUN	)
14	NUM	@card@
pts	NOM	pts
,	PUN	,
35,294 	NUM	@card@
;	PUN	;
mickaël	NAM	mickaël
carreau	NOM	carreau
(	PUN	(
laxou	NOM	laxou
)	PUN	)
14	NUM	@card@
pts	NOM	pts
,	PUN	,
17,647 	NUM	@card@
;	PUN	;
klein	NOM	klein
(	PUN	(
petite-rosselle	NOM	petite-rosselle
)	PUN	)
4	NUM	@card@
pts	NOM	pts
,	PUN	,
11,214	NUM	@card@
.	SENT	.
a	VER:pres	avoir
saint-dizier	NOM	saint-dizier
:	PUN	:
millot	NOM	millot
(	PUN	(
saint-dizier	NOM	saint-dizier
)	PUN	)
14	NUM	@card@
pts	NOM	pts
,	PUN	,
18,182 	NUM	@card@
;	PUN	;
banzet	NOM	banzet
(	PUN	(
laxou	NOM	laxou
)	PUN	)
8	NUM	@card@
pts	NOM	pts
,	PUN	,
21,000 	NUM	@card@
;	PUN	;
sellen	NOM	sellen
(	PUN	(
florange	NOM	florange
)	PUN	)
4	NUM	@card@
pts	NOM	pts
,	PUN	,
6,679	NUM	@card@
.	SENT	.
