françoise	ADJ	françoise
bulte	NOM	bulte
:	PUN	:
châtenois	ADJ	châtenois
:	PUN	:
mairie	NOM	mairie
,	PUN	,
le	DET:ART	le
16	NUM	@card@
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
neufchâteau	NOM	neufchâteau
:	PUN	:
maison	NOM	maison
de	PRP	de
l'	DET:ART	le
agriculture	NOM	agriculture
,	PUN	,
les	DET:ART	le
10	NUM	@card@
17	ABR	@card@
24	NUM	@card@
et	KON	et
31	NUM	@card@
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h.	ABR	h.
monique	ADJ	monique
charles	NOM	charles
:	PUN	:
châtel-sur-moselle	NOM	châtel-sur-moselle
:	PUN	:
centre	NOM	centre
dvis	ADJ	dvis
,	PUN	,
le	DET:ART	le
21	NUM	@card@
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
rambervillers	NOM	rambervillers
:	PUN	:
maison	NOM	maison
de	PRP	de
l'	DET:ART	le
agriculture	NOM	agriculture
,	PUN	,
les	DET:ART	le
9	NUM	@card@
23	NUM	@card@
et	KON	et
30	NUM	@card@
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
le	DET:ART	le
17	NUM	@card@
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h.	ABR	h.
muriel	ADJ	muriel
gavoille	NOM	gavoille
:	PUN	:
bulgnéville	NOM	bulgnéville
:	PUN	:
antenne	NOM	antenne
msa	VER:simp	msa
,	PUN	,
les	DET:ART	le
9	NUM	@card@
16	ABR	@card@
23	NUM	@card@
et	KON	et
30	NUM	@card@
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
lamarche	NOM	lamarche
:	PUN	:
mairie	NOM	mairie
,	PUN	,
le	DET:ART	le
6	NUM	@card@
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
;	PUN	;
monthureux-sur-saône	NOM	monthureux-sur-saône
:	PUN	:
mairie	NOM	mairie
,	PUN	,
le	DET:ART	le
6	NUM	@card@
de	PRP	de
15	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
elisabeth	ADJ	elisabeth
marchal	NOM	marchal
:	PUN	:
bruyères	NOM	bruyère
:	PUN	:
mairie	NOM	mairie
,	PUN	,
le	DET:ART	le
10	NUM	@card@
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
corcieux	ADJ	corcieux
:	PUN	:
mairie	NOM	mairie
,	PUN	,
le	DET:ART	le
13	NUM	@card@
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
granges-sur-vologne	NOM	granges-sur-vologne
:	PUN	:
mairie	NOM	mairie
,	PUN	,
le	DET:ART	le
24	NUM	@card@
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
