châtel	NOM	châtel
:	PUN	:
visites	NOM	visite
guidées	VER:pper	guider
de	PRP	de
la	DET:ART	le
forteresse	NOM	forteresse
,	PUN	,
samedi	NOM	samedi
et	KON	et
dimanche	NOM	dimanche
,	PUN	,
à	PRP	à
partir	VER:infi	partir
de	PRP	de
15	NUM	@card@
h	ABR	heure
(	PUN	(
durée	VER:pper	durer
de	PRP	de
la	DET:ART	le
visite	NOM	visite
1	NUM	@card@
h	ABR	heure
30	NUM	@card@
).	ABR	).
renseignements	NOM	renseignement
au	PRP:det	au
03.29	NUM	@card@
.	SENT	.
67.14	NUM	@card@
.	SENT	.
18	NUM	@card@
tarifs	NOM	tarif
:	PUN	:
4	NUM	@card@
	NOM	
(	PUN	(
adulte	ADJ	adulte
),	NOM	),
3	NUM	@card@
	NOM	
(	PUN	(
étudiant	VER:ppre	étudier
,	PUN	,
groupe	NOM	groupe
et	KON	et
ambassadeur	NOM	ambassadeur
de	PRP	de
lorraine	ADJ	lorrain
),	NOM	),
1	NUM	@card@
	NOM	
(	PUN	(
enfant	NOM	enfant
jusqu'à	NOM	jusqu'à
12	NUM	@card@
ans	NOM	an
).	VER:subi	).
domrémy-la-pucelle	NOM	domrémy-la-pucelle
:	PUN	:
centre	NOM	centre
johannique	ADJ	johannique
,	PUN	,
ouvert	VER:pper	ouvrir
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
tous	PRO:IND	tout
les	DET:ART	le
jours	NOM	jour
sauf	PRP	sauf
le	DET:ART	le
mardi	NOM	mardi
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
06.95	NUM	@card@
.	SENT	.
86	NUM	@card@
-	PUN	-
musée	NOM	musée
jeanne	NOM	jeanne
d'	PRP	de
arc	NOM	arc
,	PUN	,
8	NUM	@card@
grande	ADJ	grand
rue	NOM	rue
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h.	ABR	h.
epinal	NOM	epinal
:	PUN	:
-	PUN	-
imagerie	NOM	imagerie
d'	PRP	de
epinal	NOM	epinal
,	PUN	,
visite	NOM	visite
guidée	VER:pper	guider
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
samedi	NOM	samedi
,	PUN	,
