respectant	VER:ppre	respecter
une	DET:ART	un
tradition	NOM	tradition
désormais	ADV	désormais
bien	ADV	bien
établie	VER:pper	établir
,	PUN	,
la	DET:ART	le
municipalité	NOM	municipalité
honore	VER:pres	honorer
les	DET:ART	le
personnes	NOM	personne
âgées	ADJ	âgé
de	PRP	de
80	NUM	@card@
ans	NOM	an
,	PUN	,
au	PRP:det	au
cours	NOM	cour|cours
d'	PRP	de
une	DET:ART	un
cérémonie	NOM	cérémonie
bien	ADV	bien
sympathique	ADJ	sympathique
,	PUN	,
en	PRP	en
leur	DET:POS	leur
offrant	NOM	offrant
un	DET:ART	un
fauteuil	NOM	fauteuil
.	SENT	.
cette	PRO:DEM	ce
année	NOM	année
,	PUN	,
marie-thérèse	NOM	marie-thérèse
mesny	NOM	mesny
a	VER:pres	avoir
été	VER:pper	être
fêtée	VER:pper	fêter
par	PRP	par
toute	PRO:IND	tout
la	DET:ART	le
population	NOM	population
réunie	VER:pper	réunir
dans	PRP	dans
une	DET:ART	un
ambiance	NOM	ambiance
d'	PRP	de
amitié	NOM	amitié
.	SENT	.
le	DET:ART	le
maire	NOM	maire
,	PUN	,
jean-paul	NOM	jean-paul
vuillaume	NOM	vuillaume
,	PUN	,
lui	PRO:PER	lui
a	VER:pres	avoir
rendu	VER:pper	rendre
un	DET:ART	un
hommage	NOM	hommage
affectueux	ADJ	affectueux
.	SENT	.
il	PRO:PER	il
a	VER:pres	avoir
retracé	VER:pper	retracer
l'	DET:ART	le
enfance	NOM	enfance
difficile	ADJ	difficile
de	PRP	de
marie-thérèse	NOM	marie-thérèse
,	PUN	,
prématurément	ADV	prématurément
affectée	VER:pper	affecter
par	PRP	par
le	DET:ART	le
décès	NOM	décès
de	PRP	de
sa	DET:POS	son
maman	NOM	maman
,	PUN	,
puis	ADV	puis
sa	DET:POS	son
vie	NOM	vie
de	PRP	de
labeur	NOM	labeur
et	KON	et
d'	PRP	de
épreuves	NOM	épreuve
.	SENT	.
après	PRP	après
avoir	VER:infi	avoir
évoqué	VER:pper	évoquer
l'	DET:ART	le
affectueuse	ADJ	affectueux
complicité	NOM	complicité
qui	PRO:REL	qui
la	PRO:PER	la
liait	VER:impf	lier
à	PRP	à
son	DET:POS	son
cousin	NOM	cousin
dominicain	ADJ	dominicain
,	PUN	,
le	DET:ART	le
père	NOM	père
perret	ADJ	perret
,	PUN	,
décédé	ADJ	décédé
hélas	VER:simp	héler
l'	DET:ART	le
année	NOM	année
dernière	ADJ	dernier
,	PUN	,
il	PRO:PER	il
a	VER:pres	avoir
célébré	VER:pper	célébrer
l'	DET:ART	le
activité	NOM	activité
inlassable	ADJ	inlassable
et	KON	et
la	DET:ART	le
sociabilité	NOM	sociabilité
de	PRP	de
marie-thérèse	NOM	marie-thérèse
,	PUN	,
sa	DET:POS	son
vitalité	NOM	vitalité
,	PUN	,
sa	DET:POS	son
mémoire	NOM	mémoire
indéfectible	ADJ	indéfectible
,	PUN	,
sa	DET:POS	son
connaissance	NOM	connaissance
unique	ADJ	unique
des	PRP:det	du
lieux	NOM	lieu
et	KON	et
des	PRP:det	du
familles	NOM	famille
,	PUN	,
aiguisée	VER:pper	aiguiser
dès	PRP	dès
l'	DET:ART	le
enfance	NOM	enfance
pour	PRP	pour
un	DET:ART	un
contact	NOM	contact
quotidien	ADJ	quotidien
avec	PRP	avec
des	PRP:det	du
personnes	NOM	personne
de	PRP	de
tout	PRO:IND	tout
l'	DET:ART	le
arrondissement	NOM	arrondissement
venues	ADJ	venu
solliciter	VER:infi	solliciter
les	DET:ART	le
services	NOM	service
de	PRP	de
ses	DET:POS	son
tantes	NOM	tante
couturières	NOM	couturière
.	SENT	.
toutes	PRO:IND	tout
ces	PRO:DEM	ce
précieuses	ADJ	précieux
qualités	NOM	qualité
ont	VER:pres	avoir
été	VER:pper	être
soulignées	VER:pper	souligner
par	PRP	par
le	DET:ART	le
maire	NOM	maire
.	SENT	.
