jura	VER:simp	jurer
dole	VER:pres	doler
le	DET:ART	le
6	NUM	@card@
janvier/18	NOM	janvier/18
h-20	ABR	h-20
h	ABR	heure
«	PUN:cit	«
l'	DET:ART	le
art	NOM	art
à	PRP	à
florence	NOM	florence
»	PUN:cit	»
masaccio	NOM	masaccio
,	PUN	,
l'	DET:ART	le
homme	NOM	homme
sans	PRP	sans
précédent	NOM	précédent
par	PRP	par
marie-dominique	NOM	marie-dominique
joubert	NOM	joubert
,	PUN	,
docteur	NOM	docteur
en	PRP	en
histoire	NOM	histoire
à	PRP	à
besançon	NOM	besançon
salle	NOM	salle
edgar	NOM	edgar
faure	NOM	faure
,	PUN	,
hôtel	NOM	hôtel
de	PRP	de
ville	NOM	ville
sur	PRP	sur
inscriptions	NOM	inscription
03.84	NUM	@card@
.	SENT	.
79.79	NUM	@card@
.	SENT	.
81	NUM	@card@
