audincourt	VER:pres	audincourt
les	DET:ART	le
24	NUM	@card@
et	KON	et
25	NUM	@card@
janvier/20	NOM	janvier/20
h	ABR	heure
30	NUM	@card@
concert	NOM	concert
des	PRP:det	du
compagnons	NOM	compagnon
au	PRP:det	au
profit	NOM	profit
des	PRP:det	du
restos	NOM	resto
du	PRP:det	du
c	NOM	c
	ADJ	
ur	VER:simp	ur
foyer	NOM	foyer
municipal	ADJ	municipal
03.81	NUM	@card@
.	SENT	.
35.54	NUM	@card@
.	SENT	.
46	NUM	@card@
besançon	NOM	besançon
le	DET:ART	le
8	NUM	@card@
janvier/20	ABR	janvier/20
h	ABR	heure
le	DET:ART	le
9	NUM	@card@
janvier/20	NOM	janvier/20
h	ABR	heure
eric	NOM	eric
le	DET:ART	le
sage	ADJ	sage
récital	NOM	récital
de	PRP	de
piano	NOM	piano
opéra-théâtre	ADJ	opéra-théâtre
03.81	NUM	@card@
.	SENT	.
87.81	NUM	@card@
.	SENT	.
97	NUM	@card@
le	DET:ART	le
10	NUM	@card@
janvier	NOM	janvier
le	DET:ART	le
voyage	NOM	voyage
d'	PRP	de
hiver	NOM	hiver
musique	NOM	musique
de	PRP	de
chambre	NOM	chambre
opéra-théâtre	ADJ	opéra-théâtre
03.81	NUM	@card@
.	SENT	.
87.81	NUM	@card@
.	SENT	.
97	NUM	@card@
le	DET:ART	le
11	NUM	@card@
janvier/20	NOM	janvier/20
h	ABR	heure
schubert	NOM	schubert
à	PRP	à
quatre	NUM	quatre
mains	NOM	main
au	PRP:det	au
piano	NOM	piano
:	PUN	:
guillaume	NOM	guillaume
coppola	NOM	coppola
,	PUN	,
avec	PRP	avec
le	DET:ART	le
concours	NOM	concours
de	PRP	de
suan	ADJ	suan
manoff	NOM	manoff
et	KON	et
eric	NOM	eric
le	DET:ART	le
sage	ADJ	sage
opéra-théâtre	NOM	opéra-théâtre
03.81	NUM	@card@
.	SENT	.
87.81	NUM	@card@
.	SENT	.
97	NUM	@card@
le	DET:ART	le
12	NUM	@card@
janvier/15	NOM	janvier/15
h	ABR	heure
jeunes	ADJ	jeune
pousses	NOM	pousse
jeune	ADJ	jeune
orchestre	NOM	orchestre
d'	PRP	de
harmonie	NOM	harmonie
du	PRP:det	du
conservatoire	ADJ	conservatoire
musique	NOM	musique
de	PRP	de
chambre	NOM	chambre
opéra-théâtre	ADJ	opéra-théâtre
03.81	NUM	@card@
