bethoncourt	NOM	bethoncourt
le	DET:ART	le
29	NUM	@card@
janvier/15	ABR	janvier/15
h	ABR	heure
«	PUN:cit	«
le	DET:ART	le
bal	NOM	bal
de	PRP	de
l'	DET:ART	le
univers	NOM	univers
»	PUN:cit	»
théâtre	NOM	théâtre
d'	PRP	de
objets	NOM	objet
bonjour	NOM	bonjour
,	PUN	,
bons	ADJ	bon
jours	NOM	jour
,	PUN	,
petites	ADJ	petit
et	KON	et
grandes	ADJ	grand
personnes	NOM	personne
.	SENT	.
11	NUM	@card@
,	NOM	,
tarif	NOM	tarif
réduit	VER:pper	réduire
10	NUM	@card@
,	NOM	,
jeunes	ADJ	jeune
6,40	NUM	@card@
	NOM	
arche	NOM	arche
03.81	NUM	@card@
.	SENT	.
97.35	NUM	@card@
.	SENT	.
12	NUM	@card@
besançon	NOM	besançon
le	DET:ART	le
14	NUM	@card@
janvier/20	NOM	janvier/20
h	ABR	heure
30	ABR	@card@
«	PUN:cit	«
tout	PRO:IND	tout
bascule	NOM	bascule
»	PUN:cit	»
avec	PRP	avec
georges	ADJ	georges
beller	NOM	beller
et	KON	et
julie	NOM	julie
arnold	NOM	arnold
tarifs	NOM	tarif
:	PUN	:
de	PRP	de
27	NUM	@card@
à	PRP	à
35	NUM	@card@
	NOM	
kursaal	NOM	kursaal
03.81	NUM	@card@
.	SENT	.
81.11	NUM	@card@
.	SENT	.
11	NUM	@card@
le	DET:ART	le
21	NUM	@card@
janvier/20	NOM	janvier/20
h	ABR	heure
30	ABR	@card@
le	DET:ART	le
22	NUM	@card@
janvier/19	ABR	janvier/19
h	ABR	heure
«	PUN:cit	«
le	DET:ART	le
malade	NOM	malade
imaginaire	ADJ	imaginaire
»	PUN:cit	»
molière	NOM	molière
nouveau	ADJ	nouveau
théâtre	NOM	théâtre
03.81	NUM	@card@
.	SENT	.
88.55	NUM	@card@
.	SENT	.
11	NUM	@card@
les	DET:ART	le
24	NUM	@card@
et	KON	et
25	NUM	@card@
janvier/20	NOM	janvier/20
h	ABR	heure
30	ABR	@card@
«	PUN:cit	«
les	DET:ART	le
enfants	NOM	enfant
d'	PRP	de
izieu	NOM	izieu
»	PUN:cit	»
de	PRP	de
roland	ADJ	roland
causse	NOM	causse
par	PRP	par
le	DET:ART	le
théâtre	NOM	théâtre
du	PRP:det	du
pilier	NOM	pilier
,	PUN	,
belfort	ADJ	belfort
théâtre	NOM	théâtre
bacchus	NOM	bacchus
03.81	NUM	@card@
.	SENT	.
82.22	NUM	@card@
.	SENT	.
48	NUM	@card@
le	DET:ART	le
28	NUM	@card@
janvier/20	NOM	janvier/20
h	ABR	heure
30	ABR	@card@
«	PUN:cit	«
anthropozoo	NOM	anthropozoo
»	PUN:cit	»
gildas	VER:simp	gildas
milin	ADJ	milin
nouveau	ADJ	nouveau
théâtre	NOM	théâtre
03.81	NUM	@card@
.	SENT	.
88.55	NUM	@card@
.	SENT	.
11	NUM	@card@
le	DET:ART	le
29	NUM	@card@
janvier/20	NOM	janvier/20
h	ABR	heure
30	ABR	@card@
«	PUN:cit	«
bon	ADJ	bon
appétit	NOM	appétit
messieurs	NOM	messieurs
!	SENT	!
»	PUN:cit	»
avec	PRP	avec
michel	NOM	michel
galabru	ADJ	galabru
tarifs	NOM	tarif
:	PUN	:
de	PRP	de
29	NUM	@card@
à	PRP	à
40	NUM	@card@
	NOM	
opéra-théâtre	ADJ	opéra-théâtre
03.81	NUM	@card@
.	SENT	.
81.11	NUM	@card@
.	SENT	.
11	NUM	@card@
montbéliard	NOM	montbéliard
le	DET:ART	le
10	NUM	@card@
janvier/20	NOM	janvier/20
h	ABR	heure
30	ABR	@card@
«	PUN:cit	«
isma	ADJ	isma
»	PUN:cit	»
théâtre	NOM	théâtre
0.805	NUM	@card@
.	SENT	.
710.700	NUM	@card@
.	SENT	.
le	DET:ART	le
21	NUM	@card@
janvier/20	NOM	janvier/20
h	ABR	heure
30	ABR	@card@
«	PUN:cit	«
les	DET:ART	le
nuits	NOM	nuit
d'	PRP	de
afred	NAM	afred
de	PRP	de
musset	NOM	musset
»	PUN:cit	»
théâtre	NOM	théâtre
musical	ADJ	musical
un	DET:ART	un
poète	NOM	poète
et	KON	et
une	DET:ART	un
muse	NOM	muse
se	PRO:PER	se
font	VER:pres	faire
face	NOM	face
.	SENT	.
14	NUM	@card@
,	NOM	,
réduit	VER:pper	réduire
10	NUM	@card@
	NOM	
théâtre	NOM	théâtre
0.805	NUM	@card@
.	SENT	.
710.700	NUM	@card@
.	SENT	.
sochaux	NOM	sochaux
le	DET:ART	le
7	NUM	@card@
janvier/20	NOM	janvier/20
h	ABR	heure
30	NUM	@card@
ruy	NOM	ruy
blas	VER:simp	blas
mals	ADJ	mal
03.81	NUM	@card@
.	SENT	.
94.16	NUM	@card@
.	SENT	.
62	NUM	@card@
le	DET:ART	le
10	NUM	@card@
janvier/20	NOM	janvier/20
h	ABR	heure
30	ABR	@card@
«	PUN:cit	«
zic	NOM	zic
zazou	NOM	zazou
»	PUN:cit	»
chanteurs	NOM	chanteur
,	PUN	,
artistes	ADJ	artiste
,	PUN	,
clowns	NOM	clown
.	SENT	.
mals	ADJ	mal
17	NUM	@card@
,	NOM	,
réduit	VER:pper	réduire
14	NUM	@card@
	ABR	
03.81	NUM	@card@
.	SENT	.
94.16	NUM	@card@
.	SENT	.
62	NUM	@card@
le	DET:ART	le
24	NUM	@card@
janvier/20	NOM	janvier/20
h	ABR	heure
30	ABR	@card@
«	PUN:cit	«
le	DET:ART	le
jardin	NOM	jardin
des	PRP:det	du
apparences	NOM	apparence
»	PUN:cit	»
mals	ADJ	mal
03.81	NUM	@card@
.	SENT	.
94.16	NUM	@card@
.	SENT	.
62	NUM	@card@
voujeaucourt	NOM	voujeaucourt
le	DET:ART	le
19	NUM	@card@
janvier/15	ABR	janvier/15
h	ABR	heure
«	PUN:cit	«
théâtre	NOM	théâtre
»	PUN:cit	»
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
