le	DET:ART	le
jour	NOM	jour
de	PRP	de
collecte	NOM	collecte
des	PRP:det	du
ordures	NOM	ordure
ménagères	ADJ	ménager
change	VER:pres	changer
à	PRP	à
compter	VER:infi	compter
d'	PRP	de
aujourd'hui	ADV	aujourd'hui
:	PUN	:
lundi	NOM	lundi
,	PUN	,
eulmont	NOM	eulmont
,	PUN	,
moulins	NOM	moulin
,	PUN	,
bouxières-aux-chênes	NOM	bouxières-aux-chênes
,	PUN	,
ecuelle	ADJ	ecuelle
,	PUN	,
blanzey	NOM	blanzey
;	PUN	;
mardi	NOM	mardi
,	PUN	,
champenoux	NOM	champenoux
,	PUN	,
agincourt	ADJ	agincourt
,	PUN	,
dommartin	ADJ	dommartin
;	PUN	;
mercredi	NOM	mercredi
,	PUN	,
laneuvelotte	NOM	laneuvelotte
,	PUN	,
velaine	NOM	velaine
,	PUN	,
mazerulle	NAM	mazerulle
,	PUN	,
moncel	NOM	moncel
,	PUN	,
laitre	VER:infi	laitre
,	PUN	,
amance	NOM	amance
;	PUN	;
jeudi	NOM	jeudi
,	PUN	,
sornéville	NOM	sornéville
,	PUN	,
erbéviller	NOM	erbéviller
,	PUN	,
gellenoncourt	ADJ	gellenoncourt
,	PUN	,
haraucourt	ADJ	haraucourt
,	PUN	,
lenoncourt	ADJ	lenoncourt
,	PUN	,
buissoncourt	ADJ	buissoncourt
,	PUN	,
cerville	NOM	cerville
.	SENT	.
