scratch	ADJ	scratch
:	PUN	:
1	NUM	@card@
jérôme	NOM	jérôme
chevalier	NOM	chevalier
(	PUN	(
cc	NOM	cc
etupes	ADJ	etupes
)	PUN	)
et	KON	et
emmanuel	ADJ	emmanuel
chevalier	NOM	chevalier
(	PUN	(
vc	ADJ	vc
st	VER:futu	st
claude	NOM	claude
)	PUN	)
;	PUN	;
2	NUM	@card@
brice	NOM	brice
chevalier	NOM	chevalier
(	PUN	(
vc	NOM	vc
bressan	ADJ	bressan
)	PUN	)
et	KON	et
olivier	NOM	olivier
fachinetti	VER:pper	fachinetti
(	PUN	(
vc	ADJ	vc
st	VER:futu	st
claude	NOM	claude
)	PUN	)
;	PUN	;
3	NUM	@card@
chevènement	NOM	chevènement
-	PUN	-
febvay	NOM	febvay
(	PUN	(
cc	ADJ	cc
revermont	VER:futu	revermont
)	PUN	)
;	PUN	;
4	NUM	@card@
kneisky	NOM	kneisky
(	PUN	(
besançon	NOM	besançon
rc	ADJ	rc
)	PUN	)
et	KON	et
perret	ADJ	perret
(	PUN	(
ac	ABR	ac
bourg	NOM	bourg
)	PUN	)
;	PUN	;
5	NUM	@card@
franchequin-jeannet	NOM	franchequin-jeannet
(	PUN	(
cc	ADJ	cc
revermont	VER:futu	revermont
)	PUN	)
;	PUN	;
6	NUM	@card@
petit-barthey	NOM	petit-barthey
(	PUN	(
vc	ADJ	vc
st	VER:futu	st
claude	NOM	claude
)	PUN	)
;	PUN	;
7	NUM	@card@
sire-pardon	NOM	sire-pardon
(	PUN	(
st	VER:simp	st
ferjeux	NOM	ferjeux
)	PUN	)
;	PUN	;
8	NUM	@card@
monrolin	NOM	monrolin
(	PUN	(
cc	ADJ	cc
revermont	VER:futu	revermont
)	PUN	)
et	KON	et
osinsky	NOM	osinsky
(	PUN	(
ornans	ADJ	ornans
)	PUN	)
;	PUN	;
9	NUM	@card@
j.	ABR	j.
-	PUN	-
m.	ABR	m.
chevalier	NOM	chevalier
(	PUN	(
vc	ADJ	vc
st	VER:futu	st
claude	NOM	claude
)	PUN	)
et	KON	et
marguet	NOM	marguet
(	PUN	(
morteau	NOM	morteau
)	PUN	)
;	PUN	;
10	NUM	@card@
billod-laillet	NOM	billod-laillet
(	PUN	(
ornans	ADJ	ornans
)	PUN	)
et	KON	et
garnier	NOM	garnier
(	PUN	(
acdtr	NOM	acdtr
).	VER:ppre	).
juniors	NOM	junior
:	PUN	:
1	NUM	@card@
quiclet	NOM	quiclet
(	PUN	(
guidon	NOM	guidon
bletteranois	ADJ	bletteranois
)	PUN	)
-	PUN	-
mougel	NOM	mougel
(	PUN	(
vc	NOM	vc
montbéliard	ADJ	montbéliard
)	PUN	)
;	PUN	;
2	NUM	@card@
robert-methot	NOM	robert-methot
(	PUN	(
vc	NOM	vc
montbéliard	ADJ	montbéliard
).	VER:simp	).
cadets	ADJ	cadet
:	PUN	:
1	NUM	@card@
chasinel	NOM	chasinel
(	PUN	(
ec	VER:simp	ec
st	NOM	st
etienne	ADJ	etienne
)	PUN	)
-	PUN	-
lucie	NOM	lucie
lefevre	NOM	lefevre
(	PUN	(
vc	NOM	vc
morteau	NOM	morteau
)	PUN	)
;	PUN	;
2	NUM	@card@
a.	ABR	a.
gounand	NOM	gounand
(	PUN	(
cc	ADJ	cc
revermont	VER:futu	revermont
)	PUN	)
-	PUN	-
kniesky	NOM	kniesky
(	PUN	(
ac	ABR	ac
besançon	NOM	besançon
)	PUN	)
;	PUN	;
3	NUM	@card@
barbier-gaudry	NOM	barbier-gaudry
(	PUN	(
guidon	NOM	guidon
bletteranois	ADJ	bletteranois
).	VER:simp	).
minimes	ADJ	minime
:	PUN	:
1	NUM	@card@
guette-ecoiffier	NOM	guette-ecoiffier
(	PUN	(
vtt	NOM	vtt
conliège	ADJ	conliège
)	PUN	)
;	PUN	;
2	NUM	@card@
garnier-colomb	NOM	garnier-colomb
(	PUN	(
vtt	NOM	vtt
lizon	NOM	lizon
)	PUN	)
;	PUN	;
3	NUM	@card@
kielbasa	NOM	kielbasa
(	PUN	(
dole	VER:pres	doler
)	PUN	)
-	PUN	-
mehlot	NOM	mehlot
(	PUN	(
guidon	NOM	guidon
bletteranois	ADJ	bletteranois
).	ADJ	).
