critérium	NOM	critérium
espoir	NOM	espoir
super	ADJ	super
mi-moyen	ADJ	mi-moyen
:	PUN	:
touati	NOM	touati
(	PUN	(
wasquehal	NOM	wasquehal
)	PUN	)
bat	VER:pres	battre
sid	NOM	sid
(	PUN	(
rob	NOM	rob
)	PUN	)
39	NUM	@card@
-	PUN	-
37	NUM	@card@
demi-finales	NOM	demi-finale
du	PRP:det	du
championnat	NOM	championnat
de	PRP	de
franche-comté	NOM	franche-comté
super	ADJ	super
léger	ADJ	léger
:	PUN	:
farguette	NOM	farguette
(	PUN	(
lons	VER:pper	lons
)	PUN	)
bat	VER:pres	battre
saoud	NOM	saoud
(	PUN	(
sochaux	ADJ	sochaux
)	PUN	)
aux	PRP:det	au
points	NOM	point
;	PUN	;
abendi	VER:pper	abendi
(	PUN	(
sochaux	ADJ	sochaux
)	PUN	)
bat	VER:pres	battre
rabie	VER:pper	rabie
hakkar	NOM	hakkar
(	PUN	(
rob	NOM	rob
)	PUN	)
aux	PRP:det	au
points	NOM	point
.	SENT	.
mi-moyen	ADJ	mi-moyen
:	PUN	:
ibraim	NOM	ibraim
(	PUN	(
sochaux	ADJ	sochaux
)	PUN	)
bat	VER:pres	battre
ekrem	NOM	ekrem
(	PUN	(
valentigney	NOM	valentigney
)	PUN	)
aux	PRP:det	au
poings	NOM	poing
;	PUN	;
merdjaoui	VER:pper	merdjaoui
(	PUN	(
sochaux	ADJ	sochaux
)	PUN	)
bat	VER:pres	battre
abdelakeme	NOM	abdelakeme
(	PUN	(
st	VER:simp	st
vit	VER:pres	vivre
)	PUN	)
aux	PRP:det	au
points	NOM	point
.	SENT	.
super	ADJ	super
mi-moyen	NOM	mi-moyen
:	PUN	:
ferchichi	VER:pper	ferchichi
(	PUN	(
rob	NOM	rob
)	PUN	)
bat	VER:pres	battre
bellasssan	ADJ	bellasssan
(	PUN	(
valentigney	NOM	valentigney
)	PUN	)
par	PRP	par
disqualification	NOM	disqualification
.	SENT	.
combats	NOM	combat
hors	PRP	hors
championnat	NOM	championnat
légers	ADJ	léger
:	PUN	:
bouyarden	ADJ	bouyarden
bat	VER:pres	battre
f.	VER:pper	f.
sid	NOM	sid
par	PRP	par
jet	NOM	jet
de	PRP	de
l'	DET:ART	le
éponge	NOM	éponge
.	SENT	.
super	ADJ	super
mi-moyen	NOM	mi-moyen
:	PUN	:
boudet	NOM	boudet
(	PUN	(
valentigney	NOM	valentigney
)	PUN	)
bat	VER:pres	battre
tahir	VER:infi	tahir
(	PUN	(
rob	NOM	rob
)	PUN	)
aux	PRP:det	au
points	NOM	point
.	SENT	.
super	ADJ	super
mi-moyen	NOM	mi-moyen
:	PUN	:
saliku	NOM	saliku
(	PUN	(
rob	NOM	rob
)	PUN	)
bat	VER:pres	battre
kahedim	NOM	kahedim
(	PUN	(
sochaux	ADJ	sochaux
)	PUN	)
aux	PRP:det	au
points	NOM	point
.	SENT	.
