rageant	VER:ppre	rager
,	PUN	,
sans	PRP	sans
aucun	PRO:IND	aucun
doute	NOM	doute
.	SENT	.
elle	PRO:PER	elle
était	VER:impf	être
tant	ADV	tant
espérée	VER:pper	espérer
,	PUN	,
cette	PRO:DEM	ce
neige	NOM	neige
qui	PRO:REL	qui
n'	ADV	ne
est	VER:pres	être
tombée	VER:pper	tomber
que	KON	que
le	DET:ART	le
dernier	ADJ	dernier
jour	NOM	jour
des	PRP:det	du
congés	NOM	congé
scolaires	ADJ	scolaire
.	SENT	.
il	PRO:PER	il
a	VER:pres	avoir
fallu	VER:pper	falloir
attendre	VER:infi	attendre
l'	DET:ART	le
ultime	ADJ	ultime
week-end	NOM	week-end
de	PRP	de
vacances	NOM	vacance
de	PRP	de
noël	NOM	noël
pour	PRP	pour
pouvoir	NOM	pouvoir
se	PRO:PER	se
lancer	VER:infi	lancer
à	PRP	à
ski	NOM	ski
sur	PRP	sur
les	DET:ART	le
pentes	NOM	pente
du	PRP:det	du
ballon	NOM	ballon
d'	PRP	de
alsace	NOM	alsace
.	SENT	.
encore	ADV	encore
que	KON	que
sans	PRP	sans
trop	ADV	trop
de	PRP	de
visibilité	NOM	visibilité
pour	PRP	pour
les	DET:ART	le
premiers	NOM	premier
pratiquants	ADJ	pratiquant
ravis	VER:pper	ravir
d'	PRP	de
en	PRO:PER	en
découdre	VER:infi	découdre
avec	PRP	avec
les	DET:ART	le
flocons	NOM	flocon
.	SENT	.
le	DET:ART	le
froid	NOM	froid
va	VER:pres	aller
vraisemblablement	ADV	vraisemblablement
conserver	VER:infi	conserver
ce	PRO:DEM	ce
blanc	ADJ	blanc
tapis	NOM	tapis
sur	PRP	sur
les	DET:ART	le
hauteurs	NOM	hauteur
du	PRP:det	du
territoire	NOM	territoire
.	SENT	.
en	PRP	en
effet	NOM	effet
,	PUN	,
comble	NOM	comble
d'	PRP	de
ironie	NOM	ironie
de	PRP	de
l'	DET:ART	le
imprévisible	ADJ	imprévisible
météo	NOM	météo
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
seulement	ADV	seulement
maintenant	ADV	maintenant
que	KON	que
le	DET:ART	le
mercure	NOM	mercure
est	VER:pres	être
descendu	VER:pper	descendre
au	PRP:det	au
-	PUN	-
dessous	ADV	dessous
de	PRP	de
0	NUM	@card@
°	NOM	°
c	ADJ	c
,	PUN	,
que	KON	que
le	DET:ART	le
nouveau	ADJ	nouveau
canon	NOM	canon
à	PRP	à
neige	NOM	neige
dont	PRO:REL	dont
le	DET:ART	le
ballon	NOM	ballon
est	VER:pres	être
si	ADV	si
fier	VER:infi	fier
va	VER:pres	aller
pouvoir	VER:infi	pouvoir
entrer	VER:infi	entrer
en	PRP	en
action	NOM	action
.	SENT	.
jusque	PRP	jusque
là	ADV	là
,	PUN	,
la	DET:ART	le
tiédeur	NOM	tiédeur
ambiante	ADJ	ambiant
empêchait	VER:impf	empêcher
de	PRP	de
l'	PRO:PER	la|le
utiliser	VER:infi	utiliser
.	SENT	.
de	PRP	de
quoi	PRO	quoi
donner	VER:infi	donner
des	PRP:det	du
envies	NOM	envie
de	PRP	de
faire	VER:infi	faire
l'	DET:ART	le
école	NOM	école
buissonnière	ADJ	buissonnier
dans	PRP	dans
la	DET:ART	le
semaine	NOM	semaine
qui	PRO:REL	qui
s'	PRO:PER	se
ouvre	VER:pres	ouvrer|ouvrir
.	SENT	.
on	PRO:PER	on
relativisera	VER:futu	relativiser
cette	PRO:DEM	ce
mésaventure	NOM	mésaventure
,	PUN	,
au	PRP:det	au
regard	NOM	regard
des	PRP:det	du
dommages	NOM	dommage
endurés	VER:pper	endurer
par	PRP	par
les	DET:ART	le
régions	NOM	région
de	PRP	de
france	NOM	france
paralysées	VER:pper	paralyser
par	PRP	par
le	DET:ART	le
verglas	NOM	verglas
.	SENT	.
ici	ADV	ici
au	PRP:det	au
moins	ADV	moins
,	PUN	,
l'	DET:ART	le
arrivée	NOM	arrivé|arrivée
de	PRP	de
l'	DET:ART	le
hiver	NOM	hiver
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
entravé	VER:pper	entraver
la	DET:ART	le
circulation	NOM	circulation
.	SENT	.
