habitat	NOM	habitat
:	PUN	:
permanence	NOM	permanence
d'	PRP	de
un	DET:ART	un
conseiller	NOM	conseiller
du	PRP:det	du
cdhru/cal	ADJ	cdhru/cal
mercredi	NOM	mercredi
,	PUN	,
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
10	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
mairie	NOM	mairie
de	PRP	de
dampierre-sur-salon	NOM	dampierre-sur-salon
.	SENT	.
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
:	PUN	:
ouvert	VER:pper	ouvrir
du	PRP:det	du
lundi	NOM	lundi
au	PRP:det	au
vendredi	NOM	vendredi
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
sauf	PRP	sauf
le	DET:ART	le
mercredi	NOM	mercredi
où	PRO:REL	où
il	PRO:PER	il
ferme	VER:pres	fermer
à	PRP	à
17	NUM	@card@
h.	ABR	h.
gymnastique	NOM	gymnastique
douce	ADJ	doux
:	PUN	:
séance	NOM	séance
animée	VER:pper	animer
par	PRP	par
laurent	VER:pres	laurer
,	PUN	,
ce	PRO:DEM	ce
mardi	NOM	mardi
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
de	PRP	de
judo	NOM	judo
.	SENT	.
déchetterie	NOM	déchetterie
:	PUN	:
ouverte	ADJ	ouvert
lundi	NOM	lundi
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
mercredi	NOM	mercredi
et	KON	et
vendredi	NOM	vendredi
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
samedi	NOM	samedi
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
des	PRP:det	du
4	NUM	@card@
rivières	NOM	rivière
:	PUN	:
secrétariat	NOM	secrétariat
ouvert	VER:pper	ouvrir
du	PRP:det	du
lundi	NOM	lundi
au	PRP:det	au
vendredi	NOM	vendredi
,	PUN	,
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
(	PUN	(
03.84	NUM	@card@
.	SENT	.
67.13	NUM	@card@
.	SENT	.
74.	ABR	@ord@
).	ABR	).
admr	NOM	admr
:	PUN	:
permanence	NOM	permanence
lundi	NOM	lundi
,	PUN	,
mardi	NOM	mardi
,	PUN	,
jeudi	NOM	jeudi
et	KON	et
vendredi	NOM	vendredi
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
au	PRP:det	au
centre	NOM	centre
de	PRP	de
soins	NOM	soin
(	PUN	(
03.84	NUM	@card@
.	SENT	.
67.29	NUM	@card@
.	SENT	.
62.	ABR	@ord@
).	ABR	).
