randonnée	VER:pper	randonner
c'	PRO:DEM	ce
est	VER:pres	être
la	DET:ART	le
reprise	NOM	reprise
des	PRP:det	du
randonnées	NOM	randonnée
pédestres	ADJ	pédestre
mercredi	NOM	mercredi
pour	PRP	pour
la	DET:ART	le
grolle	NOM	grolle
sammielloise	ADJ	sammielloise
dont	PRO:REL	dont
les	DET:ART	le
adhérents	NOM	adhérent
se	PRO:PER	se
dirigeront	VER:futu	diriger
vers	PRP	vers
chaillon	NOM	chaillon
.	SENT	.
rendez-vous	NOM	rendez-vous
de	PRP	de
tous	PRO:IND	tout
les	DET:ART	le
participants	ADJ	participant
place	NOM	place
des	PRP:det	du
moines	NOM	moine
pour	PRP	pour
un	DET:ART	un
départ	NOM	départ
à	PRP	à
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
ilcg	NOM	ilcg
la	DET:ART	le
permanence	NOM	permanence
de	PRP	de
l'	DET:ART	le
instance	NOM	instance
locale	ADJ	local
de	PRP	de
coordination	NOM	coordination
en	PRP	en
gérontologie	NOM	gérontologie
aura	VER:futu	avoir
lieu	NOM	lieu
demain	ADV	demain
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
au	PRP:det	au
local	NOM	local
de	PRP	de
l'	DET:ART	le
amicale	ADJ	amical
du	PRP:det	du
troisième	NUM	troisième
âge	NOM	âge
,	PUN	,
rue	NOM	rue
des	PRP:det	du
ecoles	NOM	ecoles
.	SENT	.
gym	NOM	gym
volontaire	ADJ	volontaire
l'	DET:ART	le
assemblée	NOM	assemblée
générale	ADJ	général
de	PRP	de
l'	DET:ART	le
association	NOM	association
de	PRP	de
gymnastique	NOM	gymnastique
volontaire	ADJ	volontaire
aura	VER:futu	avoir
lieu	NOM	lieu
vendredi	NOM	vendredi
10	NUM	@card@
janvier	NOM	janvier
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
salle	NOM	salle
jean-bérain	NOM	jean-bérain
,	PUN	,
en	PRP	en
mairie	NOM	mairie
.	SENT	.
conjoint	ADJ	conjoint
survivant	VER:ppre	survivre
la	DET:ART	le
prochaine	ADJ	prochain
permanence	NOM	permanence
de	PRP	de
l'	DET:ART	le
amicale	ADJ	amical
aura	VER:futu	avoir
lieu	NOM	lieu
mercredi	NOM	mercredi
8	NUM	@card@
janvier	NOM	janvier
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
dans	PRP	dans
le	DET:ART	le
nouveau	ADJ	nouveau
local	NOM	local
de	PRP	de
l'	DET:ART	le
amicale	ADJ	amical
du	PRP:det	du
troisième	NUM	troisième
âge	NOM	âge
,	PUN	,
rue	NOM	rue
des	PRP:det	du
ecoles	NOM	ecoles
.	SENT	.
