interrompue	VER:pper	interrompre
en	PRP	en
raison	NOM	raison
des	PRP:det	du
fêtes	NOM	fête
de	PRP	de
fin	NOM	fin
d'	PRP	de
année	NOM	année
,	PUN	,
l'	DET:ART	le
hebdomadaire	ADJ	hebdomadaire
marche	NOM	marche
pour	PRP	pour
tous	PRO:IND	tout
du	PRP:det	du
mardi	NOM	mardi
reprend	VER:pres	reprendre
aujourd'hui	ADV	aujourd'hui
à	PRP	à
14	NUM	@card@
h.	ABR	h.
le	DET:ART	le
départ	NOM	départ
aura	VER:futu	avoir
lieu	NOM	lieu
sur	PRP	sur
la	DET:ART	le
place	NOM	place
charles-de-gaulle	NOM	charles-de-gaulle
.	SENT	.
