sainte-marie-aux-chenes	NOM	sainte-marie-aux-chenes
.	SENT	.
_	NOM	_
quatre-vingt-neuf	NUM	quatre-vingt-neuf
cadettes	NOM	cadet
et	KON	et
158	NUM	@card@
cadets	NOM	cadet
représentant	VER:ppre	représenter
70	NUM	@card@
clubs	NOM	club
lorrains	ADJ	lorrain
étaient	VER:impf	être
réunis	VER:pper	réunir
à	PRP	à
sainte-marie-aux-chênes	NOM	sainte-marie-aux-chênes
pour	PRP	pour
y	PRO:PER	y
disputer	VER:infi	disputer
les	DET:ART	le
éliminatoires	NOM	éliminatoire
de	PRP	de
la	DET:ART	le
coupe	NOM	coupe
de	PRP	de
lorraine	NOM	lorrain
.	SENT	.
la	DET:ART	le
qualification	NOM	qualification
pour	PRP	pour
les	DET:ART	le
interrégionaux	ADJ	interrégional
d'	PRP	de
epinal	NOM	epinal
au	PRP:det	au
mois	NOM	moi|mois
de	PRP	de
février	NOM	février
constituait	VER:impf	constituer
l'	DET:ART	le
enjeu	NOM	enjeu
majeur	ADJ	majeur
de	PRP	de
cette	PRO:DEM	ce
épreuve	NOM	épreuve
ardemment	ADV	ardemment
disputée	VER:pper	disputer
.	SENT	.
résultats	NOM	résultat
:	PUN	:
cadettes	ADJ	cadet
moins	ADV	moins
de	PRP	de
44	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
vassel	NOM	vassel
(	PUN	(
epinal	NOM	epinal
)	PUN	)
;	PUN	;
2	NUM	@card@
fortel	NOM	fortel
(	PUN	(
la	DET:ART	le
woëvre	NOM	woëvre
)	PUN	)
;	PUN	;
3	NUM	@card@
dequick	NOM	dequick
(	PUN	(
metzervisse	VER:subi	metzervisse
)	PUN	)
;	PUN	;
3	NUM	@card@
rapola	NOM	rapola
(	PUN	(
heillecourt	ADJ	heillecourt
).	VER:futu	).
moins	ADV	moins
de	PRP	de
48	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
thomann	NOM	thomann
(	PUN	(
epinal	NOM	epinal
)	PUN	)
;	PUN	;
2	NUM	@card@
grimmer	NOM	grimmer
(	PUN	(
saint-avold	NOM	saint-avold
)	PUN	)
;	PUN	;
3	NUM	@card@
falzone	NOM	falzone
(	PUN	(
saint-avold	NOM	saint-avold
)	PUN	)
;	PUN	;
3	NUM	@card@
herate	NOM	herate
'	PUN	'
alliance	NOM	alliance
judo	NOM	judo
m	VER:subi	m
).	VER:pper	).
moins	ADV	moins
de	PRP	de
52	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
brua	NOM	brua
(	PUN	(
briey	NOM	briey
)	PUN	)
;	PUN	;
2	NUM	@card@
scarfo	NOM	scarfo
(	PUN	(
saint-avold	NOM	saint-avold
)	PUN	)
;	PUN	;
3	NUM	@card@
demange	NOM	demange
(	PUN	(
alnm	NOM	alnm
)	PUN	)
;	PUN	;
3	NUM	@card@
rosay	NOM	rosay
(	PUN	(
longwy	NOM	longwy
).	VER:pper	).
moins	ADV	moins
de	PRP	de
57	NUM	@card@
kg	ABR	kg
:	PUN	:
1	NUM	@card@
tucci	NOM	tucci
(	PUN	(
alliance	NOM	alliance
judo	NOM	judo
m	ADJ	m
)	PUN	)
;	PUN	;
2	NUM	@card@
malgras	NOM	malgras
(	PUN	(
einville	NOM	einville
)	PUN	)
;	PUN	;
3	NUM	@card@
renin	NOM	renin
(	PUN	(
aj	ABR	aj
54	NUM	@card@
)	PUN	)
;	PUN	;
3	NUM	@card@
moulin	NOM	moulin
(	PUN	(
cheniménil	NOM	cheniménil
).	VER:pper	).
moins	ADV	moins
de	PRP	de
63	NUM	@card@
kg	ABR	kg
