foire	NOM	foire
mensuelle	ADJ	mensuel
:	PUN	:
ce	PRO:DEM	ce
mardi	NOM	mardi
,	PUN	,
toute	PRO:IND	tout
la	DET:ART	le
matinée	NOM	matinée
,	PUN	,
place	NOM	place
des	PRP:det	du
tilleuls	NOM	tilleul
.	SENT	.
habitat	NOM	habitat
:	PUN	:
une	DET:ART	un
permanence	NOM	permanence
du	PRP:det	du
cdhru/cal	NOM	cdhru/cal
se	PRO:PER	se
tiendra	VER:futu	tenir
en	PRP	en
mairie	NOM	mairie
de	PRP	de
pesmes	NOM	pesmes
ce	PRO:DEM	ce
mardi	NOM	mardi
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h.	ABR	h.
club	NOM	club
de	PRP	de
couture	NOM	couture
:	PUN	:
avec	PRP	avec
christiane	NOM	christiane
ce	PRO:DEM	ce
mardi	NOM	mardi
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
maison	NOM	maison
pour	PRP	pour
tous	PRO:IND	tout
.	SENT	.
sécurité	NOM	sécurité
sociale	ADJ	social
:	PUN	:
une	DET:ART	un
permanence	NOM	permanence
ce	PRO:DEM	ce
mardi	NOM	mardi
,	PUN	,
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
l'	DET:ART	le
annexe	ADJ	annexe
saint-jacques	NOM	saint-jacques
.	SENT	.
gymnastique	NOM	gymnastique
volontaire	ADJ	volontaire
:	PUN	:
ce	PRO:DEM	ce
mardi	NOM	mardi
,	PUN	,
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
maison	NOM	maison
pour	PRP	pour
tous	PRO:IND	tout
.	SENT	.
cours	NOM	cour|cours
de	PRP	de
danse	NOM	danse
:	PUN	:
rock	NOM	rock
,	PUN	,
tango	ADJ	tango
,	PUN	,
valse	NOM	valse
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
maison	NOM	maison
pour	PRP	pour
tous	PRO:IND	tout
.	SENT	.
