vendredi	NOM	vendredi
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
:	PUN	:
entraînements	NOM	entraînement
en	PRP	en
fond	NOM	fond
.	SENT	.
samedi	NOM	samedi
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
entraînements	NOM	entraînement
officiel	ADJ	officiel
au	PRP:det	au
saut	NOM	saut
.	SENT	.
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
:	PUN	:
entraînements	NOM	entraînement
en	PRP	en
fond	NOM	fond
.	SENT	.
dimanche	NOM	dimanche
a	VER:pres	avoir
10	NUM	@card@
h	ABR	heure
:	PUN	:
saut	NOM	saut
d'	PRP	de
essai	NOM	essai
.	SENT	.
a	VER:pres	avoir
11	NUM	@card@
h	ABR	heure
:	PUN	:
épreuve	NOM	épreuve
de	PRP	de
saut	NOM	saut
.	SENT	.
a	VER:pres	avoir
12	NUM	@card@
h	ABR	heure
:	PUN	:
deuxième	NUM	deuxième
manche	NOM	manche
de	PRP	de
saut	NOM	saut
.	SENT	.
a	VER:pres	avoir
15	NUM	@card@
h	ABR	heure
:	PUN	:
épreuve	NOM	épreuve
de	PRP	de
fond	NOM	fond
(	PUN	(
poursuite	NOM	poursuite
).	ADJ	).
a	VER:pres	avoir
16	NUM	@card@
h	ABR	heure
:	PUN	:
palmarès	NOM	palmarès
.	SENT	.
