emis	ADJ	emis
samedi	NOM	samedi
matin	NOM	matin
par	PRP	par
la	DET:ART	le
préfecture	NOM	préfecture
de	PRP	de
haute-saône	NOM	haute-saône
,	PUN	,
le	DET:ART	le
bulletin	NOM	bulletin
d'	PRP	de
alerte	NOM	alerte
des	PRP:det	du
crues	NOM	crue
a	VER:pres	avoir
été	VER:pper	être
levé	VER:pper	lever
hier	ADV	hier
à	PRP	à
9	NUM	@card@
h.	ABR	h.
l'	DET:ART	le
ensemble	NOM	ensemble
des	PRP:det	du
bassins	NOM	bassin
de	PRP	de
l'	DET:ART	le
ognon	NOM	ognon
et	KON	et
la	DET:ART	le
saône	NOM	saône
était	VER:impf	être
concerné	VER:pper	concerner
par	PRP	par
ces	PRO:DEM	ce
mesures	NOM	mesure
.	SENT	.
