bibliothèque	NOM	bibliothèque
:	PUN	:
ce	PRO:DEM	ce
mercredi	NOM	mercredi
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
maison	NOM	maison
pour	PRP	pour
tous	PRO:IND	tout
.	SENT	.
piano	ADV	piano
,	PUN	,
clavier	NOM	clavier
,	PUN	,
accordéon	NOM	accordéon
:	PUN	:
cours	NOM	cour|cours
avec	PRP	avec
evelyne	NOM	evelyne
ce	PRO:DEM	ce
mercredi	NOM	mercredi
,	PUN	,
de	PRP	de
8	NUM	@card@
h	ABR	heure
à	PRP	à
13	NUM	@card@
h	ABR	heure
,	PUN	,
annexe	ADJ	annexe
saint-jacques	NOM	saint-jacques
.	SENT	.
gym	NOM	gym
:	PUN	:
pour	PRP	pour
les	DET:ART	le
3	NUM	@card@
à	PRP	à
5	NUM	@card@
ans	NOM	an
,	PUN	,
baby	NOM	baby
gym	NOM	gym
ce	PRO:DEM	ce
mercredi	NOM	mercredi
,	PUN	,
de	PRP	de
15	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
15	NUM	@card@
et	KON	et
de	PRP	de
16	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
15	NUM	@card@
aéro	NOM	aéro
jazz	NOM	jazz
,	PUN	,
pour	PRP	pour
les	DET:ART	le
8	NUM	@card@
à	PRP	à
14	NUM	@card@
ans	NOM	an
,	PUN	,
à	PRP	à
la	DET:ART	le
maison	NOM	maison
pour	PRP	pour
tous	PRO:IND	tout
de	PRP	de
pesmes	NOM	pesmes
.	SENT	.
gym	NOM	gym
adulte	ADJ	adulte
:	PUN	:
ce	PRO:DEM	ce
mercredi	NOM	mercredi
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
15	NUM	@card@
h	ABR	heure
,	PUN	,
cuisses	NOM	cuisse
,	PUN	,
abdos	NOM	abdos
,	PUN	,
fessiers	ADJ	fessier
;	PUN	;
de	PRP	de
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
cours	NOM	cour|cours
cocktail	NOM	cocktail
.	SENT	.
piano	ADV	piano
:	PUN	:
avec	PRP	avec
l'	DET:ART	le
école	NOM	école
de	PRP	de
musique	NOM	musique
,	PUN	,
ce	PRO:DEM	ce
mercredi	NOM	mercredi
,	PUN	,
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
maison	NOM	maison
pour	PRP	pour
tous	PRO:IND	tout
.	SENT	.
