emma	VER:simp	emma
est	VER:pres	être
née	VER:pper	naître
le	DET:ART	le
6	NUM	@card@
janvier	NOM	janvier
à	PRP	à
la	DET:ART	le
polyclinique	NOM	polyclinique
majorelle	ADJ	majorelle
de	PRP	de
nancy	NOM	nancy
.	SENT	.
elle	PRO:PER	elle
pesait	VER:impf	peser
3,540	NUM	@card@
kg	ABR	kg
et	KON	et
mesurait	VER:impf	mesurer
52	NUM	@card@
cm	NOM	cm
à	PRP	à
sa	DET:POS	son
venue	NOM	venu|venue
au	PRP:det	au
monde	NOM	monde
.	SENT	.
elle	PRO:PER	elle
est	VER:pres	être
le	DET:ART	le
premier	NUM	premier
enfant	NOM	enfant
du	PRP:det	du
couple	NOM	couple
daniere	NOM	daniere
,	PUN	,
demeurant	VER:ppre	demeurer
boulevard	NOM	boulevard
des	PRP:det	du
essarts	NOM	essart
.	SENT	.
valérie	NOM	valérie
,	PUN	,
la	DET:ART	le
maman	NOM	maman
,	PUN	,
est	VER:pres	être
commerciale	ADJ	commercial
tandis	KON	tandis
qu'	KON	que
eric	NOM	eric
,	PUN	,
le	DET:ART	le
papa	NOM	papa
est	VER:pres	être
ingénieur	NOM	ingénieur
informaticien	NOM	informaticien
.	SENT	.
tous	PRO:IND	tout
nos	DET:POS	notre
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
bonheur	NOM	bonheur
.	SENT	.
