des	PRP:det	du
projections	NOM	projection
de	PRP	de
peinture	NOM	peinture
ont	VER:pres	avoir
été	VER:pper	être
relevées	VER:pper	relever
sur	PRP	sur
la	DET:ART	le
façade	NOM	façade
d'	PRP	de
un	DET:ART	un
hangar	NOM	hangar
métallique	ADJ	métallique
neuf	ADJ	neuf
.	SENT	.
le	DET:ART	le
propriétaire	NOM	propriétaire
a	VER:pres	avoir
déposé	VER:pper	déposer
une	DET:ART	un
plainte	NOM	plainte
à	PRP	à
la	DET:ART	le
gendarmerie	NOM	gendarmerie
.	SENT	.
pour	PRP	pour
la	DET:ART	le
deuxième	NUM	deuxième
fois	NOM	foi|fois
en	PRP	en
un	DET:ART	un
an	NOM	an
,	PUN	,
cinq	NUM	cinq
lauriers	NOM	laurier
ont	VER:pres	avoir
été	VER:pper	être
dérobés	VER:pper	dérober
.	SENT	.
ces	PRO:DEM	ce
arbustes	NOM	arbuste
étaient	VER:impf	être
destinés	VER:pper	destiner
à	PRP	à
former	VER:infi	former
une	DET:ART	un
haie	NOM	haie
pour	PRP	pour
masquer	VER:infi	masquer
les	DET:ART	le
containers	NOM	container
de	PRP	de
tri	NOM	tri
sélectif	ADJ	sélectif
.	SENT	.
le	DET:ART	le
maire	NOM	maire
a	VER:pres	avoir
porté	VER:pper	porter
plainte	VER:pper	plaindre
à	PRP	à
la	DET:ART	le
gendarmerie	NOM	gendarmerie
d'	PRP	de
haroué	NOM	haroué
.	SENT	.
