soulignant	VER:ppre	souligner
que	KON	que
chacun	PRO:IND	chacun
a	VER:pres	avoir
	NOM	
uvré	ADJ	uvré
dans	PRP	dans
son	DET:POS	son
domaine	NOM	domaine
pour	KON	pour
que	KON	que
la	DET:ART	le
vie	NOM	vie
à	PRP	à
saint-menge	NOM	saint-menge
soit	KON	soit
le	DET:ART	le
plus	ADV	plus
agréable	ADJ	agréable
possible	ADJ	possible
,	PUN	,
le	DET:ART	le
maire	NOM	maire
jean-yves	ADJ	jean-yves
vagnier	NOM	vagnier
,	PUN	,
a	VER:pres	avoir
donné	VER:pper	donner
le	DET:ART	le
bilan	NOM	bilan
des	PRP:det	du
réalisations	NOM	réalisation
2002	NUM	@card@
à	PRP	à
l'	DET:ART	le
occasion	NOM	occasion
des	PRP:det	du
v	NOM	v
	ADJ	
ux	ADJ	ux
.	SENT	.
a	VER:pres	avoir
l'	DET:ART	le
aménagement	NOM	aménagement
de	PRP	de
la	DET:ART	le
route	NOM	route
de	PRP	de
gironcourt	NOM	gironcourt
,	PUN	,
différents	ADJ	différent
travaux	NOM	travail
d'	PRP	de
entretien	NOM	entretien
dans	PRP	dans
le	DET:ART	le
village	NOM	village
et	KON	et
le	DET:ART	le
début	NOM	début
de	PRP	de
la	DET:ART	le
réhabilitation	NOM	réhabilitation
du	PRP:det	du
moulin	NOM	moulin
,	PUN	,
s'	PRO:PER	se
ajoute	VER:pres	ajouter
la	DET:ART	le
réflexion	NOM	réflexion
sur	PRP	sur
les	DET:ART	le
réseaux	NOM	réseau
d'	PRP	de
assainissement	NOM	assainissement
,	PUN	,
qui	PRO:REL	qui
représente	VER:pres	représenter
un	DET:ART	un
dossier	NOM	dossier
important	ADJ	important
,	PUN	,
un	DET:ART	un
choix	NOM	choix
à	PRP	à
faire	VER:infi	faire
.	SENT	.
et	KON	et
les	DET:ART	le
perspectives	NOM	perspective
de	PRP	de
réalisation	NOM	réalisation
,	PUN	,
tributaires	ADJ	tributaire
du	PRP:det	du
financement	NOM	financement
et	KON	et
de	PRP	de
la	DET:ART	le
priorité	NOM	priorité
donnée	VER:pper	donner
par	PRP	par
les	DET:ART	le
organismes	NOM	organisme
de	PRP	de
la	DET:ART	le
protection	NOM	protection
de	PRP	de
l'	DET:ART	le
eau	NOM	eau
.	SENT	.
des	PRP:det	du
32	NUM	@card@
villages	NOM	village
englobés	VER:pper	englober
dans	PRP	dans
l'	DET:ART	le
étude	NOM	étude
demandée	VER:pper	demander
par	PRP	par
le	DET:ART	le
pays	NOM	pays
de	PRP	de
châtenois	NOM	châtenois
,	PUN	,
seulement	ADV	seulement
quatre	NUM	quatre
sont	VER:pres	être
reconnus	VER:pper	reconnaître
prioritaires	ADJ	prioritaire
.	SENT	.
le	DET:ART	le
maire	NOM	maire
a	VER:pres	avoir
rappelé	VER:pper	rappeler
quelques	PRO:IND	quelque
consignes	NOM	consigne
sur	PRP	sur
les	DET:ART	le
mesures	NOM	mesure
de	PRP	de
protection	NOM	protection
de	PRP	de
l'	DET:ART	le
environnement	NOM	environnement
et	KON	et
présenté	VER:pper	présenter
les	DET:ART	le
efforts	NOM	effort
réalisés	VER:pper	réaliser
par	PRP	par
la	DET:ART	le
société	NOM	société
paté	NOM	paté
.	SENT	.
cette	PRO:DEM	ce
entreprise	NOM	entreprise
,	PUN	,
qui	PRO:REL	qui
emploie	VER:pres	employer
25	NUM	@card@
personnes	NOM	personne
,	PUN	,
trie	NOM	trie
700	NUM	@card@
tonnes	NOM	tonne
de	PRP	de
verre	NOM	verre
par	PRP	par
jour	NOM	jour
,	PUN	,
qui	PRO:REL	qui
sont	VER:pres	être
re-livrées	VER:pper	re-livrées
pour	PRP	pour
80	NUM	@card@
%	SYM	%
à	PRP	à
bsn	NOM	bsn
gironcourt	VER:pres	gironcourt
et	KON	et
20	NUM	@card@
%	SYM	%
sur	PRP	sur
d'	PRP	de
autres	ADJ	autre
sites	NOM	site
.	SENT	.
cette	PRO:DEM	ce
société	NOM	société
vient	VER:pres	venir
de	PRP	de
mettre	VER:infi	mettre
en	PRP	en
place	NOM	place
un	DET:ART	un
séparateur	NOM	séparateur
d'	PRP	de
hydrocarbures	NOM	hydrocarbure
et	KON	et
réaliser	VER:infi	réaliser
un	DET:ART	un
aménagement	NOM	aménagement
paysager	ADJ	paysager
.	SENT	.
autre	ADJ	autre
filiale	NOM	filiale
de	PRP	de
la	DET:ART	le
société	NOM	société
sifraco	ADJ	sifraco
installée	VER:pper	installer
sur	PRP	sur
la	DET:ART	le
commune	NOM	commune
,	PUN	,
la	DET:ART	le
société	NOM	société
de	PRP	de
transports	NOM	transport
minéris	ADJ	minéris
,	PUN	,
emploie	VER:pres	employer
16	NUM	@card@
personnes	NOM	personne
,	PUN	,
dont	PRO:REL	dont
quatorze	NUM	quatorze
chauffeurs	NOM	chauffeur
routiers	ADJ	routier
.	SENT	.
«	PUN:cit	«
je	PRO:PER	je
remercie	VER:pres	remercier
tous	PRO:IND	tout
ceux	PRO:DEM	celui
qui	PRO:REL	qui
font	VER:pres	faire
vivre	VER:infi	vivre
notre	DET:POS	notre
village	NOM	village
,	PUN	,
du	PRP:det	du
plus	ADV	plus
petit	ADJ	petit
