correspondante	NOM	correspondant
:	PUN	:
anne	VER:simp	anne
richard	NOM	richard
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
94.09	NUM	@card@
.	SENT	.
86	NUM	@card@
beaufremont	NOM	beaufremont
:	PUN	:
guichet	NOM	guichet
postal	ADJ	postal
,	PUN	,
de	PRP	de
15	NUM	@card@
h	ABR	heure
à	PRP	à
15	NUM	@card@
h	ABR	heure
45	NUM	@card@
;	PUN	;
mairie	NOM	mairie
ouverte	ADJ	ouvert
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
certilleux	NOM	certilleux
:	PUN	:
réunion	NOM	réunion
du	PRP:det	du
club	NOM	club
«	PUN:cit	«
tous	PRO:IND	tout
ensemble	NOM	ensemble
»,	ADJ	»,
à	PRP	à
14	NUM	@card@
h.	ABR	h.
landaville	NOM	landaville
:	PUN	:
guichet	NOM	guichet
postal	ADJ	postal
,	PUN	,
de	PRP	de
13	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
14	NUM	@card@
h	ABR	heure
40	NUM	@card@
;	PUN	;
mairie	NOM	mairie
et	KON	et
permanence	NOM	permanence
du	PRP:det	du
maire	NOM	maire
de	PRP	de
8	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
;	PUN	;
réunion	NOM	réunion
du	PRP:det	du
groupe	NOM	groupe
liturgique	ADJ	liturgique
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
lemmecourt	NOM	lemmecourt
:	PUN	:
mairie	NOM	mairie
et	KON	et
permanence	NOM	permanence
du	PRP:det	du
maire	NOM	maire
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h.	ABR	h.
circourt-sur-mouzon	NOM	circourt-sur-mouzon
:	PUN	:
mairie	NOM	mairie
et	KON	et
permanence	NOM	permanence
du	PRP:det	du
maire	NOM	maire
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
