t'	PRO:PER	te
oxygène	VER:pres	oxygéner
:	PUN	:
écoute	NOM	écoute
des	PRP:det	du
parents	NOM	parent|parents
sur	PRP	sur
les	DET:ART	le
problèmes	NOM	problème
de	PRP	de
drogue	NOM	drogue
:	PUN	:
tél	ABR	téléphone
.	SENT	.
06.73	NUM	@card@
.	SENT	.
33.15	NUM	@card@
.	SENT	.
39	NUM	@card@
conférence	NOM	conférence
:	PUN	:
pour	PRP	pour
les	DET:ART	le
abonnés	NOM	abonné
de	PRP	de
l'	DET:ART	le
université	NOM	université
de	PRP	de
la	DET:ART	le
culture	NOM	culture
permanente	ADJ	permanent
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
foyer	NOM	foyer
jeanne	NOM	jeanne
d'	PRP	de
arc	NOM	arc
:	PUN	:
«	PUN:cit	«
le	DET:ART	le
prince	NOM	prince
vlad	NOM	vlad
l'	DET:ART	le
empaleur	NOM	empaleur
dit	VER:pres	dire
dracula	VER:simp	dracula
:	PUN	:
histoire	NOM	histoire
et	KON	et
mythe	NOM	mythe
»	PUN:cit	»
par	PRP	par
vasile	NOM	vasile
maruta	VER:simp	maruta
,	PUN	,
docteur	NOM	docteur
en	PRP	en
littérature	NOM	littérature
comparée	VER:pper	comparer
»	PUN:cit	»
