cpam	NOM	cpam
:	PUN	:
permanence	NOM	permanence
de	PRP	de
la	DET:ART	le
sécurité	NOM	sécurité
sociale	ADJ	social
,	PUN	,
ce	PRO:DEM	ce
jeudi	NOM	jeudi
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
des	PRP:det	du
4	NUM	@card@
rivières	NOM	rivière
.	SENT	.
chorale	ADJ	choral
:	PUN	:
reprise	NOM	reprise
des	PRP:det	du
séances	NOM	séance
de	PRP	de
travail	NOM	travail
,	PUN	,
ce	PRO:DEM	ce
jeudi	NOM	jeudi
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
la	DET:ART	le
mairie	NOM	mairie
.	SENT	.
gymnastique	ADJ	gymnastique
:	PUN	:
séances	NOM	séance
avec	PRP	avec
«	PUN:cit	«
cultur	NOM	cultur
o'	ADJ	o'
corps	NOM	corps
»,	ADJ	»,
ce	PRO:DEM	ce
jeudi	NOM	jeudi
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
de	PRP	de
judo	NOM	judo
.	SENT	.
ecole	NOM	ecole
des	PRP:det	du
musiciens	NOM	musicien
:	PUN	:
reprise	NOM	reprise
des	PRP:det	du
cours	NOM	cour|cours
avec	PRP	avec
pierre-marie	NOM	pierre-marie
budelot	ADJ	budelot
,	PUN	,
ce	PRO:DEM	ce
jeudi	NOM	jeudi
,	PUN	,
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
mairie	NOM	mairie
.	SENT	.
reprise	NOM	reprise
du	PRP:det	du
club	NOM	club
:	PUN	:
le	DET:ART	le
club	NOM	club
de	PRP	de
la	DET:ART	le
vallée	NOM	vallée
du	PRP:det	du
salon	NOM	salon
fait	VER:pres	faire
sa	DET:POS	son
rentrée	NOM	rentrée
ce	PRO:DEM	ce
jeudi	NOM	jeudi
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
polyvalente	ADJ	polyvalent
couyba	VER:simp	couyba
.	SENT	.
judo	NOM	judo
:	PUN	:
reprise	NOM	reprise
des	PRP:det	du
débutants	ADJ	débutant
ce	PRO:DEM	ce
jeudi	NOM	jeudi
,	PUN	,
de	PRP	de
17	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
de	PRP	de
judo	NOM	judo
.	SENT	.
ciné-foyer	NOM	ciné-foyer
:	PUN	:
vendredi	NOM	vendredi
et	KON	et
samedi	NOM	samedi
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
«	PUN:cit	«
une	DET:ART	un
femme	NOM	femme
de	PRP	de
ménage	NOM	ménage
»,	ADJ	»,
une	DET:ART	un
comédie	NOM	comédie
de	PRP	de
claude	NOM	claude
berri	ADJ	berri
.	SENT	.
