en	PRO:PER	en
prélude	VER:pres	préluder
à	PRP	à
une	DET:ART	un
soirée-jeu	NOM	soirée-jeu
(	PUN	(
qui	PRO:REL	qui
a	VER:pres	avoir
lieu	NOM	lieu
le	DET:ART	le
1	NUM	@card@
e	NOM	e
r	VER:subi	r
et	KON	et
le	DET:ART	le
3	NUM	@card@
e	ADJ	e
lundi	NOM	lundi
de	PRP	de
chaque	PRO:IND	chaque
mois	NOM	moi|mois
),	ADJ	),
25	NUM	@card@
membres	NOM	membre
de	PRP	de
«	PUN:cit	«
vive	ADJ	vif
chantraine	NOM	chantraine
»	PUN:cit	»
ont	VER:pres	avoir
rejoint	VER:pper	rejoindre
la	DET:ART	le
salle	NOM	salle
abba	NOM	abba
,	PUN	,
à	PRP	à
la	DET:ART	le
maison	NOM	maison
françois	ADJ	françois
serpollier	NOM	serpollier
,	PUN	,
pour	PRP	pour
la	DET:ART	le
traditionnelle	ADJ	traditionnel
galette	NOM	galette
des	PRP:det	du
rois	NOM	roi
.	SENT	.
le	DET:ART	le
sort	NOM	sort
a	VER:pres	avoir
désigné	VER:pper	désigner
comme	ADV	comme
royautés	NOM	royauté
d'	PRP	de
un	DET:ART	un
jour	NOM	jour
françoise	ADJ	françoise
chasteloux-fady	NOM	chasteloux-fady
,	PUN	,
présidente	NOM	président
de	PRP	de
l'	DET:ART	le
association	NOM	association
,	PUN	,
et	KON	et
bernard	NOM	bernard
dieudonné	ADJ	dieudonné
,	PUN	,
organisateur	ADJ	organisateur
du	PRP:det	du
dernier	ADJ	dernier
rallye-surprise	NOM	rallye-surprise
de	PRP	de
«	PUN:cit	«
vive	ADJ	vif
chantraine	NOM	chantraine
»	PUN:cit	»
le	DET:ART	le
verre	NOM	verre
de	PRP	de
l'	DET:ART	le
amitié	NOM	amitié
a	VER:pres	avoir
clôturé	VER:pper	clôturer
cette	PRO:DEM	ce
cérémonie	NOM	cérémonie
amicale	ADJ	amical
.	SENT	.
