renforcement	NOM	renforcement
des	PRP:det	du
installations	NOM	installation
de	PRP	de
distribution	NOM	distribution
d'	PRP	de
eau	NOM	eau
potable	ADJ	potable
:	PUN	:
dans	PRP	dans
le	DET:ART	le
cadre	NOM	cadre
du	PRP:det	du
plan	NOM	plan
«	PUN:cit	«
vigipirate	VER:pres	vigipirate
renforcé	VER:pper	renforcer
»,	NOM	»,
des	PRP:det	du
mesures	NOM	mesure
particulières	ADJ	particulier
de	PRP	de
sécurité	NOM	sécurité
doivent	VER:pres	devoir
être	VER:infi	être
réalisées	VER:pper	réaliser
.	SENT	.
le	DET:ART	le
projet	NOM	projet
présenté	VER:pper	présenter
par	PRP	par
la	DET:ART	le
lyonnaise	NOM	lyonnais
des	PRP:det	du
eaux	NOM	eau
s'	PRO:PER	se
élève	VER:pres	élever
à	PRP	à
20.129	NUM	@card@
	NOM	
ht	ADJ	ht
.	SENT	.
le	DET:ART	le
conseil	NOM	conseil
accepte	VER:pres	accepter
ce	PRO:DEM	ce
projet	NOM	projet
et	KON	et
demande	VER:pres	demander
les	DET:ART	le
aides	NOM	aide
et	KON	et
subventions	NOM	subvention
s'	KON	si
y	PRO:PER	y
référant	VER:ppre	référer
.	SENT	.
travaux	NOM	travail
de	PRP	de
mise	NOM	mise
en	PRP	en
conformité	NOM	conformité
de	PRP	de
la	DET:ART	le
cuisine	NOM	cuisine
de	PRP	de
la	DET:ART	le
salle	NOM	salle
communale	ADJ	communal
:	PUN	:
le	DET:ART	le
conseil	NOM	conseil
accepte	VER:pres	accepter
le	DET:ART	le
devis	NOM	devis
de	PRP	de
l'	DET:ART	le
entreprise	NOM	entreprise
elect	ADJ	elect
54	NUM	@card@
qui	PRO:REL	qui
s'	PRO:PER	se
élève	VER:pres	élever
à	PRP	à
1.475	NUM	@card@
	NOM	
ht	VER:subi	ht
pour	PRP	pour
l'	DET:ART	le
électricité	NOM	électricité
,	PUN	,
et	KON	et
celui	PRO:DEM	celui
de	PRP	de
l'	DET:ART	le
entreprise	NOM	entreprise
jim	NOM	jim
chauffage	NOM	chauffage
de	PRP	de
374	NUM	@card@
	NOM	
ht	VER:subi	ht
pour	PRP	pour
le	DET:ART	le
gaz	NOM	gaz
et	KON	et
demande	VER:pres	demander
une	DET:ART	un
subvention	NOM	subvention
.	SENT	.
prime	NOM	prime
au	PRP:det	au
ravalement	NOM	ravalement
de	PRP	de
façades	NOM	façade
:	PUN	:
le	DET:ART	le
conseil	NOM	conseil
approuve	VER:pres	approuver
le	DET:ART	le
financement	NOM	financement
du	PRP:det	du
programme	NOM	programme
de	PRP	de
ravalement	NOM	ravalement
de	PRP	de
façades	NOM	façade
réparti	VER:pper	répartir
de	PRP	de
la	DET:ART	le
façon	NOM	façon
suivante	ADJ	suivant
:	PUN	:
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
moselle	ADJ	moselle
et	KON	et
madon	NOM	madon
40	NUM	@card@
%,	NOM	%,
conseil	NOM	conseil
général	ADJ	général
50	NUM	@card@
%,	NOM	%,
commune	NOM	commune
10	NUM	@card@
%.	ABR	%.
il	PRO:PER	il
décide	VER:pres	décider
de	PRP	de
réserver	VER:infi	réserver
sur	PRP	sur
son	DET:POS	son
budget	NOM	budget
1.200	NUM	@card@
.	ABR	.
le	DET:ART	le
montant	NOM	montant
de	PRP	de
la	DET:ART	le
prime	NOM	prime
est	VER:pres	être
fixé	VER:pper	fixer
à	PRP	à
25	NUM	@card@
%	SYM	%
du	PRP:det	du
coût	NOM	coût
global	ADJ	global
ttc	NOM	ttc
des	PRP:det	du
travaux	NOM	travail
de	PRP	de
ravalement	NOM	ravalement
soit	KON	soit
une	DET:ART	un
prime	NOM	prime
maximale	ADJ	maximal
de	PRP	de
1.500	NUM	@card@
	NOM	
ttc	NOM	ttc
par	PRP	par
immeuble	NOM	immeuble
.	SENT	.
fréquentation	NOM	fréquentation
de	PRP	de
la	DET:ART	le
piscine	NOM	piscine
communautaire	ADJ	communautaire
par	PRP	par
les	DET:ART	le
élèves	NOM	élève
du	PRP:det	du
primaire	NOM	primaire
:	PUN	:
le	DET:ART	le
conseil	NOM	conseil
communautaire	ADJ	communautaire
a	VER:pres	avoir
fixé	VER:pper	fixer
le	DET:ART	le
tarif	NOM	tarif
d'	PRP	de
entrée	NOM	entrée
à	PRP	à
1	NUM	@card@
	NOM	
par	PRP	par
enfant	NOM	enfant
et	KON	et
par	PRP	par
séance	NOM	séance
.	SENT	.
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
accepte	VER:pres	accepter
la	DET:ART	le
convention	NOM	convention
qui	PRO:REL	qui
pourra	VER:futu	pouvoir
être	VER:infi	être
renouvelée	VER:pper	renouveler
par	PRP	par
tacite	ADJ	tacite
reconduction	NOM	reconduction
au	PRP:det	au
-	PUN	-
delà	ADV	delà
du	PRP:det	du
30	NUM	@card@
juin	NOM	juin
2003	NUM	@card@
ou	KON	ou
être	VER:infi	être
résiliée	VER:pper	résilier
par	PRP	par
l'	DET:ART	le
une	DET:ART	un
ou	KON	ou
l'	DET:ART	le
autre	ADJ	autre
des	PRP:det	du
parties	NOM	partie
,	PUN	,
trois	NUM	trois
mois	NOM	moi|mois
avant	PRP	avant
cette	PRO:DEM	ce
échéance	NOM	échéance
.	SENT	.
aménagement	NOM	aménagement
de	PRP	de
la	DET:ART	le
forêt	NOM	forêt
communale	ADJ	communal
:	PUN	:
compte-tenu	VER:pper	compte-tenu
des	PRP:det	du
dommages	NOM	dommage
occasionnés	VER:pper	occasionner
par	PRP	par
la	DET:ART	le
tempête	NOM	tempête
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
décide	VER:pres	décider
d'	PRP	de
ajourner	VER:infi	ajourner
les	DET:ART	le
coupes	NOM	coupe
proposées	VER:pper	proposer
par	PRP	par
l'	DET:ART	le
onf	NOM	onf
pour	PRP	pour
2003	NUM	@card@
révision	NOM	révision
du	PRP:det	du
plan	NOM	plan
d'	PRP	de
urbanisme	NOM	urbanisme
de	PRP	de
xeuilley	NAM	xeuilley
:	PUN	:
le	DET:ART	le
conseil	NOM	conseil
ne	ADV	ne
souhaite	VER:pres	souhaiter
pas	ADV	pas
être	VER:infi	être
consulté	VER:pper	consulter
au	PRP:det	au
cours	NOM	cour|cours
de	PRP	de
l'	DET:ART	le
élaboration	NOM	élaboration
du	PRP:det	du
plu	VER:pper	plaire|pleuvoir
de	PRP	de
la	DET:ART	le
commune	NOM	commune
de	PRP	de
xeuilley	NAM	xeuilley
.	SENT	.
tarifs	NOM	tarif
de	PRP	de
location	NOM	location
de	PRP	de
la	DET:ART	le
salle	NOM	salle
communale	ADJ	communal
:	PUN	:
le	DET:ART	le
conseil	NOM	conseil
a	VER:pres	avoir
fixé	VER:pper	fixer
les	DET:ART	le
nouveaux	ADJ	nouveau
tarifs	NOM	tarif
de	PRP	de
location	NOM	location
qui	PRO:REL	qui
sont	VER:pres	être
entrés	VER:pper	entrer
en	PRP	en
vigueur	NOM	vigueur
le	DET:ART	le
1	NUM	@card@
e	NOM	e
r	VER:subi	r
janvier	NOM	janvier
2003	NUM	@card@
location	NOM	location
pour	PRP	pour
le	DET:ART	le
week-end	NOM	week-end
et	KON	et
les	DET:ART	le
jours	NOM	jour
de	PRP	de
fête	NOM	fête
:	PUN	:
habitants	NOM	habitant
de	PRP	de
la	DET:ART	le
commune	NOM	commune
180	NUM	@card@
,	NOM	,
extérieurs	ADJ	extérieur
400	NUM	@card@
	NOM	
;	PUN	;
pour	PRP	pour
une	DET:ART	un
journée	NOM	journée
hors	PRP	hors
week-end	NOM	week-end
et	KON	et
jours	NOM	jour
de	PRP	de
fête	NOM	fête
:	PUN	:
habitants	NOM	habitant
de	PRP	de
