demain	ADV	demain
,	PUN	,
13	NUM	@card@
ans	NOM	an
à	PRP	à
7	NUM	@card@
contre	PRP	contre
val	NOM	val
d'	PRP	de
argonne	NOM	argonne
:	PUN	:
match	NOM	match
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
void	NOM	void
.	SENT	.
dimanche	NOM	dimanche
12	NUM	@card@
janvier	NOM	janvier
,	PUN	,
foot	NOM	foot
en	PRP	en
salle	NOM	salle
,	PUN	,
challenge	NOM	challenge
calmet	VER:pres	calmet
avec	PRP	avec
16	NUM	@card@
équipes	NOM	équipe
,	PUN	,
réservé	VER:pper	réserver
aux	PRP:det	au
benjamins	NOM	benjamin
,	PUN	,
à	PRP	à
partir	VER:infi	partir
de	PRP	de
10	NUM	@card@
h.	ABR	h.
restauration	NOM	restauration
buvette	NOM	buvette
sur	PRP	sur
place	NOM	place
.	SENT	.
