permanences	NOM	permanence
du	PRP:det	du
mois	NOM	moi|mois
de	PRP	de
janvier	NOM	janvier
des	PRP:det	du
conseillers	NOM	conseiller
en	PRP	en
protection	NOM	protection
sociale	ADJ	social
et	KON	et
des	PRP:det	du
travailleurs	NOM	travailleur
sociaux	ADJ	social
spécialisés	VER:pper	spécialiser
de	PRP	de
la	DET:ART	le
msa	VER:simp	msa
.	SENT	.
béatrice	ADJ	béatrice
kedinger	NOM	kedinger
:	PUN	:
briey	NOM	briey
:	PUN	:
antenne	NOM	antenne
msa	VER:simp	msa
,	PUN	,
33	NUM	@card@
rue	NOM	rue
rené-dorme	VER:pper	rené-dorme
,	PUN	,
03.82	NUM	@card@
.	SENT	.
46.36	NUM	@card@
.	SENT	.
59	NUM	@card@
vendredis	NOM	vendredi
17	NUM	@card@
et	KON	et
24	NUM	@card@
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h.	ABR	h.
pont-à-mousson	NOM	pont-à-mousson
:	PUN	:
antenne	NOM	antenne
msa	VER:simp	msa
,	PUN	,
95	NUM	@card@
avenue	NOM	avenue
de	PRP	de
metz	NAM	Metz
,	PUN	,
03.83	NUM	@card@
.	SENT	.
81.46	NUM	@card@
.	SENT	.
50	NUM	@card@
jeudi	NOM	jeudi
16	NUM	@card@
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h.	ABR	h.
sandrine	NOM	sandrine
eulry	NOM	eulry
:	PUN	:
blâmont	VER:futu	blâmont
:	PUN	:
point	NOM	point
d'	PRP	de
information	NOM	information
,	PUN	,
15	NUM	@card@
rue	NOM	rue
de	PRP	de
voise	NOM	voise
,	PUN	,
03.83	NUM	@card@
.	SENT	.
42.45	NUM	@card@
.	SENT	.
73	NUM	@card@
mardi	NOM	mardi
21	NUM	@card@
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h.	ABR	h.
toul	NOM	toul
:	PUN	:
chambre	NOM	chambre
d'	PRP	de
agriculture	NOM	agriculture
,	PUN	,
16	NUM	@card@
rue	NOM	rue
firmin-gouvion	NOM	firmin-gouvion
,	PUN	,
03.83	NUM	@card@
.	SENT	.
43.47	NUM	@card@
.	SENT	.
96	NUM	@card@
jeudi	NOM	jeudi
23	NUM	@card@
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h.	ABR	h.
marie-christine	NOM	marie-christine
stevenel	NOM	stevenel
:	PUN	:
vézelise	VER:pres	vézelise
:	PUN	:
antenne	NOM	antenne
msa	VER:simp	msa
,	PUN	,
22	NUM	@card@
bis	NOM	bis
,	PUN	,
route	NOM	route
d'	PRP	de
ognéville	NOM	ognéville
,	PUN	,
03.83	NUM	@card@
.	SENT	.
26.93	NUM	@card@
.	SENT	.
37	NUM	@card@
mardi	NOM	mardi
14	NUM	@card@
et	KON	et
28	NUM	@card@
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
mme	ADJ	mme
yamina	NOM	yamina
samuel	ADJ	samuel
,	PUN	,
remplaçante	NOM	remplaçant
de	PRP	de
mme	ADJ	mme
maggy	NOM	maggy
le	DET:ART	le
plenier	NOM	plenier
:	PUN	:
longuyon	NOM	longuyon
:	PUN	:
centre	NOM	centre
médico-social	ADJ	médico-social
,	PUN	,
rue	NOM	rue
nouvelle	ADJ	nouveau
,	PUN	,
03.82	NUM	@card@
.	SENT	.
39.21	NUM	@card@
.	SENT	.
74.	PRO	@ord@
,	PUN	,
mercredis	NOM	mercredi
15	NUM	@card@
22	NUM	@card@
et	KON	et
29	NUM	@card@
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
mme	VER:simp	mme
marie-josé	VER:pper	marie-josé
dal	NOM	dal
pozzolo	ADJ	pozzolo
:	PUN	:
briey	NOM	briey
:	PUN	:
antenne	NOM	antenne
msa	VER:simp	msa
,	PUN	,
33	NUM	@card@
rue	NOM	rue
rené-dorme	VER:pper	rené-dorme
,	PUN	,
03.832	NUM	@card@
.	SENT	.
46.36	NUM	@card@
.	SENT	.
59	NUM	@card@
jeudis	NOM	jeudi
16	NUM	@card@
23	NUM	@card@
et	KON	et
30	NUM	@card@
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h.	ABR	h.
conflans-en-jarnisy	NOM	conflans-en-jarnisy
:	PUN	:
mairie	NOM	mairie
,	PUN	,
03.82	NUM	@card@
.	SENT	.
33.11	NUM	@card@
.	SENT	.
11	NUM	@card@
mardi	NOM	mardi
14	NUM	@card@
et	KON	et
21	NUM	@card@
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h.	ABR	h.
chambley	NOM	chambley
:	PUN	:
en	PRP	en
mairie	NOM	mairie
,	PUN	,
03.82	NUM	@card@
.	SENT	.
33.75	NUM	@card@
.	SENT	.
32	NUM	@card@
mardi	NOM	mardi
28	NUM	@card@
annulée	VER:pper	annuler
.	SENT	.
mme	VER:cond	mme
béatrice	ADJ	béatrice
dran	NOM	dran
:	PUN	:
saintois	NOM	saintois
vézelise	ADJ	vézelise
:	PUN	:
à	PRP	à
l'	DET:ART	le
antenne	NOM	antenne
msa	VER:simp	msa
,	PUN	,
22	NUM	@card@
bis	NOM	bis
,	PUN	,
route	NOM	route
d'	PRP	de
ognéville	NOM	ognéville
,	PUN	,
03.83	NUM	@card@
.	SENT	.
26.93	NUM	@card@
.	SENT	.
37	NUM	@card@
jeudis	NOM	jeudi
23	NUM	@card@
et	KON	et
30	NUM	@card@
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
;	PUN	;
jeudi	NOM	jeudi
16	NUM	@card@
annulée	VER:pper	annuler
.	SENT	.
mme	VER:cond	mme
dominique	ADJ	dominique
reynaud	NOM	reynaud
:	PUN	:
lunévillois	ADJ	lunévillois
:	PUN	:
à	PRP	à
l'	DET:ART	le
antenne	NOM	antenne
msa	VER:simp	msa
,	PUN	,
4	NUM	@card@
bis	NOM	bis
,	PUN	,
rue	NOM	rue
cyfflé	ADJ	cyfflé
,	PUN	,
à	PRP	à
lunéville	NAM	Lunéville
,	PUN	,
03.83	NUM	@card@
.	SENT	.
74.47	NUM	@card@
.	SENT	.
34	NUM	@card@
mardis	NOM	mardi
14	NUM	@card@
21	NUM	@card@
et	KON	et
28	NUM	@card@
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h.	ABR	h.
baccarat	NOM	baccarat
:	PUN	:
au	PRP:det	au
centre	NOM	centre
médico-social	ADJ	médico-social
,	PUN	,
03.83	NUM	@card@
.	SENT	.
75.10	NUM	@card@
.	SENT	.
72	NUM	@card@
vendredis	NOM	vendredi
10	NUM	@card@
17	ABR	@card@
24	NUM	@card@
et	KON	et
31	NUM	@card@
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h.	ABR	h.
mme	VER:futu	mme
marie-thérèse	NOM	marie-thérèse
beauregard	ADJ	beauregard
:	PUN	:
toulois	ADJ	toulois
,	PUN	,
toul	NOM	toul
:	PUN	:
16	NUM	@card@
rue	NOM	rue
firmin-gouvion	NOM	firmin-gouvion
(	PUN	(
locaux	ADJ	local
de	PRP	de
la	DET:ART	le
chambre	NOM	chambre
d'	PRP	de
agriculture	NOM	agriculture
)	PUN	)
54200	NUM	@card@
toul	NOM	toul
,	PUN	,
03.83	NUM	@card@
.	SENT	.
83.47	NUM	@card@
.	SENT	.
96	NUM	@card@
mardis	NOM	mardi
14	NUM	@card@
et	KON	et
21	NUM	@card@
de	PRP	de
8	NUM	@card@
h	ABR	heure
10	NUM	@card@
h	ABR	heure
,	PUN	,
mardi	NOM	mardi
28	NUM	@card@
annulée	VER:pper	annuler
;	PUN	;
et	KON	et
les	DET:ART	le
vendredis	NOM	vendredi
10	NUM	@card@
17	ABR	@card@
24	NUM	@card@
et	KON	et
31	NUM	@card@
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
mme	ADJ	mme
laurence	NOM	laurence
gerne	NOM	gerne
remplaçante	NOM	remplaçant
de	PRP	de
mme	NOM	madame
claire	ADJ	clair
rosan	NOM	rosan
:	PUN	:
bassin	ADJ	bassin
nancy-pont-à-mousson	NOM	nancy-pont-à-mousson
:	PUN	:
antenne	NOM	antenne
msa	VER:simp	msa
,	PUN	,
95	NUM	@card@
avenue	NOM	avenue
de	PRP	de
metz	NAM	Metz
,	PUN	,
03.83	NUM	@card@
.	SENT	.
81.46	NUM	@card@
.	SENT	.
50	NUM	@card@
mardis	NOM	mardi
14	NUM	@card@
21	NUM	@card@
et	KON	et
28	NUM	@card@
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
vand	NOM	vand
	ADJ	
uvre	NOM	uvre
:	PUN	:
à	PRP	à
la	DET:ART	le
msa	VER:simp	msa
,	PUN	,
15	NUM	@card@
avenue	NOM	avenue
paul-doumer	ADJ	paul-doumer
,	PUN	,
au	PRP:det	au
service	NOM	service
social	ADJ	social
,	PUN	,
03.83	NUM	@card@
.	SENT	.
50.35	NUM	@card@
.	SENT	.
19	NUM	@card@
mercredis	NOM	mercredi
15	NUM	@card@
22	NUM	@card@
et	KON	et
29	NUM	@card@
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h.	ABR	h.
