vand	ADJ	vand
	NOM	
uvre-lès-nancy	ADJ	uvre-lès-nancy
.	SENT	.
_	NOM	_
sur	PRP	sur
l'	PRO:PER	la|le
a	VER:pres	avoir
3	NUM	@card@
3	NUM	@card@
hier	NOM	hier
matin	NOM	matin
,	PUN	,
peu	ADV	peu
avant	PRP	avant
9	NUM	@card@
h	ABR	heure
,	PUN	,
deux	NUM	deux
voitures	NOM	voiture
sont	VER:pres	être
entrées	VER:pper	entrer
en	PRP	en
collision	NOM	collision
sur	PRP	sur
l'	PRO:PER	la|le
a	VER:pres	avoir
3	NUM	@card@
3	NUM	@card@
dans	PRP	dans
le	DET:ART	le
sens	NOM	sen|sens
strasbourg-nancy	NOM	strasbourg-nancy
,	PUN	,
à	PRP	à
hauteur	NOM	hauteur
de	PRP	de
l'	DET:ART	le
échangeur	NOM	échangeur
de	PRP	de
brabois	NOM	brabois
.	SENT	.
l'	DET:ART	le
accident	NOM	accident
n'	ADV	ne
a	VER:pres	avoir
fort	ADV	fort
heureusement	ADV	heureusement
pas	ADV	pas
fait	VER:pper	faire
de	PRP	de
blessé	NOM	blessé
;	PUN	;
uniquement	ADV	uniquement
de	PRP	de
gros	ADJ	gros
dégâts	NOM	dégât
matériels	ADJ	matériel
.	SENT	.
les	DET:ART	le
crs	NOM	crs
étaient	VER:impf	être
sur	PRP	sur
les	DET:ART	le
lieux	NOM	lieu
.	SENT	.
laxou	NOM	laxou
.	SENT	.
_	ADJ	_
chute	NOM	chute
d'	PRP	de
un	DET:ART	un
deux-roues	NOM	deux-roues
.	SENT	.
mercredi	NOM	mercredi
,	PUN	,
en	PRP	en
fin	NOM	fin
d'	PRP	de
après-midi	NOM	après-midi
,	PUN	,
le	DET:ART	le
pilote	NOM	pilote
d'	PRP	de
un	DET:ART	un
deux-roues	NOM	deux-roues
a	VER:pres	avoir
lourdement	ADV	lourdement
chuté	VER:pper	chuter
dans	PRP	dans
l'	DET:ART	le
avenue	NOM	avenue
de	PRP	de
la	DET:ART	le
résistance	NOM	résistance
,	PUN	,
face	NOM	face
au	PRP:det	au
garage	NOM	garage
renault	ADJ	renault
.	SENT	.
souffrant	VER:ppre	souffrir
de	PRP	de
plaies	NOM	plaie
et	KON	et
de	PRP	de
contusions	NOM	contusion
,	PUN	,
il	PRO:PER	il
a	VER:pres	avoir
été	VER:pper	être
dirigé	VER:pper	diriger
vers	PRP	vers
le	DET:ART	le
centre	NOM	centre
hospitalier	ADJ	hospitalier
par	PRP	par
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
.	SENT	.
toul	NOM	toul
.	SENT	.
_	NOM	_
piéton	ADJ	piéton
renversé	VER:pper	renverser
.	SENT	.
hier	ADV	hier
,	PUN	,
vers	PRP	vers
17	NUM	@card@
h	ABR	heure
,	PUN	,
une	DET:ART	un
voiture	NOM	voiture
a	VER:pres	avoir
renversé	VER:pper	renverser
un	DET:ART	un
piéton	NOM	piéton
,	PUN	,
rue	NOM	rue
saint-mansuy	NOM	saint-mansuy
,	PUN	,
à	PRP	à
proximité	NOM	proximité
de	PRP	de
la	DET:ART	le
cafétéria	NOM	cafétéria
.	SENT	.
secouru	VER:pper	secourir
par	PRP	par
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
,	PUN	,
le	DET:ART	le
piéton	NOM	piéton
a	VER:pres	avoir
été	VER:pper	être
acheminé	VER:pper	acheminer
vers	PRP	vers
le	DET:ART	le
centre	NOM	centre
hospitalier	ADJ	hospitalier
.	SENT	.
laxou	NOM	laxou
.	SENT	.
_	NOM	_
piéton	ADJ	piéton
renversé	VER:pper	renverser
.	SENT	.
mercredi	NOM	mercredi
soir	NOM	soir
,	PUN	,
peu	ADV	peu
avant	PRP	avant
19	NUM	@card@
h	ABR	heure
,	PUN	,
un	DET:ART	un
piéton	NOM	piéton
a	VER:pres	avoir
été	VER:pper	être
renversé	VER:pper	renverser
par	PRP	par
une	DET:ART	un
voiture	NOM	voiture
,	PUN	,
rue	NOM	rue
de	PRP	de
la	DET:ART	le
vologne	NOM	vologne
.	SENT	.
légèrement	ADV	légèrement
blessé	VER:pper	blesser
,	PUN	,
il	PRO:PER	il
a	VER:pres	avoir
été	VER:pper	être
pris	VER:pper	prendre
en	PRP	en
charge	NOM	charge
par	PRP	par
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
et	KON	et
transporté	VER:pper	transporter
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
.	SENT	.
nancy	NOM	nancy
.	SENT	.
_	ADJ	_
chute	NOM	chute
dans	PRP	dans
un	DET:ART	un
bus	NOM	bus
.	SENT	.
hier	ADV	hier
,	PUN	,
peu	ADV	peu
