la	DET:ART	le
médaille	NOM	médaille
d'	PRP	de
honneur	NOM	honneur
du	PRP:det	du
travail	NOM	travail
,	PUN	,
échelon	NOM	échelon
argent	NOM	argent
,	PUN	,
a	VER:pres	avoir
été	VER:pper	être
décernée	VER:pper	décerner
à	PRP	à
:	PUN	:
merinos	NOM	merinos
,	PUN	,
vesoul	NOM	vesoul
:	PUN	:
albert	NOM	albert
balkan	NOM	balkan
,	PUN	,
agent	NOM	agent
de	PRP	de
fabrication	NOM	fabrication
,	PUN	,
à	PRP	à
vesoul	NOM	vesoul
;	PUN	;
jean	NOM	jean
bayle	ADJ	bayle
,	PUN	,
agent	NOM	agent
de	PRP	de
fabrication	NOM	fabrication
,	PUN	,
à	PRP	à
noidans-lès-vesoul	NOM	noidans-lès-vesoul
;	PUN	;
claude	NOM	claude
billod	ADJ	billod
,	PUN	,
ouvrier	ADJ	ouvrier
,	PUN	,
à	PRP	à
navenne	NOM	navenne
;	PUN	;
henri	VER:pper	henri
bobillot	NOM	bobillot
,	PUN	,
agent	NOM	agent
de	PRP	de
manutention	NOM	manutention
,	PUN	,
à	PRP	à
vesoul	NOM	vesoul
;	PUN	;
eric	ADJ	eric
boudot	NOM	boudot
,	PUN	,
agent	NOM	agent
de	PRP	de
maîtrise	NOM	maîtrise
,	PUN	,
à	PRP	à
vesoul	NOM	vesoul
.	SENT	.
parisot	NOM	parisot
meubles	ADJ	meuble
,	PUN	,
saint-loup-sur-semouse	NOM	saint-loup-sur-semouse
:	PUN	:
ahmed	ADJ	ahmed
abdelkaoui	NOM	abdelkaoui
,	PUN	,
régleur	NOM	régleur
,	PUN	,
à	PRP	à
saint-loup-sur-semouse	NOM	saint-loup-sur-semouse
;	PUN	;
guisepina	VER:simp	guisepina
aharras	VER:simp	aharras
,	PUN	,
née	VER:pper	naître
parrotta	NOM	parrotta
,	PUN	,
préparatrice	NOM	préparateur
,	PUN	,
à	PRP	à
corbenay	NOM	corbenay
;	PUN	;
ahmed	NOM	ahmed
ait	VER:subp	avoir
chdid	NOM	chdid
,	PUN	,
manutentionnaire	NOM	manutentionnaire
,	PUN	,
à	PRP	à
saint-loup-sur-semouse	NOM	saint-loup-sur-semouse
;	PUN	;
mohamed	NOM	mohamed
ait	VER:subp	avoir
hamadi	NOM	hamadi
,	PUN	,
emballeur	NOM	emballeur
,	PUN	,
à	PRP	à
hautevelle	NOM	hautevelle
;	PUN	;
mohamed	NOM	mohamed
allali	ADJ	allali
,	PUN	,
régleur	NOM	régleur
,	PUN	,
à	PRP	à
saint-loup-sur-semouse	NOM	saint-loup-sur-semouse
;	PUN	;
ghislain	ADJ	ghislain
ancelot	NOM	ancelot
,	PUN	,
machiniste	NOM	machiniste
,	PUN	,
à	PRP	à
breuchotte	NOM	breuchotte
;	PUN	;
ahmed	ADJ	ahmed
azaroual	NOM	azaroual
,	PUN	,
machiniste	NOM	machiniste
,	PUN	,
à	PRP	à
saint	ADJ	saint
loup	NOM	loup
sur-semouse	NOM	sur-semouse
;	PUN	;
moha	NOM	moha
bahammou	ADJ	bahammou
,	PUN	,
cariste	NOM	cariste
,	PUN	,
à	PRP	à
saint	ADJ	saint
loup	NOM	loup
sur	PRP	sur
semouse	NOM	semouse
;	PUN	;
martine	VER:pres	martiner
bardoz	NOM	bardoz
,	PUN	,
machiniste	NOM	machiniste
,	PUN	,
à	PRP	à
saint	ADJ	saint
loup	NOM	loup
sur-semouse	NOM	sur-semouse
;	PUN	;
idalia	NOM	idalia
beaudevin	NOM	beaudevin
,	PUN	,
née	VER:pper	naître
da	INT	da
silvario	NOM	silvario
,	PUN	,
opératrice	NOM	opérateur
chaîne	NOM	chaîne
emballage	NOM	emballage
,	PUN	,
à	PRP	à
