election	NOM	election
du	PRP:det	du
bureau	NOM	bureau
:	PUN	:
la	DET:ART	le
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
,	PUN	,
qui	PRO:REL	qui
regroupe	VER:pres	regrouper
17	NUM	@card@
villages	NOM	village
,	PUN	,
tiendra	VER:futu	tenir
sa	DET:POS	son
première	NUM	premier
réunion	NOM	réunion
de	PRP	de
conseil	NOM	conseil
communautaire	ADJ	communautaire
,	PUN	,
mardi	NOM	mardi
14	NUM	@card@
janvier	NOM	janvier
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
saint-nicolas	NOM	saint-nicolas
à	PRP	à
champenoux	NOM	champenoux
.	SENT	.
ordre	NOM	ordre
du	PRP:det	du
jour	NOM	jour
:	PUN	:
désignation	NOM	désignation
de	PRP	de
trois	NUM	trois
scrutateurs	NOM	scrutateur
,	PUN	,
élections	NOM	élection
du	PRP:det	du
président	NOM	président
,	PUN	,
élections	NOM	élection
de	PRP	de
sept	NUM	sept
vice-présidents	NOM	vice-président
,	PUN	,
élections	NOM	élection
de	PRP	de
17	NUM	@card@
membres	NOM	membre
du	PRP:det	du
bureau	NOM	bureau
(	PUN	(
dont	PRO:REL	dont
les	DET:ART	le
7	NUM	@card@
vice-présidents	NOM	vice-président
),	ADJ	),
détermination	NOM	détermination
du	PRP:det	du
nombre	NOM	nombre
de	PRP	de
commissions	NOM	commission
à	PRP	à
mettre	VER:infi	mettre
en	PRP	en
place	NOM	place
,	PUN	,
constitution	NOM	constitution
des	PRP:det	du
commissions	NOM	commission
d'	PRP	de
appel	NOM	appel
d'	PRP	de
offres	NOM	offre
et	KON	et
élections	NOM	élection
(	PUN	(
mises	VER:pper	mettre
en	PRP	en
place	NOM	place
pour	PRP	pour
la	DET:ART	le
durée	NOM	durée
du	PRP:det	du
mandat	NOM	mandat
).	VER:cond	).
assemblée	NOM	assemblée
générale	ADJ	général
:	PUN	:
la	DET:ART	le
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
tiendra	VER:futu	tenir
sa	DET:POS	son
première	NUM	premier
assemblée	NOM	assemblée
générale	ADJ	général
à	PRP	à
la	DET:ART	le
salle	NOM	salle
saint-nicolas	NOM	saint-nicolas
à	PRP	à
champenoux	NOM	champenoux
le	DET:ART	le
mardi	NOM	mardi
14	NUM	@card@
janvier	NOM	janvier
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
ordre	NOM	ordre
du	PRP:det	du
jour	NOM	jour
:	PUN	:
vote	NOM	vote
des	PRP:det	du
nouvelles	ADJ	nouveau
indemnités	NOM	indemnité
du	PRP:det	du
président	NOM	président
,	PUN	,
ainsi	KON	ainsi
que	KON	que
celles	PRO:DEM	celui
des	PRP:det	du
vice-présidents	NOM	vice-président
;	PUN	;
vote	NOM	vote
des	PRP:det	du
nouvelles	ADJ	nouveau
délégations	NOM	délégation
retenues	VER:pper	retenir
;	PUN	;
adhésion	NOM	adhésion
et	KON	et
désignation	NOM	désignation
de	PRP	de
deux	NUM	deux
délégués	NOM	délégué
au	PRP:det	au
syndicat	NOM	syndicat
d'	PRP	de
électricité	NOM	électricité
et	KON	et
un	DET:ART	un
délégué	NOM	délégué
au	PRP:det	au
cnas	NOM	cnas
;	PUN	;
embauche	NOM	embauche
de	PRP	de
trois	NUM	trois
vacataires	NOM	vacataire
(	PUN	(
permettre	VER:infi	permettre
la	DET:ART	le
distribution	NOM	distribution
de	PRP	de
guides	NOM	guide|guides
de	PRP	de
tri	NOM	tri
et	KON	et
explication	NOM	explication
auprès	ADV	auprès
des	PRP:det	du
habitants	NOM	habitant
)	PUN	)
;	PUN	;
conventions	NOM	convention
de	PRP	de
la	DET:ART	le
mise	NOM	mise
à	PRP	à
disposition	NOM	disposition
du	PRP:det	du
photocopieur	NOM	photocopieur
couleur	NOM	couleur
aux	PRP:det	au
communes	ADJ	commun
membres	NOM	membre
qui	PRO:REL	qui
le	PRO:PER	le
souhaiteront	VER:futu	souhaiter
;	PUN	;
adhésion	NOM	adhésion
de	PRP	de
la	DET:ART	le
commune	NOM	commune
d'	PRP	de
haraucourt	NOM	haraucourt
à	PRP	à
la	DET:ART	le
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
;	PUN	;
trésorerie	NOM	trésorerie
du	PRP:det	du
sivom	NOM	sivom
,	PUN	,
ouverture	NOM	ouverture
d'	PRP	de
une	DET:ART	un
nouvelle	ADJ	nouveau
ligne	NOM	ligne
de	PRP	de
trésorerie	NOM	trésorerie
;	PUN	;
habitat	NOM	habitat
nomination	NOM	nomination
vote	VER:pres	voter
de	PRP	de
six	NUM	six
membres	NOM	membre
au	PRP:det	au
comité	NOM	comité
de	PRP	de
pilotage	NOM	pilotage
(	PUN	(
deux	NUM	deux
par	PRP	par
secteur	NOM	secteur
:	PUN	:
ouest	ADJ	ouest
,	PUN	,
est	VER:pres	être
et	KON	et
sud	ADJ	sud
)	PUN	)
et	KON	et
questions	NOM	question
diverses	ADJ	divers
.	SENT	.
