jeudi	NOM	jeudi
,	PUN	,
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
du	PRP:det	du
centre	NOM	centre
de	PRP	de
secours	NOM	secours
ont	VER:pres	avoir
été	VER:pper	être
appelés	VER:pper	appeler
à	PRP	à
18	NUM	@card@
h	ABR	heure
25	NUM	@card@
pour	PRP	pour
un	DET:ART	un
malaise	NOM	malais|malaise
à	PRP	à
lenoncourt	NOM	lenoncourt
,	PUN	,
à	PRP	à
18	NUM	@card@
h	ABR	heure
40	NUM	@card@
pour	PRP	pour
un	DET:ART	un
malaise	NOM	malais|malaise
à	PRP	à
neuves-maisons	NOM	neuves-maisons
,	PUN	,
à	PRP	à
18	NUM	@card@
h	ABR	heure
55	NUM	@card@
pour	PRP	pour
une	DET:ART	un
chute	NOM	chute
à	PRP	à
dombasle	NOM	dombasle
,	PUN	,
à	PRP	à
22	NUM	@card@
h	ABR	heure
55	NUM	@card@
pour	PRP	pour
un	DET:ART	un
malaise	NOM	malais|malaise
à	PRP	à
rosières	NOM	rosière
.	SENT	.
vendredi	NOM	vendredi
,	PUN	,
ils	PRO:PER	il
sont	VER:pres	être
intervenus	VER:pper	intervenir
à	PRP	à
8	NUM	@card@
h	ABR	heure
10	NUM	@card@
pour	PRP	pour
un	DET:ART	un
malaise	NOM	malais|malaise
à	PRP	à
neuves-maisons	NOM	neuves-maisons
,	PUN	,
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
pour	PRP	pour
une	DET:ART	un
chute	NOM	chute
à	PRP	à
dombasle	NOM	dombasle
,	PUN	,
à	PRP	à
17	NUM	@card@
h	ABR	heure
pour	PRP	pour
une	DET:ART	un
chute	NOM	chute
à	PRP	à
rosières	NOM	rosière
et	KON	et
à	PRP	à
17	NUM	@card@
h	ABR	heure
35	NUM	@card@
pour	PRP	pour
une	DET:ART	un
ouverture	NOM	ouverture
de	PRP	de
porte	NOM	porte
à	PRP	à
rosières	NOM	rosière
.	SENT	.
