six-fours	NOM	six-fours
.	SENT	.
stade	NOM	stade
baptiste	ADJ	baptiste
.	SENT	.
mi-temps	NOM	mi-temps
0	NUM	@card@
-	PUN	-
0	NUM	@card@
200	NUM	@card@
spectateurs	NOM	spectateur
environ	ADV	environ
.	SENT	.
les	DET:ART	le
buts	NOM	but
:	PUN	:
santos	NOM	santos
(	PUN	(
52	NUM	@card@
e	NOM	e
et	KON	et
53	NUM	@card@
e).	ABR	e).
ùavertissements	NOM	ùavertissements
:	PUN	:
charvet	NOM	charvet
(	PUN	(
61	NUM	@card@
e)	NOM	e)
à	PRP	à
sochaux	NOM	sochaux
.	SENT	.
andenas	NOM	andenas
(	PUN	(
68	NUM	@card@
e)	NOM	e)
à	PRP	à
nîmes	VER:simp	nîmes
.	SENT	.
les	DET:ART	le
équipes	NOM	équipe
sochaux	ADJ	sochaux
:	PUN	:
richert	NOM	richert
(	PUN	(
puis	ADV	puis
gnanhouan	ADJ	gnanhouan
,	PUN	,
46	NUM	@card@
e),	NOM	e),
domoraud	ADJ	domoraud
(	PUN	(
raschke	NOM	raschke
46	NUM	@card@
e),	NOM	e),
saveljic	NOM	saveljic
(	PUN	(
puis	ADV	puis
tall	NOM	tall
,	PUN	,
46	NUM	@card@
e),	NOM	e),
charvet	ADJ	charvet
(	PUN	(
puis	ADV	puis
domoraud	NOM	domoraud
67	NUM	@card@
e),	NOM	e),
monsoreau	NOM	monsoreau
,	PUN	,
lonfat	NOM	lonfat
,	PUN	,
isabey	NOM	isabey
(	PUN	(
puis	ADV	puis
tassali	NOM	tassali
,	PUN	,
46	NUM	@card@
e),	NOM	e),
oruma	VER:simp	oruma
,	PUN	,
pedretti	NOM	pedretti
(	PUN	(
puis	ADV	puis
mathieu	NOM	mathieu
,	PUN	,
46	NUM	@card@
e)	NOM	e)
pagis	VER:pper	pagis
(	PUN	(
puis	ADV	puis
isabey	NOM	isabey
,	PUN	,
75	NUM	@card@
e),	NOM	e),
frau	ADJ	frau
(	PUN	(
puis	ADV	puis
santos	NOM	santos
,	PUN	,
46	NUM	@card@
e).	NOM	e).
nîmes	VER:simp	nîmes
:	PUN	:
grau	NOM	grau
(	PUN	(
puis	ADV	puis
duchesne	NOM	duchesne
46	NUM	@card@
e),	NOM	e),
alemany	NOM	alemany
(	PUN	(
puis	ADV	puis
himmer	NOM	himmer
46	NUM	@card@
e),	NOM	e),
dailly	NOM	dailly
,	PUN	,
kandé	NOM	kandé
(	PUN	(
pius	NOM	pius
van	NOM	van
reusel	NOM	reusel
46	NUM	@card@
e),	NOM	e),
de	PRP	de
palmas	VER:simp	palmer
,	PUN	,
benyachou	NOM	benyachou
(	PUN	(
puis	ADV	puis
nicot	NOM	nicot
,	PUN	,
46	NUM	@card@
e),	NOM	e),
colleau	NOM	colleau
,	PUN	,
cohade	NOM	cohade
(	PUN	(
puis	ADV	puis
vannuchi	NOM	vannuchi
,	PUN	,
46	NUM	@card@
e),	NOM	e),
barralon	NOM	barralon
(	PUN	(
puis	ADV	puis
jouffre	ADJ	jouffre
46	NUM	@card@
e),	NOM	e),
bouledba	VER:simp	bouledba
,	PUN	,
sissoko	NOM	sissoko
(	PUN	(
puis	ADV	puis
andenas	NOM	andenas
,	PUN	,
46	NUM	@card@
e).	ABR	e).
