coupe	NOM	coupe
du	PRP:det	du
monde	NOM	monde
à	PRP	à
chaux-neuve	NOM	chaux-neuve
1996	NUM	@card@
:	PUN	:
1	NUM	@card@
ogiwara	NOM	ogiwara
(	PUN	(
japon	NOM	japon
),	NOM	),
2	NUM	@card@
apeland	NOM	apeland
(	PUN	(
norvège	ADJ	norvège
),	NOM	),
3	NUM	@card@
skard	NOM	skard
(	PUN	(
norvège	NOM	norvège
).	ABR	).
1998	NUM	@card@
:	PUN	:
1	NUM	@card@
kucera	NOM	kucera
(	PUN	(
tché	ADJ	tché
.),	NOM	.),
2	NUM	@card@
gottwald	NOM	gottwald
(	PUN	(
aut	VER:simp	aut
.),	NOM	.),
3	NUM	@card@
roux	NOM	roux
(	PUN	(
france	NOM	france
).	ABR	).
1999	NUM	@card@
:	PUN	:
1	NUM	@card@
lajunen	NOM	lajunen
(	PUN	(
fin	ADJ	fin
.),	NOM	.),
2	NUM	@card@
lodwick	NOM	lodwick
(	PUN	(
usa	VER:simp	user
),	NOM	),
3	NUM	@card@
rugl	NOM	rugl
(	PUN	(
tché	NOM	tché
.).	ABR	.).
2000	NUM	@card@
:	PUN	:
1	NUM	@card@
lajunen	NOM	lajunen
(	PUN	(
fin	ADJ	fin
.),	NOM	.),
2	NUM	@card@
tallus	NOM	tallus
(	PUN	(
fin	ADJ	fin
.),	NOM	.),
3	NUM	@card@
stecher	NOM	stecher
(	PUN	(
aut	VER:simp	aut
.).	VER:pper	.).
championnats	NOM	championnat
de	PRP	de
france	NOM	france
1991	NUM	@card@
:	PUN	:
1	NUM	@card@
guy	NOM	guy
,	PUN	,
2	NUM	@card@
repellin	NOM	repellin
,	PUN	,
3	NUM	@card@
guillaume	NOM	guillaume
.	SENT	.
1995	NUM	@card@
:	PUN	:
1	NUM	@card@
guy	NOM	guy
,	PUN	,
2	NUM	@card@
baud	NOM	baud
,	PUN	,
3	NUM	@card@
guillaume	NOM	guillaume
.	SENT	.
1996	NUM	@card@
:	PUN	:
1	NUM	@card@
guy	NOM	guy
,	PUN	,
2	NUM	@card@
guillaume	NOM	guillaume
,	PUN	,
3	NUM	@card@
roux	NOM	roux
.	SENT	.
1997	NUM	@card@
:	PUN	:
1	NUM	@card@
guy	NOM	guy
,	PUN	,
2	NUM	@card@
gouy	NOM	gouy
,	PUN	,
3	NUM	@card@
bal	NOM	bal
.	SENT	.
1999	NUM	@card@
:	PUN	:
1	NUM	@card@
guillaume	NOM	guillaume
,	PUN	,
2	NUM	@card@
bal	NOM	bal
,	PUN	,
3	NUM	@card@
trachsel	NOM	trachsel
.	SENT	.
