9	NUM	@card@
e	ADJ	e
édition	NOM	édition
du	PRP:det	du
tournoi	NOM	tournoi
du	PRP:det	du
sluc	NOM	sluc
nancy-laxou	NOM	nancy-laxou
,	PUN	,
ce	PRO:DEM	ce
week-end	NOM	week-end
.	SENT	.
nancy	NOM	nancy
.	SENT	.
_	ABR	_
cette	PRO:DEM	ce
année	NOM	année
,	PUN	,
la	DET:ART	le
neuvième	ADJ	neuvième
édition	NOM	édition
du	PRP:det	du
tournoi	NOM	tournoi
organisé	VER:pper	organiser
par	PRP	par
le	DET:ART	le
sluc	NOM	sluc
nancy-laxou	NOM	nancy-laxou
a	VER:pres	avoir
joué	VER:pper	jouer
la	DET:ART	le
carte	NOM	carte
de	PRP	de
l'	DET:ART	le
exotisme	NOM	exotisme
et	KON	et
du	PRP:det	du
dépaysement	NOM	dépaysement
.	SENT	.
et	KON	et
pour	PRP	pour
cause	NOM	cause
.	SENT	.
avec	PRP	avec
une	DET:ART	un
délégation	NOM	délégation
suisse	ADJ	suisse
en	PRP	en
visite	NOM	visite
dans	PRP	dans
la	DET:ART	le
cité	NOM	cité
stanislas	NOM	stanislas
,	PUN	,
le	DET:ART	le
club	NOM	club
lorrain	ADJ	lorrain
a	VER:pres	avoir
décidé	VER:pper	décider
d'	PRP	de
ouvrir	VER:infi	ouvrir
grand	ADJ	grand
ses	DET:POS	son
portes	NOM	porte
aux	PRP:det	au
pays	NOM	pays
limitrophes	ADJ	limitrophe
.	SENT	.
a	VER:pres	avoir
y	PRO:PER	y
regarder	VER:infi	regarder
de	PRP	de
plus	ADV	plus
près	ADV	près
,	PUN	,
pas	ADV	pas
seulement	ADV	seulement
limitrophes	ADJ	limitrophe
d'	PRP	de
ailleurs	ADV	ailleurs
.	SENT	.
en	PRP	en
effet	NOM	effet
,	PUN	,
l'	DET:ART	le
équipe	NOM	équipe
nationale	ADJ	national
du	PRP:det	du
maroc	NOM	maroc
a	VER:pres	avoir
quitté	VER:pper	quitter
provisoirement	ADV	provisoirement
l'	DET:ART	le
afrique	NOM	afrique
pour	PRP	pour
rejoindre	VER:infi	rejoindre
les	DET:ART	le
gymnases	NOM	gymnase
la	DET:ART	le
fontaine	NOM	fontaine
(	PUN	(
laxou	NOM	laxou
)	PUN	)
et	KON	et
georges	VER:subp	georges
de	PRP	de
la	DET:ART	le
tour	NOM	tour
(	PUN	(
nancy	NOM	nancy
).	ADJ	).
vous	PRO:PER	vous
l'	PRO:PER	la|le
aurez	VER:futu	avoir
donc	ADV	donc
compris	VER:pper	comprendre
:	PUN	:
la	DET:ART	le
barre	NOM	barre
sera	VER:futu	être
donc	ADV	donc
,	PUN	,
cette	PRO:DEM	ce
fois	NOM	foi|fois
encore	ADV	encore
,	PUN	,
placée	VER:pper	placer
haut	ADJ	haut
.	SENT	.
et	KON	et
ce	PRO:DEM	ce
ne	ADV	ne
sont	VER:pres	être
certainement	ADV	certainement
pas	ADV	pas
des	PRP:det	du
cadors	NOM	cador
comme	KON	comme
sydney	NOM	sydney
lengagne	NOM	lengagne
(	PUN	(
paca	NOM	paca
,	PUN	,
a-1	ADJ	a-1
),	NOM	),
mickaël	VER:subi	mickaël
amsalem	NOM	amsalem
(	PUN	(
maromme	NOM	maromme
,	PUN	,
a	VER:pres	avoir
0)	ADJ	0)
hanny	NOM	hanny
setiani	NOM	setiani
(	PUN	(
issy-les-moulineaux	NOM	issy-les-moulineaux
,	PUN	,
a-2	ADJ	a-2
)	PUN	)
ou	KON	ou
encore	ADV	encore
fabrice	ADJ	fabrice
bernabé	NOM	bernabé
(	PUN	(
issy-les-moulineaux	NOM	issy-les-moulineaux
,	PUN	,
a-1	ADJ	a-1
)	PUN	)
qui	PRO:REL	qui
vont	VER:pres	aller
baisser	VER:infi	baisser
le	DET:ART	le
niveau	NOM	niveau
de	PRP	de
jeu	NOM	jeu
.	SENT	.
chez	PRP	chez
les	DET:ART	le
filles	NOM	fille
,	PUN	,
natalya	NOM	natalya
eisipenko	ADJ	eisipenko
(	PUN	(
val	NOM	val
de	PRP	de
morteau	NOM	morteau
,	PUN	,
a-2	ADJ	a-2
),	NOM	),
grande	ADJ	grand
favorite	ADJ	favorite
,	PUN	,
donnera	VER:futu	donner
elle	PRO:PER	elle
aussi	ADV	aussi
le	DET:ART	le
ton	NOM	ton
.	SENT	.
lors	ADV	lors
de	PRP	de
l'	DET:ART	le
édition	NOM	édition
précédente	ADJ	précédent
,	PUN	,
elle	PRO:PER	elle
avait	VER:impf	avoir
déjà	ADV	déjà
donné	VER:pper	donner
la	DET:ART	le
leçon	NOM	leçon
à	PRP	à
toutes	PRO:IND	tout
ses	DET:POS	son
adversaires	NOM	adversaire
:	PUN	:
l'	DET:ART	le
histoire	NOM	histoire
risque	VER:pres	risquer
fort	ADV	fort
de	PRP	de
