jours	NOM	jour
de	PRP	de
fonctionnement	NOM	fonctionnement
:	PUN	:
-	PUN	-
janvier	NOM	janvier
:	PUN	:
les	DET:ART	le
dimanches	NOM	dimanche
12	NUM	@card@
19	ABR	@card@
26	NUM	@card@
-	PUN	-
février	NOM	février
:	PUN	:
les	DET:ART	le
dimanches	NOM	dimanche
2	NUM	@card@
et	KON	et
9	NUM	@card@
le	DET:ART	le
samedi	NOM	samedi
15	NUM	@card@
le	DET:ART	le
dimanche	NOM	dimanche
16	NUM	@card@
le	DET:ART	le
samedi	NOM	samedi
22	NUM	@card@
et	KON	et
dimanche	NOM	dimanche
23	NUM	@card@
-	PUN	-
mars	NOM	mars
:	PUN	:
samedi	NOM	samedi
1	NUM	@card@
e	NOM	e
r	ADJ	r
et	KON	et
dimanche	NOM	dimanche
2	NUM	@card@
parcours	NOM	parcours
et	KON	et
horaires	ADJ	horaire
(	PUN	(
si	KON	si
le	DET:ART	le
bus	NOM	bus
n'	ADV	ne
a	VER:pres	avoir
enregistré	VER:pper	enregistrer
aucun	PRO:IND	aucun
passager	ADJ	passager
jusqu'à	NOM	jusqu'à
lepuix-gy	ADJ	lepuix-gy
,	PUN	,
il	PRO:PER	il
ne	ADV	ne
continuera	VER:futu	continuer
pas	ADV	pas
son	DET:POS	son
trajet	NOM	trajet
jusqu'au	NOM	jusqu'au
sommet	NOM	sommet
.	SENT	.
la	DET:ART	le
descente	NOM	descente
ne	ADV	ne
sera	VER:futu	être
donc	ADV	donc
pas	ADV	pas
assurée	VER:pper	assurer
.	SENT	.
)	PUN	)
-	PUN	-
arrêts	NOM	arrêt
:	PUN	:
montbéliard	ADJ	montbéliard
champ	NOM	champ
de	PRP	de
foire	NOM	foire
:	PUN	:
aller	VER:infi	aller
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
retour	NOM	retour
18	NUM	@card@
h	ABR	heure
55	NUM	@card@
;	PUN	;
sochaux	ADJ	sochaux
mairie	NOM	mairie
:	PUN	:
aller	VER:infi	aller
11	NUM	@card@
h	ABR	heure
45	NUM	@card@
retour	NOM	retour
18	NUM	@card@
h	ABR	heure
40	NUM	@card@
;	PUN	;
sévenans	ADJ	sévenans
:	PUN	:
aller	VER:infi	aller
12	NUM	@card@
h	ABR	heure
00	NUM	@card@
retour	NOM	retour
