oeuvres	NOM	œuvre
de	PRP	de
capelli	NOM	capelli
.	SENT	.
galerie	NOM	galerie
du	PRP:det	du
théâtre	NOM	théâtre
,	PUN	,
12	NUM	@card@
rue	NOM	rue
chifflet	ADJ	chifflet
(	PUN	(
03.81	NUM	@card@
.	SENT	.
83.17	NUM	@card@
.	SENT	.
23	NUM	@card@
).	ABR	).
du	PRP:det	du
mardi	NOM	mardi
au	PRP:det	au
samedi	NOM	samedi
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
19	NUM	@card@
h	ABR	heure
;	PUN	;
dimanche	NOM	dimanche
12	NUM	@card@
janvier	NOM	janvier
,	PUN	,
de	PRP	de
15	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h.	ABR	h.
(	PUN	(
du	PRP:det	du
11	NUM	@card@
au	PRP:det	au
25	NUM	@card@
janvier	NOM	janvier
).	ABR	).
«	PUN:cit	«
victor-hugo	NOM	victor-hugo
vu	VER:pper	voir
par	PRP	par
rodin	NAM	rodin
»	PUN:cit	»
musée	NOM	musée
des	PRP:det	du
beaux-arts	NOM	beaux-arts
et	KON	et
d'	PRP	de
archéologie	NOM	archéologie
,	PUN	,
1	NUM	@card@
place	NOM	place
de	PRP	de
la	DET:ART	le
révolution	NOM	révolution
(	PUN	(
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
87.80	NUM	@card@
.	SENT	.
49	NUM	@card@
).	ABR	).
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
le	DET:ART	le
jeudi	NOM	jeudi
jusqu'à	NOM	jusqu'à
20	NUM	@card@
h	ABR	heure
;	PUN	;
samedi	NOM	samedi
et	KON	et
dimanche	NOM	dimanche
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h.	ABR	h.
sauf	PRP	sauf
les	DET:ART	le
mardis	NOM	mardi
,	PUN	,
le	DET:ART	le
25	NUM	@card@
décembre	NOM	décembre
et	KON	et
le	DET:ART	le
1	NUM	@card@
e	NOM	e
r	VER:subi	r
janvier	NOM	janvier
.	SENT	.
(	PUN	(
jusqu'au	NOM	jusqu'au
27	NUM	@card@
janvier	NOM	janvier
).	VER:subi	).
portraits	VER:pper	portraire
de	PRP	de
priscille	NOM	priscille
froidevaux	ADJ	froidevaux
.	SENT	.
au	PRP:det	au
cls	NOM	cls
bellevaux	ADJ	bellevaux
,	PUN	,
29	NUM	@card@
quai	NOM	quai
de	PRP	de
strasbourg	NOM	strasbourg
(	PUN	(
03.81	NUM	@card@
.	SENT	.
61.42	NUM	@card@
.	SENT	.
00	NUM	@card@
),	NOM	),
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
20	NUM	@card@
h.	ABR	h.
trois	NUM	trois
rencontres	NOM	rencontre
sont	VER:pres	être
prévues	VER:pper	prévoir
avec	PRP	avec
l'	DET:ART	le
artiste	NOM	artiste
,	PUN	,
à	PRP	à
destination	NOM	destination
du	PRP:det	du
public	NOM	public
de	PRP	de
l'	DET:ART	le
établissement	NOM	établissement
et	KON	et
ouvert	VER:pper	ouvrir
au	PRP:det	au
grand	ADJ	grand
public	NOM	public
(	PUN	(
entrée	NOM	entrée
libre	ADJ	libre
),	ADJ	),
les	DET:ART	le
mercredis	NOM	mercredi
15	NUM	@card@
22	NUM	@card@
et	KON	et
29	NUM	@card@
janvier	NOM	janvier
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
(	PUN	(
jusqu'au	NOM	jusqu'au
30	NUM	@card@
janvier	NOM	janvier
).	ABR	).
«	PUN:cit	«
la	DET:ART	le
proie	NOM	proie
de	PRP	de
l'	DET:ART	le
ombre	NOM	ombre
»	PUN:cit	»
:	PUN	:
exposition	NOM	exposition
photos	NOM	photo
