afin	KON	afin
d'	PRP	de
améliorer	VER:infi	améliorer
certaines	PRO:IND	certain
dessertes	NOM	desserte
,	PUN	,
quelques	PRO:IND	quelque
modifications	NOM	modification
interviendront	VER:futu	intervenir
à	PRP	à
partir	VER:infi	partir
de	PRP	de
lundi	NOM	lundi
13	NUM	@card@
janvier	NOM	janvier
.	SENT	.
sont	VER:pres	être
supprimés	VER:pper	supprimer
:	PUN	:
ligne	NOM	ligne
321	NUM	@card@
service	NOM	service
n	VER:subi	n
°	NOM	°
2	NUM	@card@
:	PUN	:
agincourt	NOM	agincourt
,	PUN	,
les	DET:ART	le
corvées	NOM	corvée
,	PUN	,
ceg	NOM	ceg
malzéville	NAM	Malzéville
à	PRP	à
7	NUM	@card@
h	ABR	heure
40	NUM	@card@
les	DET:ART	le
élèves	NOM	élève
des	PRP:det	du
corvées	NOM	corvée
sont	VER:pres	être
pris	VER:pper	prendre
par	PRP	par
le	DET:ART	le
service	NOM	service
n	VER:futu	n
°	NOM	°
6	NUM	@card@
(	PUN	(
ligne	NOM	ligne
320	NUM	@card@
)	PUN	)
à	PRP	à
7	NUM	@card@
h	ABR	heure
50	NUM	@card@
service	NOM	service
111	NUM	@card@
:	PUN	:
ceg	NOM	ceg
malzéville	NAM	Malzéville
-	PUN	-
lay-saint-christophe	NOM	lay-saint-christophe
à	PRP	à
17	NUM	@card@
h	ABR	heure
05	NUM	@card@
les	DET:ART	le
élèves	NOM	élève
sont	VER:pres	être
pris	VER:pper	prendre
par	PRP	par
le	DET:ART	le
service	NOM	service
n	VER:futu	n
°	NOM	°
109	NUM	@card@
(	PUN	(
ligne	NOM	ligne
321	NUM	@card@
).	ABR	).
sont	VER:pres	être
créés	VER:pper	créer
:	PUN	:
ligne	NOM	ligne
321	NUM	@card@
:	PUN	:
service	NOM	service
n	VER:futu	n
°	NOM	°
8	NUM	@card@
lay-saint-christophe	NOM	lay-saint-christophe
8	NUM	@card@
h	ABR	heure
43	NUM	@card@
-	PUN	-
les	DET:ART	le
corvées	NOM	corvée
-	PUN	-
ceg	NOM	ceg
malzéville	NAM	Malzéville
à	PRP	à
8	NUM	@card@
h	ABR	heure
55	NUM	@card@
service	NOM	service
n	VER:subi	n
°	NOM	°
112	NUM	@card@
ceg	NOM	ceg
malzéville	NOM	malzéville
16	NUM	@card@
h	ABR	heure
05	NUM	@card@
pour	PRP	pour
lay-saint-christophe	NOM	lay-saint-christophe
puis	ADV	puis
les	DET:ART	le
corvées	NOM	corvée
.	SENT	.
