delme	NAM	delme
.	SENT	.
_	ADJ	_
monument	NOM	monument
classé	VER:pper	classer
et	KON	et
centre	NOM	centre
d'	PRP	de
art	NOM	art
contemporain	ADJ	contemporain
,	PUN	,
la	DET:ART	le
synagogue	NOM	synagogue
héberge	VER:pres	héberger
jusqu'au	NOM	jusqu'au
19	NUM	@card@
janvier	NOM	janvier
seulement	ADV	seulement
des	PRP:det	du
	ADJ	
uvres	NOM	uvres
du	PRP:det	du
suisse	ADJ	suisse
stéphane	ADJ	stéphane
dafflon	NOM	dafflon
.	SENT	.
cet	PRO:DEM	ce
artiste	NOM	artiste
trentenaire	ADJ	trentenaire
diplômé	VER:pper	diplômer
de	PRP	de
l'	DET:ART	le
ecal	NOM	ecal
de	PRP	de
lausanne	NOM	lausanne
se	PRO:PER	se
fait	VER:pres	faire
connaître	VER:infi	connaître
en	PRP	en
europe	NOM	europe
depuis	PRP	depuis
le	DET:ART	le
début	NOM	début
du	PRP:det	du
troisième	NUM	troisième
millénaire	NOM	millénaire
.	SENT	.
il	PRO:PER	il
effectue	VER:pres	effectuer
les	DET:ART	le
esquisses	NOM	esquisse
de	PRP	de
ses	DET:POS	son
projets	NOM	projet
d'	PRP	de
abord	NOM	abord
sur	PRP	sur
informatique	NOM	informatique
et	KON	et
manipule	NOM	manipule
à	PRP	à
l'	DET:ART	le
aide	NOM	aide
de	PRP	de
logiciels	NOM	logiciel
les	DET:ART	le
formes	NOM	forme
qu'	PRO:REL	que
il	PRO:PER	il
produit	VER:pres	produire
et	KON	et
leur	DET:POS	leur
positionnement	NOM	positionnement
dans	PRP	dans
l'	DET:ART	le
espace	NOM	espace
.	SENT	.
la	DET:ART	le
production	NOM	production
initiale	ADJ	initial
d'	PRP	de
images	NOM	image
amène	VER:pres	amener
une	DET:ART	un
totale	ADJ	total
pureté	NOM	pureté
des	PRP:det	du
lignes	NOM	ligne
et	KON	et
une	DET:ART	un
rigueur	NOM	rigueur
compositionnelle	ADJ	compositionnelle
qui	PRO:REL	qui
existe	VER:pres	exister
peu	ADV	peu
dans	PRP	dans
la	DET:ART	le
peinture	NOM	peinture
traditionnelle	ADJ	traditionnel
.	SENT	.
ici	ADV	ici
dafflon	NOM	dafflon
associe	VER:pres	associer
une	DET:ART	un
structure	NOM	structure
de	PRP	de
lamelles	NOM	lamelle
de	PRP	de
plexiglas	NOM	plexiglas
(	PUN	(
qui	PRO:REL	qui
rappelle	VER:pres	rappeler
un	DET:ART	un
store	NOM	store
vertical	ADJ	vertical
)	PUN	)
à	PRP	à
des	PRP:det	du
taches	NOM	tache
noires	ADJ	noir
qui	PRO:REL	qui
courent	VER:pres	courir
sur	PRP	sur
le	DET:ART	le
sol	NOM	sol
banc	NOM	banc
pour	PRP	pour
envahir	VER:infi	envahir
ensuite	ADV	ensuite
le	DET:ART	le
mur	NOM	mur
du	PRP:det	du
fond	NOM	fond
.	SENT	.
il	PRO:PER	il
pose	VER:pres	poser
ainsi	ADV	ainsi
un	DET:ART	un
«	PUN:cit	«
regard	NOM	regard
sur	PRP	sur
les	DET:ART	le
relations	NOM	relation
complexes	ADJ	complexe
entre	PRP	entre
l'	DET:ART	le
art	NOM	art
et	KON	et
le	DET:ART	le
décoratif	ADJ	décoratif
avec	PRP	avec
l'	DET:ART	le
architecture	NOM	architecture
.	SENT	.
le	DET:ART	le
volume	NOM	volume
vertical	ADJ	vertical
et	KON	et
les	DET:ART	le
peintures	NOM	peinture
«	PUN:cit	«
instaurent	VER:pres	instaurer
une	DET:ART	un
tension	NOM	tension
avec	PRP	avec
l'	DET:ART	le
espace	NOM	espace
et	KON	et
ce	PRO:DEM	ce
dispositif	NOM	dispositif
renverse	VER:pres	renverser
la	DET:ART	le
perception	NOM	perception
habituelle	ADJ	habituel
de	PRP	de
l'	DET:ART	le
architecture	NOM	architecture
du	PRP:det	du
lieu	NOM	lieu
».	VER:cond	».
les	DET:ART	le
couleurs	NOM	couleur
vives	ADJ	vif
et	KON	et
les	DET:ART	le
octogones	NOM	octogone
des	PRP:det	du
peintures	NOM	peinture
s'	PRO:PER	se
opposant	VER:ppre	opposer
ainsi	ADV	ainsi
à	PRP	à
la	DET:ART	le
blancheur	NOM	blancheur
et	KON	et
à	PRP	à
la	DET:ART	le
rondeur	NOM	rondeur
des	PRP:det	du
lignes	NOM	ligne
de	PRP	de
l'	DET:ART	le
architecture	NOM	architecture
de	PRP	de
la	DET:ART	le
synagogue	NOM	synagogue
.	SENT	.
dafflon	NOM	dafflon
parvient	VER:pres	parvenir
«	PUN:cit	«
à	PRP	à
perturber	VER:infi	perturber
les	DET:ART	le
composantes	NOM	composante
intrinsèques	ADJ	intrinsèque
de	PRP	de
l'	DET:ART	le
espace	NOM	espace
intérieur	ADJ	intérieur
»,	ADJ	»,
à	PRP	à
créer	VER:infi	créer
des	PRP:det	du
tensions	NOM	tension
dans	PRP	dans
les	DET:ART	le
volumes	NOM	volume
qui	PRO:REL	qui
sont	VER:pres	être
ainsi	ADV	ainsi
recomposés	VER:pper	recomposer
différemment	ADV	différemment
.	SENT	.
nadia	ADJ	nadia
accueille	VER:pres	accueillir
le	DET:ART	le
public	NOM	public
et	KON	et
commente	VER:pres	commenter
le	DET:ART	le
parcours	NOM	parcours
.	SENT	.
du	PRP:det	du
mercredi	NOM	mercredi
au	PRP:det	au
vendredi	NOM	vendredi
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
samedi	NOM	samedi
et	KON	et
dimanche	NOM	dimanche
de	PRP	de
11	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
entrée	NOM	entrée
libre	ADJ	libre
.	SENT	.
