patinoire	NOM	patinoire
lafayette	NOM	lafayette
.	SENT	.
300	NUM	@card@
spectateurs	NOM	spectateur
environ	ADV	environ
.	SENT	.
arbitres	NOM	arbitre
:	PUN	:
mm	NOM	mm
.	SENT	.
bocquet	NOM	bocquet
,	PUN	,
roueche	NOM	roueche
et	KON	et
barbez	VER:pres	barber
.	SENT	.
les	DET:ART	le
buts	NOM	but
:	PUN	:
bhc	NOM	bhc
:	PUN	:
kubis	NOM	kubis
(	PUN	(
7	NUM	@card@
'	PUN	'
18	NUM	@card@
),	NOM	),
subr	ADJ	subr
(	PUN	(
13	NUM	@card@
'	PUN	'
25	NUM	@card@
)	PUN	)
assisté	VER:pper	assister
de	PRP	de
kadlec	NOM	kadlec
et	KON	et
drzik	NOM	drzik
,	PUN	,
billard	NOM	billard
(	PUN	(
37	NUM	@card@
'	PUN	'
52	NUM	@card@
)	PUN	)
assisté	VER:pper	assister
de	PRP	de
vorel	NOM	vorel
.	SENT	.
dunkerque	NOM	dunkerque
:	PUN	:
haapasari	NOM	haapasari
(	PUN	(
54	NUM	@card@
'	PUN	'
42	NUM	@card@
)	PUN	)
assisté	VER:pper	assister
de	PRP	de
cooper	VER:infi	cooper
les	DET:ART	le
pénalités	NOM	pénalité
:	PUN	:
kadlec	NOM	kadlec
,	PUN	,
favreau	NOM	favreau
,	PUN	,
subr	NOM	subr
,	PUN	,
vorel	VER:pper	vorel
à	PRP	à
besançon	NOM	besançon
;	PUN	;
guillemot	NOM	guillemot
,	PUN	,
lukac	NOM	lukac
,	PUN	,
maupoint	ADJ	maupoint
,	PUN	,
krisak	NOM	krisak
à	PRP	à
dunkerque	NOM	dunkerque
.	SENT	.
les	DET:ART	le
équipes	NOM	équipe
:	PUN	:
bhc	NOM	bhc
:	PUN	:
ménard	NOM	ménard
,	PUN	,
godeffroy	NOM	godeffroy
(	PUN	(
gardiens	NOM	gardien
),	ADJ	),
drzik	NOM	drzik
,	PUN	,
aubry	NOM	aubry
,	PUN	,
sibon	NOM	sibon
,	PUN	,
trabichet	NOM	trabichet
,	PUN	,
kadlec	NOM	kadlec
,	PUN	,
dumenil	NOM	dumenil
,	PUN	,
subr	NOM	subr
,	PUN	,
vorel	VER:pper	vorel
,	PUN	,
favreau	NOM	favreau
,	PUN	,
samuelsson	NOM	samuelsson
,	PUN	,
kubis	NOM	kubis
,	PUN	,
billard	NOM	billard
,	PUN	,
jurzynek	NOM	jurzynek
.	SENT	.
dunkerque	NOM	dunkerque
:	PUN	:
apblad	NOM	apblad
,	PUN	,
peyre	NOM	peyre
(	PUN	(
gardiens	NOM	gardien
),	ADJ	),
cooper	NOM	cooper
,	PUN	,
funcke	NOM	funcke
,	PUN	,
germack	NOM	germack
,	PUN	,
guillemot	NOM	guillemot
,	PUN	,
lacaes	NOM	lacaes
,	PUN	,
lukac	NOM	lukac
,	PUN	,
thomas	NOM	thomas
,	PUN	,
bardet	NOM	bardet
,	PUN	,
becuwe	ADJ	becuwe
,	PUN	,
blanchard	NOM	blanchard
,	PUN	,
boschetti	NOM	boschetti
,	PUN	,
haapasaari	NOM	haapasaari
,	PUN	,
krisak	NOM	krisak
,	PUN	,
maupoint	ADJ	maupoint
,	PUN	,
n'	ADV	ne
guyen	ADJ	guyen
,	PUN	,
bena	NOM	bena
,	PUN	,
st	VER:simp	st
amant	NOM	amant
,	PUN	,
trabach	NOM	trabach
.	SENT	.
