saint-priest	NOM	saint-priest
bat	VER:pres	battre
dieulouard	NOM	dieulouard
:	PUN	:
33	NUM	@card@
-	PUN	-
19	NUM	@card@
les	DET:ART	le
marqueurs	NOM	marqueur
:	PUN	:
sphb	NOM	sphb
:	PUN	:
serras	NOM	serra
(	PUN	(
0	NUM	@card@
),	NOM	),
coulet	NOM	coulet
(	PUN	(
3	NUM	@card@
),	NOM	),
millet	NOM	millet
(	PUN	(
3	NUM	@card@
),	NOM	),
boutdaï	VER:pper	boutdaï
(	PUN	(
1	NUM	@card@
),	NOM	),
tahraoui	ADJ	tahraoui
(	PUN	(
5	NUM	@card@
),	NOM	),
scappa	NOM	scappa
(	PUN	(
2	NUM	@card@
),	NOM	),
cap	NOM	cap
.	SENT	.
cassava	NOM	cassava
(	PUN	(
2	NUM	@card@
),	NOM	),
bouteraa	NOM	bouteraa
(	PUN	(
3	NUM	@card@
),	NOM	),
bossy	ADJ	bossy
(	PUN	(
4	NUM	@card@
),	NOM	),
cheynet	ADJ	cheynet
(	PUN	(
2	NUM	@card@
),	NOM	),
coulet	NOM	coulet
(	PUN	(
8	NUM	@card@
).	ABR	).
entraîneur	NOM	entraîneur
:	PUN	:
denis	NOM	denis
crassava	NOM	crassava
.	SENT	.
dieulouard	NOM	dieulouard
:	PUN	:
sesnat	NOM	sesnat
(	PUN	(
0	NUM	@card@
),	NOM	),
chable	VER:pres	chabler
(	PUN	(
5	NUM	@card@
),	NOM	),
giovannacci	ADJ	giovannacci
(	PUN	(
0	NUM	@card@
),	NOM	),
bertaloui	NOM	bertaloui
(	PUN	(
0	NUM	@card@
),	NOM	),
rotatinti	ADJ	rotatinti
(	PUN	(
2	NUM	@card@
)	PUN	)
daval	NOM	daval
(	PUN	(
2	NUM	@card@
),	NOM	),
dentz	NAM	dentz
(	PUN	(
1	NUM	@card@
),	NOM	),
gérard	ADJ	gérard
(	PUN	(
1	NUM	@card@
),	NOM	),
darnoir	NOM	darnoir
(	PUN	(
4	NUM	@card@
),	NOM	),
lefevre	NOM	lefevre
(	PUN	(
0	NUM	@card@
),	NOM	),
cap	NOM	cap
.	SENT	.
lefort	NOM	lefort
(	PUN	(
3	NUM	@card@
),	NOM	),
schoumann	NOM	schoumann
(	PUN	(
0	NUM	@card@
).	ABR	).
