auto	NOM	auto
(	PUN	(
10	NUM	@card@
e	ADJ	e
étape	NOM	étape
521	NUM	@card@
km	ABR	kilomètre
)	PUN	)
:	PUN	:
1	NUM	@card@
masuoka-schulz	NOM	masuoka-schulz
(	PUN	(
jap-all/mitsubishi	VER:pper	jap-all/mitsubishi
)	PUN	)
3	NUM	@card@
h	ABR	heure
46	NUM	@card@
'	PUN	'
36	NUM	@card@
''	NOM	''
;	PUN	;
2	NUM	@card@
peterhansel-cottret	NOM	peterhansel-cottret
(	PUN	(
fra/mitsubishi	VER:pper	fra/mitsubishi
)	PUN	)
à	PRP	à
2	NUM	@card@
'	PUN	'
46	NUM	@card@
''	NOM	''
;	PUN	;
3	NUM	@card@
fontenay-picard	NOM	fontenay-picard
(	PUN	(
fra/mitsubishi	VER:pper	fra/mitsubishi
)	PUN	)
à	PRP	à
10	NUM	@card@
'	PUN	'
12	NUM	@card@
''	NOM	''
;	PUN	;
4	NUM	@card@
biasion-siviero	NOM	biasion-siviero
(	PUN	(
ita/mitsubishi	VER:pper	ita/mitsubishi
)	PUN	)
à	PRP	à
11	NUM	@card@
'	PUN	'
08	NUM	@card@
''	NOM	''
;	PUN	;
5	NUM	@card@
vatanen-thorner	NOM	vatanen-thorner
(	PUN	(
fin/suè/nissan	ADJ	fin/suè/nissan
)	PUN	)
à	PRP	à
12	NUM	@card@
'	PUN	'
46	NUM	@card@
''.	ABR	''.
classement	NOM	classement
général	ADJ	général
:	PUN	:
1	NUM	@card@
peterhansel-cottret	NOM	peterhansel-cottret
(	PUN	(
fra/mitsubishi	VER:pper	fra/mitsubishi
)	PUN	)
24	NUM	@card@
h	ABR	heure
21	NUM	@card@
'	PUN	'
20	NUM	@card@
''	NOM	''
;	PUN	;
2	NUM	@card@
masuoka-schulz	NOM	masuoka-schulz
(	PUN	(
jap-all/mitsubishi	VER:pper	jap-all/mitsubishi
)	PUN	)
à	PRP	à
14	NUM	@card@
'	PUN	'
06	NUM	@card@
''	NOM	''
;	PUN	;
3	NUM	@card@
de	PRP	de
mevius-guehennec	NOM	mevius-guehennec
(	PUN	(
bel-fra/bmw	NOM	bel-fra/bmw
)	PUN	)
à	PRP	à
1	NUM	@card@
h	ABR	heure
29	NUM	@card@
'	PUN	'
07	NUM	@card@
''	NOM	''
;	PUN	;
4	NUM	@card@
kleinschmidt-pons	NOM	kleinschmidt-pons
(	PUN	(
all-ita/volkswagen	NOM	all-ita/volkswagen
)	PUN	)
à	PRP	à
1	NUM	@card@
h	ABR	heure
54	NUM	@card@
'	PUN	'
24	NUM	@card@
''	NOM	''
;	PUN	;
5	NUM	@card@
fontenay-picard	NOM	fontenay-picard
(	PUN	(
fra/mitsubishi	VER:pper	fra/mitsubishi
)	PUN	)
à	PRP	à
2	NUM	@card@
h	ABR	heure
02	NUM	@card@
'	PUN	'
37	NUM	@card@
''.	ABR	''.
moto	NOM	moto
(	PUN	(
10	NUM	@card@
e	ADJ	e
étape	NOM	étape
521	NUM	@card@
km	ABR	kilomètre
)	PUN	)
:	PUN	:
1	NUM	@card@
lundmark	NOM	lundmark
(	PUN	(
suè/ktm	NOM	suè/ktm
),	NOM	),
les	DET:ART	le
521	NUM	@card@
km	ABR	kilomètre
en	PRP	en
4	NUM	@card@
h	ABR	heure
22	NUM	@card@
'	PUN	'
22	NUM	@card@
''	NOM	''
;	PUN	;
2	NUM	@card@
despres	NOM	despres
(	PUN	(
fra/ktm	NOM	fra/ktm
)	PUN	)
à	PRP	à
3	NUM	@card@
'	PUN	'
47	NUM	@card@
''	NOM	''
;	PUN	;
3	NUM	@card@
sainct	NOM	sainct
(	PUN	(
fra/ktm	NOM	fra/ktm
)	PUN	)
à	PRP	à
4	NUM	@card@
'	PUN	'
34	NUM	@card@
''	NOM	''
;	PUN	;
4	NUM	@card@
de	PRP	de
gavardo	NOM	gavardo
(	PUN	(
chi/ktm	NOM	chi/ktm
)	PUN	)
à	PRP	à
4	NUM	@card@
'	PUN	'
36	NUM	@card@
''	NOM	''
;	PUN	;
5	NUM	@card@
coma	NOM	coma
(	PUN	(
esp/ktm	NOM	esp/ktm
)	PUN	)
à	PRP	à
4	NUM	@card@
'	PUN	'
40	NUM	@card@
classement	NOM	classement
général	ADJ	général
:	PUN	:
1	NUM	@card@
sainct	NOM	sainct
(	PUN	(
fra/ktm	NOM	fra/ktm
)	PUN	)
27	NUM	@card@
h	ABR	heure
25	NUM	@card@
'	PUN	'
27	NUM	@card@
''	NOM	''
;	PUN	;
2	NUM	@card@
despres	NOM	despres
(	PUN	(
fra/ktm	NOM	fra/ktm
)	PUN	)
à	PRP	à
11	NUM	@card@
'	PUN	'
03	NUM	@card@
''	NOM	''
;	PUN	;
3	NUM	@card@
meoni	NOM	meoni
(	PUN	(
ita/ktm	NOM	ita/ktm
)	PUN	)
à	PRP	à
37	NUM	@card@
'	PUN	'
34	NUM	@card@
''	NOM	''
;	PUN	;
4	NUM	@card@
brucy	NOM	brucy
(	PUN	(
fra/ktm	NOM	fra/ktm
)	PUN	)
à	PRP	à
47	NUM	@card@
'	PUN	'
41	NUM	@card@
''	NOM	''
;	PUN	;
5	NUM	@card@
de	PRP	de
azevedo	NOM	azevedo
(	PUN	(
bré/ktm	NOM	bré/ktm
)	PUN	)
à	PRP	à
55	NUM	@card@
'	PUN	'
10	NUM	@card@
''.	ABR	''.
