metz	NAM	Metz
-	PUN	-
mi-temps	NOM	mi-temps
:	PUN	:
10	NUM	@card@
-	PUN	-
13	NUM	@card@
-	PUN	-
arbitres	NOM	arbitre
:	PUN	:
mm	NOM	mm
.	SENT	.
macau	NOM	macau
et	KON	et
goulao	NOM	goulao
(	PUN	(
por	NOM	por
)	PUN	)
-	PUN	-
spectateurs	NOM	spectateur
:	PUN	:
4.500	NUM	@card@
environ	PRP	environ
france	NOM	france
:	PUN	:
gardien	NOM	gardien
de	PRP	de
but	NOM	but
:	PUN	:
martini	NOM	martini
marqueurs	NOM	marqueur
:	PUN	:
girault	NOM	girault
(	PUN	(
1	NUM	@card@
),	NOM	),
golic	NOM	golic
(	PUN	(
2	NUM	@card@
dont	PRO:REL	dont
1	NUM	@card@
pen	NOM	pen
.	SENT	.
),	NOM	),
fernandez	VER:pres	fernandez
(	PUN	(
2	NUM	@card@
),	NOM	),
narcisse	NOM	narcisse
(	PUN	(
3	NUM	@card@
),	NOM	),
burdet	NOM	burdet
(	PUN	(
2	NUM	@card@
),	NOM	),
richardson	NOM	richardson
(	PUN	(
3	NUM	@card@
),	NOM	),
ber	NOM	ber
.	SENT	.
gille	NOM	gille
(	PUN	(
3	NUM	@card@
),	NOM	),
abati	VER:pper	abati
(	PUN	(
5	NUM	@card@
dont	PRO:REL	dont
1	NUM	@card@
pen	NOM	pen
.	SENT	.
),	ADJ	),
dinart	NOM	dinart
(	PUN	(
1	NUM	@card@
),	NOM	),
houlet	ADJ	houlet
(	PUN	(
3	NUM	@card@
dont	PRO:REL	dont
2	NUM	@card@
pen	NOM	pen
.	SENT	.
)	PUN	)
allemagne	NOM	allemagne
:	PUN	:
gardiens	NOM	gardien
de	PRP	de
but	NOM	but
:	PUN	:
lichtein	NOM	lichtein
,	PUN	,
ramota	VER:simp	ramota
marqueurs	NOM	marqueur
:	PUN	:
hens	NOM	hens
(	PUN	(
1	NUM	@card@
),	NOM	),
dragunski	ADJ	dragunski
(	PUN	(
2	NUM	@card@
),	NOM	),
kretzschmar	NOM	kretzschmar
(	PUN	(
5	NUM	@card@
dont	PRO:REL	dont
1	NUM	@card@
pen	NOM	pen
.	SENT	.
),	ADJ	),
schwarzer	NOM	schwarzer
(	PUN	(
2	NUM	@card@
),	NOM	),
petersen	ADJ	petersen
(	PUN	(
1	NUM	@card@
),	NOM	),
baur	ADJ	baur
(	PUN	(
1	NUM	@card@
),	NOM	),
zeitz	NAM	zeitz
(	PUN	(
4	NUM	@card@
),	NOM	),
grimm	NOM	grimm
(	PUN	(
2	NUM	@card@
),	NOM	),
kehrmann	ADJ	kehrmann
(	PUN	(
6	NUM	@card@
)	PUN	)
