vendredi	NOM	vendredi
soir	NOM	soir
,	PUN	,
le	DET:ART	le
maire	NOM	maire
,	PUN	,
yves	ADJ	yves
druet	NOM	druet
,	PUN	,
et	KON	et
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
avaient	VER:impf	avoir
invité	VER:pper	inviter
les	DET:ART	le
participants	NOM	participant
aux	PRP:det	au
concours	NOM	concours
des	PRP:det	du
maisons	NOM	maison
fleuries	VER:pper	fleurir
et	KON	et
des	PRP:det	du
décors	NOM	décor
de	PRP	de
noël	NOM	noël
.	SENT	.
le	DET:ART	le
maire	NOM	maire
,	PUN	,
citant	VER:ppre	citer
kant	NOM	kant
,	PUN	,
«	PUN:cit	«
le	DET:ART	le
beau	ADJ	beau
est	VER:pres	être
le	DET:ART	le
symbole	NOM	symbole
du	PRP:det	du
bien	NOM	bien
moral	ADJ	moral
»	PUN:cit	»
estime	VER:pres	estimer
que	KON	que
cette	PRO:DEM	ce
phrase	NOM	phrase
convient	VER:pres	convenir|convier
à	PRP	à
cette	PRO:DEM	ce
soirée	NOM	soirée
.	SENT	.
il	PRO:PER	il
a	VER:pres	avoir
ensuite	ADV	ensuite
lancé	VER:pper	lancer
un	DET:ART	un
appel	NOM	appel
aux	PRP:det	au
volontaires	NOM	volontaire
«	PUN:cit	«
nous	PRO:PER	nous
essayons	VER:pres	essayer|essayer
de	PRP	de
participer	VER:infi	participer
au	PRP:det	au
concours	NOM	concours
des	PRP:det	du
maisons	NOM	maison
fleuries	VER:pper	fleurir
avec	PRP	avec
pour	PRP	pour
objectif	ADJ	objectif
l'	DET:ART	le
obtention	NOM	obtention
d'	PRP	de
une	DET:ART	un
fleur	NOM	fleur
»	PUN:cit	»
et	KON	et
il	PRO:PER	il
poursuit	VER:pres	poursuivre
«	PUN:cit	«
vous	PRO:PER	vous
avez	VER:pres	avoir
prouvé	VER:pper	prouver
que	KON	que
vous	PRO:PER	vous
étiez	VER:impf	être
motivés	VER:pper	motiver
,	PUN	,
venez	VER:pres	venir
rejoindre	VER:infi	rejoindre
la	DET:ART	le
commission	NOM	commission
environnement	NOM	environnement
dirigée	VER:pper	diriger
par	PRP	par
michèle	NOM	michèle
gustin	ADJ	gustin
»	PUN:cit	»
et	KON	et
pour	PRP	pour
terminer	VER:infi	terminer
,	PUN	,
il	PRO:PER	il
a	VER:pres	avoir
remercié	VER:pper	remercier
cette	PRO:DEM	ce
dernière	NOM	dernier
et	KON	et
les	DET:ART	le
membres	NOM	membre
de	PRP	de
la	DET:ART	le
commission	NOM	commission
ainsi	KON	ainsi
que	KON	que
les	DET:ART	le
participants	NOM	participant
aux	PRP:det	au
deux	NUM	deux
concours	NOM	concours
.	SENT	.
michèle	NOM	michèle
gustin	ADJ	gustin
a	VER:pres	avoir
,	PUN	,
ensuite	ADV	ensuite
,	PUN	,
procédé	VER:pper	procéder
à	PRP	à
la	DET:ART	le
remise	NOM	remise
des	PRP:det	du
prix	NOM	prix
et	KON	et
diplômes	NOM	diplôme
,	PUN	,
ceux-ci	VER:pper	ceux-ci
illustrés	VER:pper	illustrer
par	PRP	par
deux	NUM	deux
très	ADV	très
belles	ADJ	beau
aquarelles	NOM	aquarelle
de	PRP	de
chantal	ADJ	chantal
drode	NOM	drode
.	SENT	.
19	NUM	@card@
personnes	NOM	personne
étaient	VER:impf	être
inscrites	VER:pper	inscrire
pour	PRP	pour
le	DET:ART	le
concours	NOM	concours
des	PRP:det	du
maisons	NOM	maison
fleuries	VER:pper	fleurir
et	KON	et
15	NUM	@card@
pour	PRP	pour
les	DET:ART	le
décors	NOM	décor
de	PRP	de
noël	NOM	noël
.	SENT	.
palmarès	NOM	palmarès
.	SENT	.
maisons	NOM	maison
fleuries	VER:pper	fleurir
.	SENT	.
catégorie	NOM	catégorie
