habituellement	ADV	habituellement
,	PUN	,
les	DET:ART	le
gens	NOM	gens
organisent	VER:pres	organiser
ça	PRO:DEM	cela
l'	DET:ART	le
été	NOM	été
.	SENT	.
alors	ADV	alors
,	PUN	,
on	PRO:PER	on
en	PRO:PER	en
parle	VER:pres	parler
,	PUN	,
les	DET:ART	le
journalistes	NOM	journaliste
se	PRO:PER	se
chargent	VER:pres	charger
de	PRP	de
médiatiser	VER:infi	médiatiser
ces	PRO:DEM	ce
heureuses	ADJ	heureux
initiatives	NOM	initiative
.	SENT	.
on	PRO:PER	on
en	PRO:PER	en
parle	VER:pres	parler
parce	KON	parce
que	KON	que
c'	PRO:DEM	ce
est	VER:pres	être
sympathique	ADJ	sympathique
et	KON	et
hautement	ADV	hautement
fraternel	ADJ	fraternel
.	SENT	.
on	PRO:PER	on
en	PRO:PER	en
parle	VER:pres	parler
parce	KON	parce
que	KON	que
c'	PRO:DEM	ce
est	VER:pres	être
en	PRP	en
décalage	NOM	décalage
par	PRP	par
rapport	NOM	rapport
à	PRP	à
la	DET:ART	le
société	NOM	société
dans	PRP	dans
laquelle	PRO:REL	lequel
nous	PRO:PER	nous
vivons	VER:pres	vivre
.	SENT	.
on	PRO:PER	on
en	PRO:PER	en
parle	VER:pres	parler
parce	KON	parce
qu'	KON	que
on	PRO:PER	on
se	PRO:PER	se
félicite	VER:pres	féliciter
que	KON	que
des	PRP:det	du
gens	NOM	gens
cherchent	VER:pres	chercher
à	PRP	à
rompre	VER:infi	rompre
l'	DET:ART	le
égoïsme	NOM	égoïsme
ambiant	ADJ	ambiant
.	SENT	.
parce	KON	parce
que	KON	que
des	PRP:det	du
gens	NOM	gens
,	PUN	,
vivant	VER:ppre	vivre
côte	NOM	côte
à	PRP	à
côte	NOM	côte
,	PUN	,
cherchent	VER:pres	chercher
à	PRP	à
mieux	ADV	mieux
se	PRO:PER	se
connaître	VER:infi	connaître
.	SENT	.
ça	PRO:DEM	cela
se	PRO:PER	se
fait	VER:pres	faire
donc	ADV	donc
l'	DET:ART	le
