deux	NUM	deux
bisontins	NOM	bisontin
ont	VER:pres	avoir
été	VER:pper	être
intoxiqués	VER:pper	intoxiquer
hier	VER:infi	hier
après-midi	NOM	après-midi
par	PRP	par
du	PRP:det	du
monoxyde	NOM	monoxyde
de	PRP	de
carbone	NOM	carbone
produit	VER:pper	produire
par	PRP	par
un	DET:ART	un
appareil	NOM	appareil
de	PRP	de
chauffage	NOM	chauffage
défectueux	ADJ	défectueux
dans	PRP	dans
le	DET:ART	le
chalet	NOM	chalet
qu'	PRO:REL	que
ils	PRO:PER	il
occupaient	VER:impf	occuper
à	PRP	à
métabief	NOM	métabief
.	SENT	.
pompiers	NOM	pompier
et	KON	et
médecins	NOM	médecin
les	PRO:PER	la|le
ont	VER:pres	avoir
conduits	VER:pper	conduire
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
de	PRP	de
pontarlier	NOM	pontarlier
où	PRO:REL	où
l'	DET:ART	le
on	PRO:PER	on
envisageait	VER:impf	envisager
de	PRP	de
les	PRO:PER	la|le
transférer	VER:infi	transférer
au	PRP:det	au
chu	VER:pper	choir
de	PRP	de
besançon	NOM	besançon
afin	KON	afin
de	PRP	de
les	PRO:PER	la|le
placer	VER:infi	placer
dans	PRP	dans
un	DET:ART	un
caisson	NOM	caisson
hyperbare	ADJ	hyperbare
.	SENT	.
