il	PRO:PER	il
était	VER:impf	être
un	DET:ART	un
peu	ADV	peu
plus	ADV	plus
de	PRP	de
22	NUM	@card@
h	ABR	heure
samedi	NOM	samedi
soir	NOM	soir
lorsque	KON	lorsque
les	DET:ART	le
pompiers	NOM	pompier
ont	VER:pres	avoir
été	VER:pper	être
appelés	VER:pper	appeler
pour	PRP	pour
un	DET:ART	un
incendie	NOM	incendie
dans	PRP	dans
un	DET:ART	un
garage	NOM	garage
face	NOM	face
au	PRP:det	au
54	NUM	@card@
rue	NOM	rue
viette	NOM	viette
à	PRP	à
audincourt	NOM	audincourt
.	SENT	.
sur	PRP	sur
place	NOM	place
,	PUN	,
les	DET:ART	le
pompiers	NOM	pompier
ont	VER:pres	avoir
utilisé	VER:pper	utiliser
deux	NUM	deux
lances	NOM	lance
pour	PRP	pour
maîtriser	VER:infi	maîtriser
le	DET:ART	le
feu	NOM	feu
qui	PRO:REL	qui
avait	VER:impf	avoir
pris	VER:pper	prendre
dans	PRP	dans
un	DET:ART	un
garage	NOM	garage
séparé	VER:pper	séparer
de	PRP	de
l'	DET:ART	le
habitation	NOM	habitation
principale	ADJ	principal
.	SENT	.
ce	PRO:DEM	ce
garage	NOM	garage
d'	PRP	de
environ	ADV	environ
80	NUM	@card@
m	NOM	m
2	NUM	@card@
est	VER:pres	être
fort	ADV	fort
endommagé	VER:pper	endommager
par	PRP	par
l'	DET:ART	le
incendie	NOM	incendie
.	SENT	.
d'	PRP	de
après	PRP	après
les	DET:ART	le
premiers	NUM	premier
éléments	NOM	élément
de	PRP	de
l'	DET:ART	le
enquête	NOM	enquête
diligentée	VER:pper	diligenter
par	PRP	par
la	DET:ART	le
police	NOM	police
,	PUN	,
un	DET:ART	un
chauffage	NOM	chauffage
électrique	ADJ	électrique
qui	PRO:REL	qui
avait	VER:impf	avoir
été	VER:pper	être
installé	VER:pper	installer
dans	PRP	dans
le	DET:ART	le
local	NOM	local
serait	VER:cond	être
à	PRP	à
l'	DET:ART	le
origine	NOM	origine
du	PRP:det	du
sinistre	NOM	sinistre
qui	PRO:REL	qui
n'	ADV	ne
a	VER:pres	avoir
fait	VER:pper	faire
aucune	PRO:IND	aucun
victime	NOM	victime
.	SENT	.
