ordures	NOM	ordure
ménagères	ADJ	ménager
:	PUN	:
pour	PRP	pour
toutes	PRO:IND	tout
les	DET:ART	le
communes	NOM	commune
de	PRP	de
la	DET:ART	le
c.c	NOM	c.c
.	SENT	.
b	NOM	b
,	PUN	,
dans	PRP	dans
le	DET:ART	le
cadre	NOM	cadre
de	PRP	de
la	DET:ART	le
collecte	NOM	collecte
des	PRP:det	du
o.m	NOM	o.m
.	SENT	.
au	PRP:det	au
porte	NOM	porte
à	PRP	à
porte	NOM	porte
,	PUN	,
ne	ADV	ne
sortir	VER:infi	sortir
que	KON	que
les	DET:ART	le
conteneurs	NOM	conteneur
à	PRP	à
roulettes	NOM	roulette
.	SENT	.
correspondants	ADJ	correspondant
:	PUN	:
myriam	NOM	myriam
jacquelin	NOM	jacquelin
au	PRP:det	au
03.29	NUM	@card@
.	SENT	.
09.13	NUM	@card@
.	SENT	.
36	NUM	@card@
;	PUN	;
fax	NOM	fax
.	SENT	.
03.29	NUM	@card@
.	SENT	.
09.15	NUM	@card@
.	SENT	.
65	NUM	@card@
ou	KON	ou
j.p	NOM	j.p
.	SENT	.
folio	NOM	folio
au	PRP:det	au
03.29	NUM	@card@
.	SENT	.
09.23	NUM	@card@
.	SENT	.
37	NUM	@card@
gendreville	NOM	gendreville
:	PUN	:
mairie	NOM	mairie
et	KON	et
présence	NOM	présence
du	PRP:det	du
maire	NOM	maire
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h.	ABR	h.
mandres-sur-vair	NOM	mandres-sur-vair
:	PUN	:
gymnastique	NOM	gymnastique
d'	PRP	de
entretien	NOM	entretien
adultes	ADJ	adulte
.	SENT	.
salle	NOM	salle
du	PRP:det	du
foyer	NOM	foyer
de	PRP	de
9	NUM	@card@
h	ABR	heure
10	NUM	@card@
h	ABR	heure
ou	KON	ou
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h.	ABR	h.
médonville	NOM	médonville
:	PUN	:
mairie	NOM	mairie
et	KON	et
présence	NOM	présence
du	PRP:det	du
maire	NOM	maire
de	PRP	de
15	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
saint-remimont	VER:futu	saint-remimont
:	PUN	:
mairie	NOM	mairie
et	KON	et
présence	NOM	présence
du	PRP:det	du
maire	NOM	maire
de	PRP	de
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
21	NUM	@card@
h	ABR	heure
30	NUM	@card@
correspondant	NOM	correspondant
:	PUN	:
j.p	NOM	j.p
.	SENT	.
folio	NOM	folio
au	PRP:det	au
tel/fax	NOM	tel/fax
.	SENT	.
03.29	NUM	@card@
.	SENT	.
07.23	NUM	@card@
.	SENT	.
37	NUM	@card@
la	DET:ART	le
vacheresse	NOM	vacheresse
et	KON	et
la	DET:ART	le
rouillie	NOM	rouillie
:	PUN	:
mairie	NOM	mairie
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
correspondant	NOM	correspondant
:	PUN	:
bernard	NOM	bernard
georges	ADJ	georges
au	PRP:det	au
tel/fax	NOM	tel/fax
.	SENT	.
03.29	NUM	@card@
.	SENT	.
09.10	NUM	@card@
.	SENT	.
82	NUM	@card@
sauville	NOM	sauville
:	PUN	:
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
de	PRP	de
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
suriauville	NOM	suriauville
:	PUN	:
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
de	PRP	de
16	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h.	ABR	h.
correspondant	NOM	correspondant
:	PUN	:
robert	NOM	robert
roy	NOM	roy
au	PRP:det	au
tel/fax	NOM	tel/fax
.	SENT	.
03.29	NUM	@card@
.	SENT	.
09.10	NUM	@card@
.	SENT	.
63	NUM	@card@
saulxures-les-bulgnéville	NOM	saulxures-les-bulgnéville
:	PUN	:
mairie	NOM	mairie
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
présence	NOM	présence
du	PRP:det	du
maire	NOM	maire
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h.	ABR	h.
